date,base,quote,type,value
2009-01-02,AUD,MOP,middle,5.6165
2009-01-02,CAD,MOP,middle,6.5387
2009-01-02,CHF,MOP,middle,7.5093
2009-01-02,CNY,MOP,middle,1.168
2009-01-02,DKK,MOP,middle,1.5024
2009-01-02,EUR,MOP,middle,11.1903
2009-01-02,GBP,MOP,middle,11.7751
2009-01-02,HKD,MOP,middle,1.03
2009-01-02,JPY,MOP,middle,0.087972
2009-01-02,KRW,MOP,middle,0.0060999999999999995
2009-01-02,MYR,MOP,middle,2.3073
2009-01-02,NOK,MOP,middle,1.1509
2009-01-02,NZD,MOP,middle,4.6494
2009-01-02,SEK,MOP,middle,1.0251
2009-01-02,SGD,MOP,middle,5.5423
2009-01-02,TWD,MOP,middle,0.2433
2009-01-02,USD,MOP,middle,7.9831
2009-01-05,AUD,MOP,middle,5.7014
2009-01-05,CAD,MOP,middle,6.5977
2009-01-05,CHF,MOP,middle,7.4345
2009-01-05,CNY,MOP,middle,1.1681
2009-01-05,DKK,MOP,middle,1.4949
2009-01-05,EUR,MOP,middle,11.1358
2009-01-05,GBP,MOP,middle,11.5633
2009-01-05,HKD,MOP,middle,1.03
2009-01-05,JPY,MOP,middle,0.08672
2009-01-05,KRW,MOP,middle,0.0060999999999999995
2009-01-05,MYR,MOP,middle,2.3024
2009-01-05,NOK,MOP,middle,1.1633
2009-01-05,NZD,MOP,middle,4.7139
2009-01-05,SEK,MOP,middle,1.0391
2009-01-05,SGD,MOP,middle,5.5023
2009-01-05,TWD,MOP,middle,0.2416
2009-01-05,USD,MOP,middle,7.9835
2009-01-06,AUD,MOP,middle,5.6874
2009-01-06,CAD,MOP,middle,6.7097
2009-01-06,CHF,MOP,middle,7.1883
2009-01-06,CNY,MOP,middle,1.1681
2009-01-06,DKK,MOP,middle,1.4572
2009-01-06,EUR,MOP,middle,10.8524
2009-01-06,GBP,MOP,middle,11.7178
2009-01-06,HKD,MOP,middle,1.03
2009-01-06,JPY,MOP,middle,0.085725
