date,base,quote,type,value
2020-01-02,AED,MAD,reference,2.6102
2020-01-02,AUD,MAD,reference,6.7058
2020-01-02,BHD,MAD,reference,25.432
2020-01-02,BRL,MAD,reference,2.3852
2020-01-02,CAD,MAD,reference,7.377
2020-01-02,CHF,MAD,reference,9.8844
2020-01-02,CNY,MAD,reference,1.3769
2020-01-02,DKK,MAD,reference,1.4372
2020-01-02,DZD,MAD,reference,0.08046
2020-01-02,EGP,MAD,reference,0.5978
2020-01-02,EUR,MAD,reference,10.7365
2020-01-02,GBP,MAD,reference,12.659
2020-01-02,GIP,MAD,reference,12.675
2020-01-02,INR,MAD,reference,0.1344
2020-01-02,JOD,MAD,reference,13.523
2020-01-02,JPY,MAD,reference,0.088124
2020-01-02,KWD,MAD,reference,31.623
2020-01-02,LYD,MAD,reference,7.6288
2020-01-02,MRU,MAD,reference,0.26275
2020-01-02,NOK,MAD,reference,1.0899
2020-01-02,OMR,MAD,reference,24.904
2020-01-02,QAR,MAD,reference,2.6331
2020-01-02,RUB,MAD,reference,0.1553
2020-01-02,SAR,MAD,reference,2.556
2020-01-02,SEK,MAD,reference,1.0241
2020-01-02,TND,MAD,reference,3.4219
2020-01-02,TRY,MAD,reference,1.6095
2020-01-02,USD,MAD,reference,9.5879
2020-01-02,XOF,MAD,reference,0.016383
2020-01-02,ZAR,MAD,reference,0.6852
2020-01-03,AED,MAD,reference,2.6202
2020-01-03,AUD,MAD,reference,6.6753
2020-01-03,BHD,MAD,reference,25.521
2020-01-03,BRL,MAD,reference,2.391
2020-01-03,CAD,MAD,reference,7.4106
2020-01-03,CHF,MAD,reference,9.884
2020-01-03,CNY,MAD,reference,1.3804
2020-01-03,DKK,MAD,reference,1.4332
2020-01-03,DZD,MAD,reference,0.08062
2020-01-03,EGP,MAD,reference,0.6
2020-01-03,EUR,MAD,reference,10.7107
2020-01-03,GBP,MAD,reference,12.58
2020-01-03,GIP,MAD,reference,12.631
2020-01-03,INR,MAD,reference,0.134
2020-01-03,JOD,MAD,reference,13.574
2020-01-03,JPY,MAD,reference,0.089046
2020-01-03,KWD,MAD,reference,31.747
2020-01-03,LYD,MAD,reference,7.6576
2020-01-03,MRU,MAD,reference,0.26375
2020-01-03,NOK,MAD,reference,1.0873
2020-01-03,OMR,MAD,reference,24.998
2020-01-03,QAR,MAD,reference,2.6433
2020-01-03,RUB,MAD,reference,0.1551
2020-01-03,SAR,MAD,reference,2.5656
2020-01-03,SEK,MAD,reference,1.0184
2020-01-03,TND,MAD,reference,3.4252
2020-01-03,TRY,MAD,reference,1.6102
2020-01-03,USD,MAD,reference,9.6241
2020-01-03,XOF,MAD,reference,0.016446
2020-01-03,ZAR,MAD,reference,0.6709
2020-01-06,AED,MAD,reference,2.6083
2020-01-06,AUD,MAD,reference,6.6565
2020-01-06,BHD,MAD,reference,25.405
2020-01-06,BRL,MAD,reference,2.3555
2020-01-06,CAD,MAD,reference,7.3854
2020-01-06,CHF,MAD,reference,9.8889
2020-01-06,CNY,MAD,reference,1.3742
2020-01-06,DKK,MAD,reference,1.4361
2020-01-06,DZD,MAD,reference,0.08026
2020-01-06,EGP,MAD,reference,0.5967
2020-01-06,EUR,MAD,reference,10.7329
2020-01-06,GBP,MAD,reference,12.61
2020-01-06,GIP,MAD,reference,12.534
2020-01-06,INR,MAD,reference,0.1331
2020-01-06,JOD,MAD,reference,13.511
2020-01-06,JPY,MAD,reference,0.088683
2020-01-06,KWD,MAD,reference,31.614
2020-01-06,LYD,MAD,reference,7.6228
2020-01-06,MRU,MAD,reference,0.26255
2020-01-06,NOK,MAD,reference,1.0885
2020-01-06,OMR,MAD,reference,24.884
2020-01-06,QAR,MAD,reference,2.6312
2020-01-06,RUB,MAD,reference,0.1543
2020-01-06,SAR,MAD,reference,2.5538
2020-01-06,SEK,MAD,reference,1.0198
2020-01-06,TND,MAD,reference,3.4116
2020-01-06,TRY,MAD,reference,1.6035
2020-01-06,USD,MAD,reference,9.5804
2020-01-06,XOF,MAD,reference,0.016301
2020-01-06,ZAR,MAD,reference,0.6717
2020-01-07,AED,MAD,reference,2.6092
2020-01-07,AUD,MAD,reference,6.588
2020-01-07,BHD,MAD,reference,25.421
2020-01-07,BRL,MAD,reference,2.3594
2020-01-07,CAD,MAD,reference,7.383
2020-01-07,CHF,MAD,reference,9.8732
2020-01-07,CNY,MAD,reference,1.3805
2020-01-07,DKK,MAD,reference,1.4332
2020-01-07,DZD,MAD,reference,0.08034
2020-01-07,EGP,MAD,reference,0.5962
2020-01-07,EUR,MAD,reference,10.711
2020-01-07,GBP,MAD,reference,12.61
2020-01-07,GIP,MAD,reference,12.609
