date,base,quote,type,value
2013-01-01,USD,GTQ,reference,7.9023
2013-01-02,EUR,USD,buy,1.32505
2013-01-02,EUR,USD,sell,1.32515
2013-01-02,GBP,USD,buy,1.6295
2013-01-02,GBP,USD,sell,1.6296
2013-01-02,USD,ARS,buy,4.9175
2013-01-02,USD,ARS,sell,4.9225
2013-01-02,USD,BRL,buy,2.0413
2013-01-02,USD,BRL,sell,2.042
2013-01-02,USD,CAD,buy,0.9846
2013-01-02,USD,CAD,sell,0.9847
2013-01-02,USD,CHF,buy,0.9122
2013-01-02,USD,CHF,sell,0.9123
2013-01-02,USD,CNY,buy,6.2321
2013-01-02,USD,CNY,sell,6.2341
2013-01-02,USD,COP,buy,1751.05
2013-01-02,USD,COP,sell,1752.15
2013-01-02,USD,CRC,buy,502.07
2013-01-02,USD,CRC,sell,514.32
2013-01-02,USD,DKK,buy,5.62972
2013-01-02,USD,DKK,sell,5.62992
2013-01-02,USD,DOP,buy,39.8
2013-01-02,USD,DOP,sell,40.04
2013-01-02,USD,GTQ,reference,7.90252
2013-01-02,USD,HKD,buy,7.75079
2013-01-02,USD,HKD,sell,7.75091
2013-01-02,USD,HNL,buy,19.9585
2013-01-02,USD,HNL,sell,19.9585
2013-01-02,USD,INR,buy,54.355
2013-01-02,USD,INR,sell,54.365
2013-01-02,USD,JPY,buy,87.0943
2013-01-02,USD,JPY,sell,87.1053
2013-01-02,USD,KRW,buy,1063.375
2013-01-02,USD,KRW,sell,1063.725
2013-01-02,USD,MXN,buy,12.7632
2013-01-02,USD,MXN,sell,12.766
2013-01-02,USD,NIO,buy,24.1319
2013-01-02,USD,NIO,sell,24.1319
2013-01-02,USD,NOK,buy,5.5197
2013-01-02,USD,NOK,sell,5.52195
2013-01-02,USD,PKR,buy,97.36
2013-01-02,USD,PKR,sell,97.38
2013-01-02,USD,SEK,buy,6.465
2013-01-02,USD,SEK,sell,6.4671
2013-01-02,USD,SVC,buy,8.75
2013-01-02,USD,SVC,sell,8.75
2013-01-02,USD,TWD,buy,29
2013-01-02,USD,TWD,sell,29.021
2013-01-02,XDR,USD,buy,1.54021
2013-01-02,XDR,USD,sell,1.54021
2013-01-03,EUR,USD,buy,1.31105
2013-01-03,EUR,USD,sell,1.31115
2013-01-03,GBP,USD,buy,1.617
2013-01-03,GBP,USD,sell,1.6171
2013-01-03,USD,ARS,buy,4.9225
2013-01-03,USD,ARS,sell,4.925
2013-01-03,USD,BRL,buy,2.047
2013-01-03,USD,BRL,sell,2.0482
2013-01-03,USD,CAD,buy,0.98455
2013-01-03,USD,CAD,sell,0.98465
2013-01-03,USD,CHF,buy,0.9227
2013-01-03,USD,CHF,sell,0.9228
2013-01-03,USD,CNY,buy,6.2315
2013-01-03,USD,CNY,sell,6.2335
2013-01-03,USD,COP,buy,1761.8
2013-01-03,USD,COP,sell,1763.8
2013-01-03,USD,CRC,buy,498.36
2013-01-03,USD,CRC,sell,509.59
2013-01-03,USD,DKK,buy,5.68968
2013-01-03,USD,DKK,sell,5.68988
2013-01-03,USD,DOP,buy,40
2013-01-03,USD,DOP,sell,40.25
2013-01-03,USD,GTQ,reference,7.93823
2013-01-03,USD,HKD,buy,7.75139
2013-01-03,USD,HKD,sell,7.75152
2013-01-03,USD,HNL,buy,19.9623
2013-01-03,USD,HNL,sell,19.9623
2013-01-03,USD,INR,buy,54.48
2013-01-03,USD,INR,sell,54.5
2013-01-03,USD,JPY,buy,86.875
2013-01-03,USD,JPY,sell,86.885
2013-01-03,USD,KRW,buy,1061.45
2013-01-03,USD,KRW,sell,1061.85
2013-01-03,USD,MXN,buy,12.7551
2013-01-03,USD,MXN,sell,12.7574
2013-01-03,USD,NIO,buy,24.1352
2013-01-03,USD,NIO,sell,24.1352
2013-01-03,USD,NOK,buy,5.56296
2013-01-03,USD,NOK,sell,5.56505
2013-01-03,USD,PKR,buy,97.3215
2013-01-03,USD,PKR,sell,97.6365
2013-01-03,USD,SEK,buy,6.51393
2013-01-03,USD,SEK,sell,6.51561
2013-01-03,USD,SVC,buy,8.75
2013-01-03,USD,SVC,sell,8.75
2013-01-03,USD,TWD,buy,28.986
2013-01-03,USD,TWD,sell,29.02
2013-01-03,XDR,USD,buy,1.53358
2013-01-03,XDR,USD,sell,1.53358
2013-01-04,EUR,USD,buy,1.3042
2013-01-04,EUR,USD,sell,1.3045
2013-01-04,GBP,USD,buy,1.6033
2013-01-04,GBP,USD,sell,1.6034
