date,base,quote,type,value
2025-01-01,AED,CHF,monthly_average,0.244264
2025-01-01,AED,CHF,reference,0.2483128
2025-01-01,ALL,CHF,monthly_average,0.009673
2025-01-01,ALL,CHF,reference,0.0098512
2025-01-01,ARS,CHF,monthly_average,0.0009
2025-01-01,ARS,CHF,reference,0.00089
2025-01-01,AUD,CHF,monthly_average,0.5739
2025-01-01,AUD,CHF,reference,0.56751
2025-01-01,AZN,CHF,monthly_average,0.5306
2025-01-01,AZN,CHF,reference,0.5396
2025-01-01,BAM,CHF,monthly_average,0.484476
2025-01-01,BAM,CHF,reference,0.4932545
2025-01-01,BDT,CHF,monthly_average,0.007553
2025-01-01,BDT,CHF,reference,0.0076659
2025-01-01,BGN,CHF,reference,0.4855852
2025-01-01,BHD,CHF,monthly_average,2.3921
2025-01-01,BHD,CHF,reference,2.43065
2025-01-01,BRL,CHF,monthly_average,0.148794
2025-01-01,BRL,CHF,reference,0.1476187
2025-01-01,CAD,CHF,monthly_average,0.6333
2025-01-01,CAD,CHF,reference,0.63598
2025-01-01,CLP,CHF,monthly_average,0.0009159
2025-01-01,CLP,CHF,reference,0.00091803
2025-01-01,CNY,CHF,monthly_average,0.123403
2025-01-01,CNY,CHF,reference,0.1249713
2025-01-01,COP,CHF,monthly_average,0.00020264
2025-01-01,COP,CHF,reference,0.000206686
2025-01-01,CRC,CHF,monthly_average,0.0017743
2025-01-01,CRC,CHF,reference,0.0018058
2025-01-01,CZK,CHF,monthly_average,0.037453
2025-01-01,CZK,CHF,reference,0.0377595
2025-01-01,DKK,CHF,monthly_average,0.126216
2025-01-01,DKK,CHF,reference,0.1273034
2025-01-01,DOP,CHF,monthly_average,0.014971
2025-01-01,DOP,CHF,reference,0.0151157
2025-01-01,DZD,CHF,monthly_average,0.006774
2025-01-01,DZD,CHF,reference,0.0067906
2025-01-01,EGP,CHF,monthly_average,0.017866
2025-01-01,EGP,CHF,reference,0.01795
2025-01-01,ETB,CHF,monthly_average,0.007164
2025-01-01,ETB,CHF,reference,0.0071283
2025-01-01,EUR,CHF,monthly_average,0.9414
2025-01-01,EUR,CHF,reference,0.94947
2025-01-01,GBP,CHF,monthly_average,1.1353
2025-01-01,GBP,CHF,reference,1.14485
2025-01-01,GEL,CHF,monthly_average,0.326248
2025-01-01,GEL,CHF,reference,0.3304091
2025-01-01,GTQ,CHF,monthly_average,0.119277
2025-01-01,GTQ,CHF,reference,0.1208596
2025-01-01,HKD,CHF,monthly_average,0.115324
2025-01-01,HKD,CHF,reference,0.117463
2025-01-01,HNL,CHF,monthly_average,0.036015
2025-01-01,HNL,CHF,reference,0.0364554
2025-01-01,HRK,CHF,reference,0.1280421
2025-01-01,HUF,CHF,monthly_average,0.0022861
2025-01-01,HUF,CHF,reference,0.00230979
2025-01-01,IDR,CHF,monthly_average,0.0000562
2025-01-01,IDR,CHF,reference,0.000056523
2025-01-01,ILS,CHF,monthly_average,0.2485
2025-01-01,ILS,CHF,reference,0.25013
2025-01-01,INR,CHF,monthly_average,0.010585
2025-01-01,INR,CHF,reference,0.0106604
2025-01-01,ISK,CHF,monthly_average,0.00649
2025-01-01,ISK,CHF,reference,0.0066135
2025-01-01,JPY,CHF,monthly_average,0.005879
2025-01-01,JPY,CHF,reference,0.0058294
2025-01-01,KES,CHF,monthly_average,0.006988
2025-01-01,KES,CHF,reference,0.0070967
2025-01-01,KHR,CHF,monthly_average,0.00022733
2025-01-01,KHR,CHF,reference,0.000231371
2025-01-01,KRW,CHF,monthly_average,0.00063
2025-01-01,KRW,CHF,reference,0.0006196
2025-01-01,KWD,CHF,monthly_average,2.9254
2025-01-01,KWD,CHF,reference,2.97055
2025-01-01,KYD,CHF,monthly_average,1.094
2025-01-01,KYD,CHF,reference,1.11211
2025-01-01,KZT,CHF,monthly_average,0.0017376
2025-01-01,KZT,CHF,reference,0.00174082
2025-01-01,LBP,CHF,monthly_average,0.00001003
2025-01-01,LBP,CHF,reference,0.000010151
2025-01-01,LKR,CHF,monthly_average,0.0030808
2025-01-01,LKR,CHF,reference,0.0031207
2025-01-01,LYD,CHF,monthly_average,0.1846
2025-01-01,LYD,CHF,reference,0.18603
2025-01-01,MAD,CHF,monthly_average,0.0901
2025-01-01,MAD,CHF,reference,0.09011
2025-01-01,MUR,CHF,monthly_average,0.019666
2025-01-01,MUR,CHF,reference,0.0198898
2025-01-01,MXN,CHF,monthly_average,0.0442
2025-01-01,MXN,CHF,reference,0.04416
2025-01-01,MYR,CHF,monthly_average,0.201399
2025-01-01,MYR,CHF,reference,0.2045831
2025-01-01,NGN,CHF,monthly_average,0.0005592
2025-01-01,NGN,CHF,reference,0.00058883
2025-01-01,NOK,CHF,monthly_average,0.080404
2025-01-01,NOK,CHF,reference,0.0805797
2025-01-01,NZD,CHF,monthly_average,0.5201
2025-01-01,NZD,CHF,reference,0.51383
2025-01-01,OMR,CHF,monthly_average,2.335
2025-01-01,OMR,CHF,reference,2.37346
2025-01-01,PAB,CHF,monthly_average,0.919
2025-01-01,PAB,CHF,reference,0.93105
2025-01-01,PEN,CHF,monthly_average,0.238547
2025-01-01,PEN,CHF,reference,0.2425989
2025-01-01,PHP,CHF,monthly_average,0.015321
2025-01-01,PHP,CHF,reference,0.0157637
