date,base,quote,type,value
2023-01-01,USD,BDT,buy,107
2023-01-01,USD,BDT,sell,107
2023-01-02,USD,BDT,buy,103.44
2023-01-02,USD,BDT,sell,104.35
2023-01-03,USD,BDT,buy,105.5
2023-01-03,USD,BDT,sell,107
2023-01-04,USD,BDT,buy,104.5
2023-01-04,USD,BDT,sell,107.5
2023-01-05,USD,BDT,buy,104.6
2023-01-05,USD,BDT,sell,107
2023-01-08,USD,BDT,buy,105.9
2023-01-08,USD,BDT,sell,107
2023-01-09,AUD,BDT,buy,71.6636
2023-01-09,AUD,BDT,sell,74.1403
2023-01-09,EUR,BDT,buy,110.5747
2023-01-09,EUR,BDT,sell,115.1213
2023-01-09,GBP,BDT,buy,125.4528
2023-01-09,GBP,BDT,sell,130.5507
2023-01-09,JPY,BDT,buy,0.782
2023-01-09,JPY,BDT,sell,0.8164
2023-01-09,SGD,BDT,buy,77.8612
2023-01-09,SGD,BDT,sell,80.4149
2023-01-09,USD,BDT,buy,103.68
2023-01-09,USD,BDT,sell,107
2023-01-10,AUD,BDT,buy,73.7551
2023-01-10,AUD,BDT,sell,73.8621
2023-01-10,CAD,BDT,buy,79.9223
2023-01-10,CAD,BDT,sell,79.9223
2023-01-10,EUR,BDT,buy,114.1904
2023-01-10,EUR,BDT,sell,115.1213
2023-01-10,GBP,BDT,buy,129.8231
2023-01-10,GBP,BDT,sell,130.3581
2023-01-10,JPY,BDT,buy,0.8103
2023-01-10,JPY,BDT,sell,0.8125
2023-01-10,SGD,BDT,buy,80.3303
2023-01-10,SGD,BDT,sell,80.3303
2023-01-10,USD,BDT,buy,107
2023-01-10,USD,BDT,sell,107
2023-01-11,CAD,BDT,buy,77.2389
2023-01-11,CAD,BDT,sell,78.9807
2023-01-11,EUR,BDT,buy,111.2275
2023-01-11,EUR,BDT,sell,114.1832
2023-01-11,GBP,BDT,buy,125.6377
2023-01-11,GBP,BDT,sell,129.0338
2023-01-11,JPY,BDT,buy,0.7832
2023-01-11,JPY,BDT,sell,0.8012
2023-01-11,SGD,BDT,buy,77.842
2023-01-11,SGD,BDT,sell,79.7292
2023-01-11,USD,BDT,buy,103.67
2023-01-11,USD,BDT,sell,106
2023-01-12,AUD,BDT,buy,71.739
2023-01-12,AUD,BDT,sell,74.0119
2023-01-12,EUR,BDT,buy,111.7396
2023-01-12,EUR,BDT,sell,115.5065
2023-01-12,GBP,BDT,buy,126.2768
2023-01-12,GBP,BDT,sell,131.0215
2023-01-12,JPY,BDT,buy,0.7895
2023-01-12,JPY,BDT,sell,0.817
2023-01-12,SGD,BDT,buy,78.1877
2023-01-12,SGD,BDT,sell,80.4511
2023-01-12,USD,BDT,buy,104.06
