date,base,quote,type,value
2023-01-02,AED,BRL,buy,1.4546
2023-01-02,AED,BRL,sell,1.4552
2023-01-02,AFN,BRL,buy,0.05983
2023-01-02,AFN,BRL,sell,0.05997
2023-01-02,ALL,BRL,buy,0.04975
2023-01-02,ALL,BRL,sell,0.05017
2023-01-02,AMD,BRL,buy,0.01354
2023-01-02,AMD,BRL,sell,0.01361
2023-01-02,ANG,BRL,buy,2.9357
2023-01-02,ANG,BRL,sell,2.9945
2023-01-02,AOA,BRL,buy,0.01033
2023-01-02,AOA,BRL,sell,0.01061
2023-01-02,ARS,BRL,buy,0.02999
2023-01-02,ARS,BRL,sell,0.03001
2023-01-02,AUD,BRL,buy,3.6413
2023-01-02,AUD,BRL,sell,3.6438
2023-01-02,AWG,BRL,buy,2.9038
2023-01-02,AWG,BRL,sell,3.002
2023-01-02,BBD,BRL,buy,2.619
2023-01-02,BBD,BRL,sell,2.6743
2023-01-02,BDT,BRL,buy,0.04996
2023-01-02,BDT,BRL,sell,0.05044
2023-01-02,BGN,BRL,buy,2.9232
2023-01-02,BGN,BRL,sell,2.9254
2023-01-02,BHD,BRL,buy,14.1724
2023-01-02,BHD,BRL,sell,14.174
2023-01-02,BIF,BRL,buy,0.002544
2023-01-02,BIF,BRL,sell,0.002613
2023-01-02,BMD,BRL,buy,5.343
2023-01-02,BMD,BRL,sell,5.3436
2023-01-02,BND,BRL,buy,3.9796
2023-01-02,BND,BRL,sell,3.9818
2023-01-02,BOB,BRL,buy,0.7677
2023-01-02,BOB,BRL,sell,0.779
2023-01-02,BSD,BRL,buy,5.343
2023-01-02,BSD,BRL,sell,5.3436
2023-01-02,BTN,BRL,buy,0.06453
2023-01-02,BTN,BRL,sell,0.06458
2023-01-02,BWP,BRL,buy,0.4173
2023-01-02,BWP,BRL,sell,0.4205
2023-01-02,BYN,BRL,buy,2.1118
2023-01-02,BYN,BRL,sell,2.1221
2023-01-02,BZD,BRL,buy,2.6279
2023-01-02,BZD,BRL,sell,2.6742
2023-01-02,CAD,BRL,buy,3.9377
2023-01-02,CAD,BRL,sell,3.9393
2023-01-02,CDF,BRL,buy,0.002544
2023-01-02,CDF,BRL,sell,0.002656
2023-01-02,CHF,BRL,buy,5.7706
2023-01-02,CHF,BRL,sell,5.7737
2023-01-02,CLF,BRL,buy,221.1842
2023-01-02,CLF,BRL,sell,221.209
2023-01-02,CLP,BRL,buy,0.006296
2023-01-02,CLP,BRL,sell,0.006303
2023-01-02,CNH,BRL,buy,0.7716
2023-01-02,CNH,BRL,sell,0.7717
2023-01-02,CNY,BRL,buy,0.7743
2023-01-02,CNY,BRL,sell,0.7747
2023-01-02,COP,BRL,buy,0.001102
2023-01-02,COP,BRL,sell,0.001103
2023-01-02,COU,BRL,buy,0.3607
2023-01-02,COU,BRL,sell,0.3607
2023-01-02,CRC,BRL,buy,0.009025
2023-01-02,CRC,BRL,sell,0.009036
2023-01-02,CUP,BRL,buy,0.2226
2023-01-02,CUP,BRL,sell,0.2227
2023-01-02,CVE,BRL,buy,0.05119
