date,base,quote,type,value
2019-01-02,ARS,BOB,reference,0.18212
2019-01-02,AUD,BOB,reference,4.83014
2019-01-02,BRL,BOB,reference,1.77055
2019-01-02,CAD,BOB,reference,5.02454
2019-01-02,CHF,BOB,reference,6.97225
2019-01-02,CLP,BOB,reference,0.00988
2019-01-02,CNH,BOB,reference,0.99841
2019-01-02,COP,BOB,reference,0.00211
2019-01-02,DKK,BOB,reference,1.05155
2019-01-02,EUR,BOB,reference,7.85059
2019-01-02,GBP,BOB,reference,8.73552
2019-01-02,HKD,BOB,reference,0.87604
2019-01-02,INR,BOB,reference,0.09832
2019-01-02,MXN,BOB,reference,0.34856
2019-01-02,NOK,BOB,reference,0.79224
2019-01-02,PEN,BOB,reference,2.03651
2019-01-02,PYG,BOB,reference,0.00115
2019-01-02,SEK,BOB,reference,0.77282
2019-01-02,SGD,BOB,reference,5.03265
2019-01-02,THB,BOB,reference,0.21077
2019-01-02,TWD,BOB,reference,0.22338
2019-01-02,USD,BOB,reference,6.96
2019-01-02,UYU,BOB,reference,0.21173
2019-01-02,VES,BOB,reference,0.01216
2019-01-03,ARS,BOB,reference,0.18226
2019-01-03,AUD,BOB,reference,4.80063
2019-01-03,BRL,BOB,reference,1.81199
2019-01-03,CAD,BOB,reference,5.04672
2019-01-03,CHF,BOB,reference,6.9251
2019-01-03,CLP,BOB,reference,0.00984
2019-01-03,CNH,BOB,reference,0.99753
2019-01-03,COP,BOB,reference,0.00212
2019-01-03,DKK,BOB,reference,1.04214
2019-01-03,EUR,BOB,reference,7.78201
2019-01-03,GBP,BOB,reference,8.65113
2019-01-03,HKD,BOB,reference,0.87567
2019-01-03,INR,BOB,reference,0.09776
2019-01-03,MXN,BOB,reference,0.35093
2019-01-03,NOK,BOB,reference,0.78772
2019-01-03,PEN,BOB,reference,2.03682
2019-01-03,PYG,BOB,reference,0.00115
2019-01-03,SEK,BOB,reference,0.76128
2019-01-03,SGD,BOB,reference,5.0227
2019-01-03,THB,BOB,reference,0.21267
2019-01-03,TWD,BOB,reference,0.22279
2019-01-03,USD,BOB,reference,6.96
2019-01-03,UYU,BOB,reference,0.2114
2019-01-03,VES,BOB,reference,0.01075
2019-01-04,ARS,BOB,reference,0.18316
2019-01-04,AUD,BOB,reference,4.80338
2019-01-04,BRL,BOB,reference,1.82481
2019-01-04,CAD,BOB,reference,5.0894
2019-01-04,CHF,BOB,reference,6.9384
2019-01-04,CLP,BOB,reference,0.00986
2019-01-04,CNH,BOB,reference,0.99721
2019-01-04,COP,BOB,reference,0.00211
2019-01-04,DKK,BOB,reference,1.04643
2019-01-04,EUR,BOB,reference,7.81419
2019-01-04,GBP,BOB,reference,8.66413
2019-01-04,HKD,BOB,reference,0.87605
2019-01-04,INR,BOB,reference,0.09773
2019-01-04,MXN,BOB,reference,0.3502
2019-01-04,NOK,BOB,reference,0.78955
2019-01-04,PEN,BOB,reference,2.03706
2019-01-04,PYG,BOB,reference,0.00115
2019-01-04,SEK,BOB,reference,0.76178
2019-01-04,SGD,BOB,reference,5.02822
2019-01-04,THB,BOB,reference,0.21324
2019-01-04,TWD,BOB,reference,0.22219
2019-01-04,USD,BOB,reference,6.96
2019-01-04,UYU,BOB,reference,0.21143
2019-01-04,VES,BOB,reference,0.01075
2019-01-07,ARS,BOB,reference,0.1836
2019-01-07,AUD,BOB,reference,4.88089
2019-01-07,BRL,BOB,reference,1.84632
2019-01-07,CAD,BOB,reference,5.12131
2019-01-07,CHF,BOB,reference,6.95388
2019-01-07,CLP,BOB,reference,0.01005
2019-01-07,CNH,BOB,reference,0.9993
2019-01-07,COP,BOB,reference,0.00215
2019-01-07,DKK,BOB,reference,1.0472
2019-01-07,EUR,BOB,reference,7.81971
2019-01-07,GBP,BOB,reference,8.7383
2019-01-07,HKD,BOB,reference,0.87558
2019-01-07,INR,BOB,reference,0.09838
2019-01-07,MXN,BOB,reference,0.35336
2019-01-07,NOK,BOB,reference,0.79593
2019-01-07,PEN,BOB,reference,2.05058
2019-01-07,PYG,BOB,reference,0.00114
2019-01-07,SEK,BOB,reference,0.76597
2019-01-07,SGD,BOB,reference,5.0482
2019-01-07,THB,BOB,reference,0.21377
2019-01-07,TWD,BOB,reference,0.22234
2019-01-07,USD,BOB,reference,6.96
2019-01-07,UYU,BOB,reference,0.21127
2019-01-07,VES,BOB,reference,0.01075
2019-01-08,ARS,BOB,reference,0.18385
2019-01-08,AUD,BOB,reference,4.89941
2019-01-08,BRL,BOB,reference,1.83781
2019-01-08,CAD,BOB,reference,5.15828
2019-01-08,CHF,BOB,reference,7.00143
2019-01-08,CLP,BOB,reference,0.01009
2019-01-08,CNH,BOB,reference,1.00204
2019-01-08,COP,BOB,reference,0.00214
2019-01-08,DKK,BOB,reference,1.05415
2019-01-08,EUR,BOB,reference,7.87185
2019-01-08,GBP,BOB,reference,8.75815
2019-01-08,HKD,BOB,reference,0.87557
2019-01-08,INR,BOB,reference,0.09844
2019-01-08,MXN,BOB,reference,0.35426
2019-01-08,NOK,BOB,reference,0.80343
2019-01-08,PEN,BOB,reference,2.04623
2019-01-08,PYG,BOB,reference,0.00114
2019-01-08,SEK,BOB,reference,0.77099
2019-01-08,SGD,BOB,reference,5.05937
2019-01-08,THB,BOB,reference,0.21434
2019-01-08,TWD,BOB,reference,0.22266
2019-01-08,USD,BOB,reference,6.96
2019-01-08,UYU,BOB,reference,0.21108
2019-01-08,VES,BOB,reference,0.01075
2019-01-09,ARS,BOB,reference,0.18263
2019-01-09,AUD,BOB,reference,4.89734
2019-01-09,BRL,BOB,reference,1.84711
2019-01-09,CAD,BOB,reference,5.16566
2019-01-09,CHF,BOB,reference,6.99073
2019-01-09,CLP,BOB,reference,0.01009
2019-01-09,CNH,BOB,reference,1.00115
2019-01-09,COP,BOB,reference,0.00217
2019-01-09,DKK,BOB,reference,1.05121
2019-01-09,EUR,BOB,reference,7.84924
2019-01-09,GBP,BOB,reference,8.72452
2019-01-09,HKD,BOB,reference,0.87515
2019-01-09,INR,BOB,reference,0.09772
2019-01-09,MXN,BOB,reference,0.35433
2019-01-09,NOK,BOB,reference,0.80256
2019-01-09,PEN,BOB,reference,2.05358
2019-01-09,PYG,BOB,reference,0.00114
2019-01-09,SEK,BOB,reference,0.76871
2019-01-09,SGD,BOB,reference,5.05192
2019-01-09,THB,BOB,reference,0.21384
2019-01-09,TWD,BOB,reference,0.22247
2019-01-09,USD,BOB,reference,6.96
2019-01-09,UYU,BOB,reference,0.21062
2019-01-09,VES,BOB,reference,0.00974
2019-01-10,ARS,BOB,reference,0.1836
2019-01-10,AUD,BOB,reference,4.92547
2019-01-10,BRL,BOB,reference,1.86378
2019-01-10,CAD,BOB,reference,5.19029
2019-01-10,CHF,BOB,reference,7.0359
2019-01-10,CLP,BOB,reference,0.01013
2019-01-10,CNH,BOB,reference,1.00756
2019-01-10,COP,BOB,reference,0.00219
2019-01-10,DKK,BOB,reference,1.06074
