date,base,quote,type,value
2022-01-03,USD,AED,reference,3.672
2022-01-03,USD,ARS,reference,102.7572
2022-01-03,USD,AUD,reference,1.3797
2022-01-03,USD,BMD,reference,1
2022-01-03,USD,BOB,reference,6.86
2022-01-03,USD,BRL,reference,5.5689
2022-01-03,USD,BSD,reference,1
2022-01-03,USD,CAD,reference,1.2783
2022-01-03,USD,CHF,reference,0.9145
2022-01-03,USD,CLP,reference,844.69
2022-01-03,USD,CNY,reference,6.3774
2022-01-03,USD,COP,reference,4002.52
2022-01-03,USD,CRC,reference,640.05
2022-01-03,USD,CUP,reference,24
2022-01-03,USD,CZK,reference,21.9604
2022-01-03,USD,DKK,reference,6.5727
2022-01-03,USD,DOP,reference,57.052
2022-01-03,USD,EGP,reference,15.6987
2022-01-03,USD,EUR,reference,0.8839
2022-01-03,USD,FJD,reference,2.1209
2022-01-03,USD,GBP,reference,0.7414
2022-01-03,USD,GTQ,reference,7.7101
2022-01-03,USD,HKD,reference,7.7997
2022-01-03,USD,HUF,reference,325.74
2022-01-03,USD,IDR,reference,14265
2022-01-03,USD,ILS,reference,3.1073
2022-01-03,USD,INR,reference,74.415
2022-01-03,USD,IRR,reference,42000
2022-01-03,USD,ISK,reference,130.37
2022-01-03,USD,JPY,reference,115.18
2022-01-03,USD,KRW,reference,1188.79
2022-01-03,USD,KYD,reference,0.82
2022-01-03,USD,KZT,reference,433.89
2022-01-03,USD,MAD,reference,9.2446
2022-01-03,USD,MXN,reference,20.5383
2022-01-03,USD,MYR,reference,4.175
2022-01-03,USD,NOK,reference,8.8066
2022-01-03,USD,NZD,reference,1.4643
2022-01-03,USD,PAB,reference,1
2022-01-03,USD,PEN,reference,3.9866
2022-01-03,USD,PHP,reference,50.978
2022-01-03,USD,PKR,reference,177.5
2022-01-03,USD,PLN,reference,4.056
2022-01-03,USD,PYG,reference,6866.4
2022-01-03,USD,QAR,reference,3.6688
2022-01-03,USD,RON,reference,4.3727
2022-01-03,USD,RUB,reference,74.7874
2022-01-03,USD,SAR,reference,3.75
2022-01-03,USD,SEK,reference,9.0596
2022-01-03,USD,SGD,reference,1.3525
2022-01-03,USD,THB,reference,33.324
2022-01-03,USD,TRY,reference,13.2796
2022-01-03,USD,TWD,reference,27.665
2022-01-03,USD,UAH,reference,27.2603
2022-01-03,USD,UYU,reference,44.4379
2022-01-03,USD,VES,reference,4.5782
2022-01-03,USD,VND,reference,22778
2022-01-03,USD,XDR,reference,0.7145
2022-01-03,USD,XPF,reference,105.0609
2022-01-03,USD,ZAR,reference,15.9403
2022-01-04,USD,AED,reference,3.672
2022-01-04,USD,ARS,reference,103.0143
2022-01-04,USD,AUD,reference,1.3906
2022-01-04,USD,BMD,reference,1
2022-01-04,USD,BOB,reference,6.86
2022-01-04,USD,BRL,reference,5.6542
2022-01-04,USD,BSD,reference,1
2022-01-04,USD,CAD,reference,1.2755
2022-01-04,USD,CHF,reference,0.9194
