date,base,quote,type,value
2025-01-01,USD,CRC,sell,512.73
2025-01-02,USD,CRC,sell,512.73
2025-01-03,USD,CRC,sell,513.23
2025-01-04,USD,CRC,sell,511.93
2025-01-05,USD,CRC,sell,511.93
2025-01-06,USD,CRC,sell,511.93
2025-01-07,USD,CRC,sell,510.95
2025-01-08,USD,CRC,sell,509.63
2025-01-09,USD,CRC,sell,508.45
2025-01-10,USD,CRC,sell,507.37
2025-01-11,USD,CRC,sell,507.18
2025-01-12,USD,CRC,sell,507.18
2025-01-13,USD,CRC,sell,507.18
2025-01-14,USD,CRC,sell,506.96
2025-01-15,USD,CRC,sell,505
2025-01-16,USD,CRC,sell,504.27
2025-01-17,USD,CRC,sell,505.52
2025-01-18,USD,CRC,sell,506.23
2025-01-19,USD,CRC,sell,506.23
2025-01-20,USD,CRC,sell,506.23
2025-01-21,USD,CRC,sell,506.58
2025-01-22,USD,CRC,sell,506.87
2025-01-23,USD,CRC,sell,507.25
2025-01-24,USD,CRC,sell,507.52
2025-01-25,USD,CRC,sell,509.42
2025-01-26,USD,CRC,sell,509.42
2025-01-27,USD,CRC,sell,509.42
2025-01-28,USD,CRC,sell,510.37
2025-01-29,USD,CRC,sell,509.26
2025-01-30,USD,CRC,sell,509.28
2025-01-31,USD,CRC,sell,510.66
2025-02-01,USD,CRC,sell,511.38
2025-02-02,USD,CRC,sell,511.38
2025-02-03,USD,CRC,sell,511.38
2025-02-04,USD,CRC,sell,510.99
2025-02-05,USD,CRC,sell,511.14
2025-02-06,USD,CRC,sell,511.48
2025-02-07,USD,CRC,sell,511.34
2025-02-08,USD,CRC,sell,511.67
2025-02-09,USD,CRC,sell,511.67
2025-02-10,USD,CRC,sell,511.67
2025-02-11,USD,CRC,sell,510.76
2025-02-12,USD,CRC,sell,510.14
2025-02-13,USD,CRC,sell,509.92
2025-02-14,USD,CRC,sell,508.98
2025-02-15,USD,CRC,sell,509.5
2025-02-16,USD,CRC,sell,509.5
2025-02-17,USD,CRC,sell,509.5
2025-02-18,USD,CRC,sell,508.18
2025-02-19,USD,CRC,sell,508.54
2025-02-20,USD,CRC,sell,507.83
2025-02-21,USD,CRC,sell,508.61
2025-02-22,USD,CRC,sell,508.9
2025-02-23,USD,CRC,sell,508.9
2025-02-24,USD,CRC,sell,508.9
2025-02-25,USD,CRC,sell,508.42
2025-02-26,USD,CRC,sell,509.18
2025-02-27,USD,CRC,sell,509.28
2025-02-28,USD,CRC,sell,508.72
2025-03-01,USD,CRC,sell,508.15
2025-03-02,USD,CRC,sell,508.15
2025-03-03,USD,CRC,sell,508.15
2025-03-04,USD,CRC,sell,506.27
2025-03-05,USD,CRC,sell,507.54
2025-03-06,USD,CRC,sell,508.52
2025-03-07,USD,CRC,sell,507.42
2025-03-08,USD,CRC,sell,508.44
2025-03-09,USD,CRC,sell,508.44
2025-03-10,USD,CRC,sell,508.44
2025-03-11,USD,CRC,sell,506.04
2025-03-12,USD,CRC,sell,503.71
2025-03-13,USD,CRC,sell,502.55
2025-03-14,USD,CRC,sell,502.07
2025-03-15,USD,CRC,sell,501.96
2025-03-16,USD,CRC,sell,501.96
2025-03-17,USD,CRC,sell,501.96
2025-03-18,USD,CRC,sell,501.6
2025-03-19,USD,CRC,sell,501.68
2025-03-20,USD,CRC,sell,501.74
2025-03-21,USD,CRC,sell,503.04
2025-03-22,USD,CRC,sell,502.76
2025-03-23,USD,CRC,sell,502.76
2025-03-24,USD,CRC,sell,502.76
2025-03-25,USD,CRC,sell,501.79
2025-03-26,USD,CRC,sell,501.15
2025-03-27,USD,CRC,sell,501.88
2025-03-28,USD,CRC,sell,502.95
2025-03-29,USD,CRC,sell,504.21
2025-03-30,USD,CRC,sell,504.21
2025-03-31,USD,CRC,sell,504.21
2025-04-01,USD,CRC,sell,504.07
2025-04-02,USD,CRC,sell,505.82
2025-04-03,USD,CRC,sell,506.3
2025-04-04,USD,CRC,sell,508.27
2025-04-05,USD,CRC,sell,510.91
2025-04-06,USD,CRC,sell,510.91
2025-04-07,USD,CRC,sell,510.91
2025-04-08,USD,CRC,sell,511.19
2025-04-09,USD,CRC,sell,512.14
2025-04-10,USD,CRC,sell,512.07
2025-04-11,USD,CRC,sell,510.17
2025-04-12,USD,CRC,sell,510.17
2025-04-13,USD,CRC,sell,510.17
2025-04-14,USD,CRC,sell,510.17
2025-04-15,USD,CRC,sell,508.21
2025-04-16,USD,CRC,sell,506.74
2025-04-17,USD,CRC,sell,506.48
2025-04-18,USD,CRC,sell,506.48
2025-04-19,USD,CRC,sell,506.48
2025-04-20,USD,CRC,sell,506.48
2025-04-21,USD,CRC,sell,506.48
2025-04-22,USD,CRC,sell,505.22
2025-04-23,USD,CRC,sell,505.68
2025-04-24,USD,CRC,sell,507.34
2025-04-25,USD,CRC,sell,508.52
2025-04-26,USD,CRC,sell,508.96
2025-04-27,USD,CRC,sell,508.96
2025-04-28,USD,CRC,sell,508.96
2025-04-29,USD,CRC,sell,508.4
2025-04-30,USD,CRC,sell,508
2025-05-01,USD,CRC,sell,508.67
2025-05-02,USD,CRC,sell,508.67
2025-05-03,USD,CRC,sell,509.57
2025-05-04,USD,CRC,sell,509.57
2025-05-05,USD,CRC,sell,509.57
2025-05-06,USD,CRC,sell,508.82
2025-05-07,USD,CRC,sell,510.43
2025-05-08,USD,CRC,sell,510.86
2025-05-09,USD,CRC,sell,510.6
2025-05-10,USD,CRC,sell,510.76
2025-05-11,USD,CRC,sell,510.76
2025-05-12,USD,CRC,sell,510.76
2025-05-13,USD,CRC,sell,509.64
2025-05-14,USD,CRC,sell,508.35
2025-05-15,USD,CRC,sell,507.48
2025-05-16,USD,CRC,sell,506.43
2025-05-17,USD,CRC,sell,506.41
2025-05-18,USD,CRC,sell,506.41
2025-05-19,USD,CRC,sell,506.41
2025-05-20,USD,CRC,sell,505.96
2025-05-21,USD,CRC,sell,507.18
2025-05-22,USD,CRC,sell,509.05
2025-05-23,USD,CRC,sell,510.58
2025-05-24,USD,CRC,sell,511.06
2025-05-25,USD,CRC,sell,511.06
2025-05-26,USD,CRC,sell,511.06
2025-05-27,USD,CRC,sell,510.92
2025-05-28,USD,CRC,sell,511.07
2025-05-29,USD,CRC,sell,511.22
2025-05-30,USD,CRC,sell,509.9
2025-05-31,USD,CRC,sell,509.94
2025-06-01,USD,CRC,sell,509.94
2025-06-02,USD,CRC,sell,509.94
2025-06-03,USD,CRC,sell,509.33
2025-06-04,USD,CRC,sell,510.67
2025-06-05,USD,CRC,sell,512.02
2025-06-06,USD,CRC,sell,511.84
2025-06-07,USD,CRC,sell,510.68
2025-06-08,USD,CRC,sell,510.68
2025-06-09,USD,CRC,sell,510.68
2025-06-10,USD,CRC,sell,509.32
2025-06-11,USD,CRC,sell,508.46
2025-06-12,USD,CRC,sell,505.81
2025-06-13,USD,CRC,sell,505.64
2025-06-14,USD,CRC,sell,505.28
2025-06-15,USD,CRC,sell,505.28
2025-06-16,USD,CRC,sell,505.28
2025-06-17,USD,CRC,sell,505.4
2025-06-18,USD,CRC,sell,506.27
2025-06-19,USD,CRC,sell,507.95
2025-06-20,USD,CRC,sell,509.2
2025-06-21,USD,CRC,sell,510.37
2025-06-22,USD,CRC,sell,510.37
2025-06-23,USD,CRC,sell,510.37
2025-06-24,USD,CRC,sell,510.35
2025-06-25,USD,CRC,sell,508.2
2025-06-26,USD,CRC,sell,507.19
2025-06-27,USD,CRC,sell,507.73
2025-06-28,USD,CRC,sell,508.28
2025-06-29,USD,CRC,sell,508.28
2025-06-30,USD,CRC,sell,508.28
2025-07-01,USD,CRC,sell,508.85
2025-07-02,USD,CRC,sell,507.92
2025-07-03,USD,CRC,sell,507.6
2025-07-04,USD,CRC,sell,507.31
2025-07-05,USD,CRC,sell,508.24
2025-07-06,USD,CRC,sell,508.24
2025-07-07,USD,CRC,sell,508.24
