date,base,quote,type,value
2026-01-02,AUD,XOF,reference,374.66
2026-01-02,BRL,XOF,reference,102.91
2026-01-02,CAD,XOF,reference,407.5
2026-01-02,CHF,XOF,reference,705.63
2026-01-02,CNY,XOF,reference,80.02
2026-01-02,CZK,XOF,reference,27.13
2026-01-02,DKK,XOF,reference,87.82
2026-01-02,EUR,XOF,reference,655.957
2026-01-02,GBP,XOF,reference,752.33
2026-01-02,HKD,XOF,reference,71.82
2026-01-02,HUF,XOF,reference,1.71
2026-01-02,ILS,XOF,reference,176.27
2026-01-02,INR,XOF,reference,6.2
2026-01-02,JPY,XOF,reference,3.5661
2026-01-02,KRW,XOF,reference,0.39
2026-01-02,NOK,XOF,reference,55.6
2026-01-02,NZD,XOF,reference,322.86
2026-01-02,PLN,XOF,reference,155.72
2026-01-02,SEK,XOF,reference,60.69
2026-01-02,SGD,XOF,reference,435.07
2026-01-02,THB,XOF,reference,17.83
2026-01-02,TRY,XOF,reference,13.01
2026-01-02,USD,XOF,reference,559.64
2026-01-02,ZAR,XOF,reference,33.889
2026-01-05,AED,XOF,reference,153.132
2026-01-05,AUD,XOF,reference,375
2026-01-05,BRL,XOF,reference,103.35
2026-01-05,CAD,XOF,reference,407.76
2026-01-05,CHF,XOF,reference,706.17
2026-01-05,CNY,XOF,reference,80.51
2026-01-05,CZK,XOF,reference,27.11
2026-01-05,DKK,XOF,reference,87.82
2026-01-05,EUR,XOF,reference,655.957
2026-01-05,GBP,XOF,reference,756.06
2026-01-05,HKD,XOF,reference,72.22
2026-01-05,HUF,XOF,reference,1.71
2026-01-05,ILS,XOF,reference,178.01
2026-01-05,INR,XOF,reference,6.23
2026-01-05,JPY,XOF,reference,3.5858
2026-01-05,KRW,XOF,reference,0.39
2026-01-05,KWD,XOF,reference,1839.937
2026-01-05,NOK,XOF,reference,55.69
2026-01-05,NZD,XOF,reference,323.2
2026-01-05,PLN,XOF,reference,155.52
2026-01-05,SAR,XOF,reference,149.967
2026-01-05,SEK,XOF,reference,60.81
2026-01-05,SGD,XOF,reference,436.78
2026-01-05,THB,XOF,reference,17.92
2026-01-05,TRY,XOF,reference,13.07
2026-01-05,USD,XOF,reference,562.38
2026-01-05,ZAR,XOF,reference,34.117
2026-01-06,AUD,XOF,reference,376.51
2026-01-06,BRL,XOF,reference,103.79
2026-01-06,CAD,XOF,reference,406.69
2026-01-06,CHF,XOF,reference,706.32
2026-01-06,CNY,XOF,reference,80.22
2026-01-06,CZK,XOF,reference,27.11
2026-01-06,DKK,XOF,reference,87.78
2026-01-06,EUR,XOF,reference,655.957
2026-01-06,GBP,XOF,reference,757.19
2026-01-06,HKD,XOF,reference,71.95
2026-01-06,HUF,XOF,reference,1.7
2026-01-06,ILS,XOF,reference,177.17
2026-01-06,INR,XOF,reference,6.22
2026-01-06,JPY,XOF,reference,3.5817
2026-01-06,KRW,XOF,reference,0.39
2026-01-06,KWD,XOF,reference,1834.986
2026-01-06,NOK,XOF,reference,55.93
2026-01-06,NZD,XOF,reference,324.22
2026-01-06,PLN,XOF,reference,155.79
2026-01-06,SAR,XOF,reference,149.417
2026-01-06,SEK,XOF,reference,60.93
2026-01-06,SGD,XOF,reference,437.77
2026-01-06,THB,XOF,reference,17.92
2026-01-06,TRY,XOF,reference,13.02
2026-01-06,USD,XOF,reference,560.31
2026-01-06,ZAR,XOF,reference,34.173
2026-01-07,AED,XOF,reference,152.87
2026-01-07,AUD,XOF,reference,377.7
2026-01-07,BRL,XOF,reference,104.13
2026-01-07,CAD,XOF,reference,406.54
2026-01-07,CHF,XOF,reference,705.03
2026-01-07,CNY,XOF,reference,80.3
2026-01-07,CZK,XOF,reference,27.01
2026-01-07,DKK,XOF,reference,87.78
2026-01-07,EUR,XOF,reference,655.957
2026-01-07,GBP,XOF,reference,757.11
2026-01-07,HKD,XOF,reference,72.1
2026-01-07,HUF,XOF,reference,1.7
2026-01-07,ILS,XOF,reference,176.74
2026-01-07,INR,XOF,reference,6.25
2026-01-07,JPY,XOF,reference,3.5862
