date,base,quote,type,value
2026-01-06,USD,HNL,reference,26.3713
2026-01-07,USD,HNL,reference,26.3766
2026-01-08,USD,HNL,reference,26.3955
2026-01-09,USD,HNL,reference,26.4307
2026-01-10,USD,HNL,reference,26.4138
2026-01-13,USD,HNL,reference,26.4064
2026-01-14,USD,HNL,reference,26.3977
2026-01-15,USD,HNL,reference,26.4173
2026-01-16,USD,HNL,reference,26.4308
2026-01-17,USD,HNL,reference,26.4143
2026-01-20,USD,HNL,reference,26.4194
2026-01-21,USD,HNL,reference,26.4083
2026-01-22,USD,HNL,reference,26.432
2026-01-23,USD,HNL,reference,26.4413
2026-01-24,USD,HNL,reference,26.433
2026-01-27,USD,HNL,reference,26.4413
2026-01-28,USD,HNL,reference,26.4314
2026-01-29,USD,HNL,reference,26.4409
2026-01-30,USD,HNL,reference,26.4491
2026-01-31,USD,HNL,reference,26.4635
2026-02-03,USD,HNL,reference,26.4465
2026-02-04,USD,HNL,reference,26.4487
2026-02-05,USD,HNL,reference,26.4527
2026-02-06,USD,HNL,reference,26.46
2026-02-07,USD,HNL,reference,26.4748
2026-02-10,USD,HNL,reference,26.4874
2026-02-11,USD,HNL,reference,26.4585
2026-02-12,USD,HNL,reference,26.4669
2026-02-13,USD,HNL,reference,26.4787
2026-02-14,USD,HNL,reference,26.514
2026-02-17,USD,HNL,reference,26.4721
2026-02-18,USD,HNL,reference,26.4771
2026-02-19,USD,HNL,reference,26.4849
2026-02-20,USD,HNL,reference,26.4907
2026-02-21,USD,HNL,reference,26.4987
2026-02-24,USD,HNL,reference,26.4881
2026-02-25,USD,HNL,reference,26.4986
2026-02-26,USD,HNL,reference,26.491
2026-02-27,USD,HNL,reference,26.4932
2026-02-28,USD,HNL,reference,26.5057
2026-03-03,USD,HNL,reference,26.5024
2026-03-04,USD,HNL,reference,26.51
2026-03-05,USD,HNL,reference,26.5006
2026-03-06,USD,HNL,reference,26.5004
2026-03-07,USD,HNL,reference,26.5136
2026-03-10,USD,HNL,reference,26.5137
2026-03-11,USD,HNL,reference,26.4969
2026-03-12,USD,HNL,reference,26.5002
2026-03-13,USD,HNL,reference,26.5199
2026-03-14,USD,HNL,reference,26.5133
2026-03-17,USD,HNL,reference,26.5079
2026-03-18,USD,HNL,reference,26.5106
2026-03-19,USD,HNL,reference,26.5131
2026-03-20,USD,HNL,reference,26.5243
2026-03-21,USD,HNL,reference,26.5225
2026-03-24,USD,HNL,reference,26.5329
2026-03-25,USD,HNL,reference,26.5394
2026-03-26,USD,HNL,reference,26.5356
2026-03-27,USD,HNL,reference,26.5358
2026-03-28,USD,HNL,reference,26.549
2026-03-31,USD,HNL,reference,26.5631
2026-04-01,USD,HNL,reference,26.5456
2026-04-02,USD,HNL,reference,26.5409
2026-04-07,USD,HNL,reference,26.549
2026-04-08,USD,HNL,reference,26.5455
2026-04-09,USD,HNL,reference,26.5515
2026-04-10,USD,HNL,reference,26.5578
2026-04-11,USD,HNL,reference,26.5543
2026-04-14,USD,HNL,reference,26.5605
2026-04-15,USD,HNL,reference,26.5638
2026-04-16,USD,HNL,reference,26.5731
2026-04-17,USD,HNL,reference,26.5715
2026-04-18,USD,HNL,reference,26.5768
2026-04-21,USD,HNL,reference,26.569
2026-04-22,USD,HNL,reference,26.5791
2026-04-23,USD,HNL,reference,26.5862
2026-04-24,USD,HNL,reference,26.586
2026-04-25,USD,HNL,reference,26.5958
2026-04-28,USD,HNL,reference,26.5965
2026-04-29,USD,HNL,reference,26.6061
2026-04-30,USD,HNL,reference,26.5988
2026-05-01,USD,HNL,reference,26.5971
2026-05-05,USD,HNL,reference,26.6027
2026-05-06,USD,HNL,reference,26.6021
2026-05-07,USD,HNL,reference,26.6018
2026-05-08,USD,HNL,reference,26.6123
2026-05-09,USD,HNL,reference,26.6151
2026-05-12,USD,HNL,reference,26.62
2026-05-13,USD,HNL,reference,26.6184
2026-05-14,USD,HNL,reference,26.6232
2026-05-15,USD,HNL,reference,26.6356
2026-05-16,USD,HNL,reference,26.6271
2026-05-19,USD,HNL,reference,26.6275
2026-05-20,USD,HNL,reference,26.6282
2026-05-21,USD,HNL,reference,26.6438
2026-05-22,USD,HNL,reference,26.6441
2026-05-23,USD,HNL,reference,26.647
2026-05-26,USD,HNL,reference,26.6543
2026-05-27,USD,HNL,reference,26.6526
2026-05-28,USD,HNL,reference,26.6572
2026-05-29,USD,HNL,reference,26.6608
2026-05-30,USD,HNL,reference,26.6562
2026-06-02,USD,HNL,reference,26.6591
2026-06-03,USD,HNL,reference,26.6667
2026-06-04,USD,HNL,reference,26.6689
2026-06-05,USD,HNL,reference,26.669
2026-06-06,USD,HNL,reference,26.6842
2026-06-09,USD,HNL,reference,26.6719
2026-06-10,USD,HNL,reference,26.6844
2026-06-11,USD,HNL,reference,26.6836
2026-06-12,USD,HNL,reference,26.6929
