date,base,quote,type,value
2024-01-02,AED,MRU,reference,10.6842
2024-01-02,CAD,MRU,reference,29.554
2024-01-02,CHF,MRU,reference,46.219626
2024-01-02,CNY,MRU,reference,5.52
2024-01-02,DKK,MRU,reference,5.7722940000000005
2024-01-02,DZD,MRU,reference,0.2913
2024-01-02,EUR,MRU,reference,43.03
2024-01-02,GBP,MRU,reference,49.6712
2024-01-02,JPY,MRU,reference,0.2763633
2024-01-02,KWD,MRU,reference,127.6044
2024-01-02,LYD,MRU,reference,8.2354
2024-01-02,MAD,MRU,reference,3.9506029999999996
2024-01-02,NOK,MRU,reference,3.8313690000000005
2024-01-02,SAR,MRU,reference,10.4634
2024-01-02,SEK,MRU,reference,3.871491
2024-01-02,TND,MRU,reference,12.7048
2024-01-02,USD,MRU,reference,39.24
2024-01-02,XDR,MRU,reference,52.7668
2024-01-02,XOF,MRU,reference,0.0661999
2024-01-03,AED,MRU,reference,10.69
2024-01-03,CAD,MRU,reference,29.42
2024-01-03,CHF,MRU,reference,45.9897
2024-01-03,CNY,MRU,reference,5.49
2024-01-03,DKK,MRU,reference,5.751900000000001
2024-01-03,DZD,MRU,reference,0.29
2024-01-03,EUR,MRU,reference,42.9
2024-01-03,GBP,MRU,reference,49.59
2024-01-03,JPY,MRU,reference,0.27475
2024-01-03,KWD,MRU,reference,127.64
2024-01-03,LYD,MRU,reference,8.22
2024-01-03,MAD,MRU,reference,3.9533
2024-01-03,NOK,MRU,reference,3.7876999999999996
2024-01-03,SAR,MRU,reference,10.47
2024-01-03,SEK,MRU,reference,3.8368
2024-01-03,TND,MRU,reference,12.67
2024-01-03,USD,MRU,reference,39.26
2024-01-03,XDR,MRU,reference,52.67
2024-01-03,XOF,MRU,reference,0.06598000000000001
2024-01-04,AED,MRU,reference,10.6815
2024-01-04,CAD,MRU,reference,29.4166
2024-01-04,CHF,MRU,reference,46.138828000000004
2024-01-04,CNY,MRU,reference,5.4829
2024-01-04,DKK,MRU,reference,5.759783
2024-01-04,DZD,MRU,reference,0.2919
2024-01-04,EUR,MRU,reference,42.96
2024-01-04,GBP,MRU,reference,49.7899
2024-01-04,JPY,MRU,reference,0.2721452
2024-01-04,KWD,MRU,reference,127.5822
2024-01-04,LYD,MRU,reference,8.1828
2024-01-04,MAD,MRU,reference,3.969153
2024-01-04,NOK,MRU,reference,3.812487
2024-01-04,SAR,MRU,reference,10.4605
2024-01-04,SEK,MRU,reference,3.837129
2024-01-04,TND,MRU,reference,12.68
2024-01-04,USD,MRU,reference,39.23
2024-01-04,XDR,MRU,reference,52.5372
2024-01-04,XOF,MRU,reference,0.0655472
2024-01-08,AED,MRU,reference,10.6923
2024-01-08,CAD,MRU,reference,29.341
2024-01-08,CHF,MRU,reference,46.139205000000004
2024-01-08,CNY,MRU,reference,5.4918
2024-01-08,DKK,MRU,reference,5.760539
2024-01-08,DZD,MRU,reference,0.292
2024-01-08,EUR,MRU,reference,42.98
2024-01-08,GBP,MRU,reference,49.9192
2024-01-08,JPY,MRU,reference,0.2715073
2024-01-08,KWD,MRU,reference,127.7165
2024-01-08,LYD,MRU,reference,8.1795
2024-01-08,MAD,MRU,reference,3.9489319999999997
2024-01-08,NOK,MRU,reference,3.777978
2024-01-08,SAR,MRU,reference,10.4714
2024-01-08,SEK,MRU,reference,3.8217079999999997
2024-01-08,TND,MRU,reference,12.6839
2024-01-08,USD,MRU,reference,39.27
2024-01-08,XDR,MRU,reference,52.4949
2024-01-08,XOF,MRU,reference,0.0654227
2024-01-09,AED,MRU,reference,10.7276
2024-01-09,CAD,MRU,reference,29.4716
2024-01-09,CHF,MRU,reference,46.29684
2024-01-09,CNY,MRU,reference,5.5053
2024-01-09,DKK,MRU,reference,5.777812
2024-01-09,DZD,MRU,reference,0.293
2024-01-09,EUR,MRU,reference,43.09
2024-01-09,GBP,MRU,reference,50.1263
2024-01-09,JPY,MRU,reference,0.27355599999999997
2024-01-09,KWD,MRU,reference,128.1634
2024-01-09,LYD,MRU,reference,8.2088
2024-01-09,MAD,MRU,reference,3.954069
2024-01-09,NOK,MRU,reference,3.804819
2024-01-09,SAR,MRU,reference,10.5064
2024-01-09,SEK,MRU,reference,3.842692
2024-01-09,TND,MRU,reference,12.7263
2024-01-09,USD,MRU,reference,39.4
2024-01-09,XDR,MRU,reference,52.5801
2024-01-09,XOF,MRU,reference,0.06574890000000001
2024-01-10,AED,MRU,reference,10.7166
2024-01-10,CAD,MRU,reference,29.4397
2024-01-10,CHF,MRU,reference,46.172796
2024-01-10,CNY,MRU,reference,5.4862
2024-01-10,DKK,MRU,reference,5.77764
2024-01-10,DZD,MRU,reference,0.2927
2024-01-10,EUR,MRU,reference,43.09
2024-01-10,GBP,MRU,reference,50.0939
2024-01-10,JPY,MRU,reference,0.27131920000000004
2024-01-10,KWD,MRU,reference,128.0033
2024-01-10,LYD,MRU,reference,8.2048
2024-01-10,MAD,MRU,reference,3.951855
2024-01-10,NOK,MRU,reference,3.8175380000000003
2024-01-10,SAR,MRU,reference,10.4952
2024-01-10,SEK,MRU,reference,3.849208
2024-01-10,TND,MRU,reference,12.7136
2024-01-10,USD,MRU,reference,39.36
2024-01-10,XDR,MRU,reference,52.5869
2024-01-10,XOF,MRU,reference,0.0657644
2024-01-11,AED,MRU,reference,10.7547
2024-01-11,CAD,MRU,reference,29.5546
2024-01-11,CHF,MRU,reference,46.475509
2024-01-11,CNY,MRU,reference,5.5102
2024-01-11,DKK,MRU,reference,5.81534
2024-01-11,DZD,MRU,reference,0.2941
2024-01-11,EUR,MRU,reference,43.37
2024-01-11,GBP,MRU,reference,50.4135
2024-01-11,JPY,MRU,reference,0.2716999
2024-01-11,KWD,MRU,reference,128.5632
2024-01-11,LYD,MRU,reference,8.2216
2024-01-11,MAD,MRU,reference,3.9707909999999997
2024-01-11,NOK,MRU,reference,3.832853
2024-01-11,SAR,MRU,reference,10.5328
2024-01-11,SEK,MRU,reference,3.870375
2024-01-11,TND,MRU,reference,12.7814
2024-01-11,USD,MRU,reference,39.5
2024-01-11,XDR,MRU,reference,52.7755
2024-01-11,XOF,MRU,reference,0.0658882
2024-01-15,AED,MRU,reference,10.8066
2024-01-15,CAD,MRU,reference,29.5925
2024-01-15,CHF,MRU,reference,46.480852999999996
2024-01-15,CNY,MRU,reference,5.5277
2024-01-15,DKK,MRU,reference,5.8283309999999995
2024-01-15,DZD,MRU,reference,0.2951
2024-01-15,EUR,MRU,reference,43.47
2024-01-15,GBP,MRU,reference,50.5452
