date,base,quote,type,value
2015-01-01,USD,NIO,reference,26.6019
2015-01-02,USD,NIO,reference,26.6055
2015-01-03,USD,NIO,reference,26.609
2015-01-04,USD,NIO,reference,26.6126
2015-01-05,USD,NIO,reference,26.6161
2015-01-06,USD,NIO,reference,26.6197
2015-01-07,USD,NIO,reference,26.6233
2015-01-08,USD,NIO,reference,26.6268
2015-01-09,USD,NIO,reference,26.6304
2015-01-10,USD,NIO,reference,26.6339
2015-01-11,USD,NIO,reference,26.6375
2015-01-12,USD,NIO,reference,26.6411
2015-01-13,USD,NIO,reference,26.6446
2015-01-14,USD,NIO,reference,26.6482
2015-01-15,USD,NIO,reference,26.6517
2015-01-16,USD,NIO,reference,26.6553
2015-01-17,USD,NIO,reference,26.6589
2015-01-18,USD,NIO,reference,26.6624
2015-01-19,USD,NIO,reference,26.666
2015-01-20,USD,NIO,reference,26.6696
2015-01-21,USD,NIO,reference,26.6731
2015-01-22,USD,NIO,reference,26.6767
2015-01-23,USD,NIO,reference,26.6803
2015-01-24,USD,NIO,reference,26.6838
2015-01-25,USD,NIO,reference,26.6874
2015-01-26,USD,NIO,reference,26.691
2015-01-27,USD,NIO,reference,26.6945
2015-01-28,USD,NIO,reference,26.6981
2015-01-29,USD,NIO,reference,26.7017
2015-01-30,USD,NIO,reference,26.7052
2015-01-31,USD,NIO,reference,26.7088
2015-02-01,USD,NIO,reference,26.7124
2015-02-02,USD,NIO,reference,26.7159
2015-02-03,USD,NIO,reference,26.7195
2015-02-04,USD,NIO,reference,26.7231
2015-02-05,USD,NIO,reference,26.7267
2015-02-06,USD,NIO,reference,26.7302
2015-02-07,USD,NIO,reference,26.7338
2015-02-08,USD,NIO,reference,26.7374
2015-02-09,USD,NIO,reference,26.741
2015-02-10,USD,NIO,reference,26.7445
2015-02-11,USD,NIO,reference,26.7481
2015-02-12,USD,NIO,reference,26.7517
2015-02-13,USD,NIO,reference,26.7553
2015-02-14,USD,NIO,reference,26.7588
2015-02-15,USD,NIO,reference,26.7624
2015-02-16,USD,NIO,reference,26.766
2015-02-17,USD,NIO,reference,26.7696
2015-02-18,USD,NIO,reference,26.7731
2015-02-19,USD,NIO,reference,26.7767
2015-02-20,USD,NIO,reference,26.7803
2015-02-21,USD,NIO,reference,26.7839
2015-02-22,USD,NIO,reference,26.7875
2015-02-23,USD,NIO,reference,26.791
2015-02-24,USD,NIO,reference,26.7946
2015-02-25,USD,NIO,reference,26.7982
2015-02-26,USD,NIO,reference,26.8018
2015-02-27,USD,NIO,reference,26.8054
2015-02-28,USD,NIO,reference,26.809
2015-03-01,USD,NIO,reference,26.8125
2015-03-02,USD,NIO,reference,26.8161
2015-03-03,USD,NIO,reference,26.8197
2015-03-04,USD,NIO,reference,26.8233
2015-03-05,USD,NIO,reference,26.8269
2015-03-06,USD,NIO,reference,26.8305
2015-03-07,USD,NIO,reference,26.8341
2015-03-08,USD,NIO,reference,26.8376
2015-03-09,USD,NIO,reference,26.8412
2015-03-10,USD,NIO,reference,26.8448
2015-03-11,USD,NIO,reference,26.8484
2015-03-12,USD,NIO,reference,26.852
2015-03-13,USD,NIO,reference,26.8556
2015-03-14,USD,NIO,reference,26.8592
2015-03-15,USD,NIO,reference,26.8628
2015-03-16,USD,NIO,reference,26.8664
2015-03-17,USD,NIO,reference,26.8699
2015-03-18,USD,NIO,reference,26.8735
2015-03-19,USD,NIO,reference,26.8771
2015-03-20,USD,NIO,reference,26.8807
2015-03-21,USD,NIO,reference,26.8843
2015-03-22,USD,NIO,reference,26.8879
2015-03-23,USD,NIO,reference,26.8915
2015-03-24,USD,NIO,reference,26.8951
2015-03-25,USD,NIO,reference,26.8987
2015-03-26,USD,NIO,reference,26.9023
2015-03-27,USD,NIO,reference,26.9059
2015-03-28,USD,NIO,reference,26.9095
2015-03-29,USD,NIO,reference,26.9131
2015-03-30,USD,NIO,reference,26.9167
2015-03-31,USD,NIO,reference,26.9203
2015-04-01,USD,NIO,reference,26.9239
2015-04-02,USD,NIO,reference,26.9275
2015-04-03,USD,NIO,reference,26.9311
2015-04-04,USD,NIO,reference,26.9347
2015-04-05,USD,NIO,reference,26.9383
2015-04-06,USD,NIO,reference,26.9419
2015-04-07,USD,NIO,reference,26.9455
2015-04-08,USD,NIO,reference,26.9491
2015-04-09,USD,NIO,reference,26.9527
2015-04-10,USD,NIO,reference,26.9563
2015-04-11,USD,NIO,reference,26.9599
