date,base,quote,type,value
2024-01-02,AED,PYG,reference,1982.58
2024-01-02,ARS,PYG,reference,8.98
2024-01-02,AUD,PYG,reference,4943.1
2024-01-02,BOB,PYG,reference,1061.38
2024-01-02,BRL,PYG,reference,1492.35
2024-01-02,CAD,PYG,reference,5469.53
2024-01-02,CHF,PYG,reference,8600.33
2024-01-02,CLP,PYG,reference,8.25
2024-01-02,CNY,PYG,reference,1020.11
2024-01-02,COP,PYG,reference,1.87
2024-01-02,DKK,PYG,reference,1071.01
2024-01-02,EUR,PYG,reference,7983.66
2024-01-02,GBP,PYG,reference,9199.59
2024-01-02,JPY,PYG,reference,51.45
2024-01-02,MXN,PYG,reference,428.47
2024-01-02,NOK,PYG,reference,707.32
2024-01-02,NZD,PYG,reference,4573.22
2024-01-02,PEN,PYG,reference,1967.05
2024-01-02,SEK,PYG,reference,717.47
2024-01-02,SGD,PYG,reference,5496.78
2024-01-02,TWD,PYG,reference,235.95
2024-01-02,USD,PYG,reference,7281.04
2024-01-02,UYU,PYG,reference,186.69
2024-01-02,XAU,PYG,reference,15065491.11
2024-01-02,XDR,PYG,reference,9750.77
2024-01-02,ZAR,PYG,reference,393.47
2024-01-03,AED,PYG,reference,1977.38
2024-01-03,ARS,PYG,reference,8.95
2024-01-03,AUD,PYG,reference,4891.77
2024-01-03,BOB,PYG,reference,1058.62
2024-01-03,BRL,PYG,reference,1480.98
2024-01-03,CAD,PYG,reference,5443.06
2024-01-03,CHF,PYG,reference,8523.63
2024-01-03,CLP,PYG,reference,8.24
2024-01-03,CNY,PYG,reference,1015.82
2024-01-03,COP,PYG,reference,1.86
2024-01-03,DKK,PYG,reference,1065.03
2024-01-03,EUR,PYG,reference,7941.87
2024-01-03,GBP,PYG,reference,9188.77
2024-01-03,JPY,PYG,reference,50.82
2024-01-03,MXN,PYG,reference,426.66
2024-01-03,NOK,PYG,reference,702.71
2024-01-03,NZD,PYG,reference,4539.56
2024-01-03,PEN,PYG,reference,1945.54
2024-01-03,SEK,PYG,reference,707.97
2024-01-03,SGD,PYG,reference,5470.53
2024-01-03,TWD,PYG,reference,234.21
2024-01-03,USD,PYG,reference,7262.13
2024-01-03,UYU,PYG,reference,185.73
2024-01-03,XAU,PYG,reference,14866306.32
2024-01-03,XDR,PYG,reference,9702.93
2024-01-03,ZAR,PYG,reference,388.16
2024-01-04,AED,PYG,reference,1976.23
2024-01-04,ARS,PYG,reference,8.94
