date,base,quote,type,value
2022-01-03,AUD,ARS,reference,74.1188
2022-01-03,AWG,ARS,reference,57.829431
2022-01-03,BOB,ARS,reference,14.924724
2022-01-03,BRL,ARS,reference,18.192416
2022-01-03,CAD,ARS,reference,80.752646
2022-01-03,CHF,ARS,reference,112.05396
2022-01-03,CLP,ARS,reference,0.120936
2022-01-03,CNH,ARS,reference,16.163455
2022-01-03,CNY,ARS,reference,16.204906
2022-01-03,COP,ARS,reference,0.025349
2022-01-03,CZK,ARS,reference,4.682946
2022-01-03,DKK,ARS,reference,15.627134
2022-01-03,EUR,ARS,reference,116.2252
2022-01-03,GBP,ARS,reference,138.7513
2022-01-03,HKD,ARS,reference,13.210378
2022-01-03,ILS,ARS,reference,33.088117
2022-01-03,INR,ARS,reference,1.387041
2022-01-03,JPY,ARS,reference,0.893167
2022-01-03,MXP,ARS,reference,5.006903
2022-01-03,NIO,ARS,reference,2.905017
2022-01-03,NOK,ARS,reference,11.596357
2022-01-03,NZD,ARS,reference,69.9473
2022-01-03,PEN,ARS,reference,25.856659
2022-01-03,PYG,ARS,reference,0.014926
2022-01-03,REF,ARS,reference,103.04
2022-01-03,RSD,ARS,reference,0.993638
2022-01-03,RUB,ARS,reference,1.381334
2022-01-03,SEK,ARS,reference,11.291136
2022-01-03,SGD,ARS,reference,76.082139
2022-01-03,TRY,ARS,reference,7.935346
2022-01-03,USD,ARS,reference,103
2022-01-03,UYU,ARS,reference,2.307089
2022-01-03,VEB,ARS,reference,22.4469337
2022-01-03,VND,ARS,reference,0.0045187330000000005
2022-01-03,XDR,ARS,reference,144.30094
2022-01-03,ZAR,ARS,reference,6.500925
2022-01-04,AUD,ARS,reference,74.626851
2022-01-04,AWG,ARS,reference,57.879962
2022-01-04,BOB,ARS,reference,14.946428
2022-01-04,BRL,ARS,reference,18.142302
2022-01-04,CAD,ARS,reference,81.192408
2022-01-04,CHF,ARS,reference,112.592835
2022-01-04,CLP,ARS,reference,0.121629
2022-01-04,CNH,ARS,reference,16.167937
2022-01-04,CNY,ARS,reference,16.177071
2022-01-04,COP,ARS,reference,0.02526
