date,base,quote,type,value
2013-01-02,AUD,DOP,reference,19.7045
2013-01-02,CAD,DOP,reference,40.938
2013-01-02,CHF,DOP,reference,44.0332
2013-01-02,CNY,DOP,reference,6.4171
2013-01-02,DKK,DOP,reference,7.175
2013-01-02,EUR,DOP,reference,53.5265
2013-01-02,GBP,DOP,reference,65.772
2013-01-02,JPY,DOP,reference,0.4663
2013-01-02,NOK,DOP,reference,7.3149
2013-01-02,SEK,DOP,reference,6.2559
2013-01-02,USD,DOP,buy,40.3608
2013-01-02,USD,DOP,reference,40.3608
2013-01-02,USD,DOP,sell,40.4132
2013-01-02,XDR,DOP,reference,62.164
2013-01-03,AUD,DOP,reference,19.783
2013-01-03,CAD,DOP,reference,40.9894
2013-01-03,CHF,DOP,reference,43.8178
2013-01-03,CNY,DOP,reference,6.4212
2013-01-03,DKK,DOP,reference,7.0933
2013-01-03,EUR,DOP,reference,52.9149
2013-01-03,GBP,DOP,reference,65.346
2013-01-03,JPY,DOP,reference,0.4666
2013-01-03,NOK,DOP,reference,7.257
2013-01-03,SEK,DOP,reference,6.2052
2013-01-03,USD,DOP,buy,40.3869
2013-01-03,USD,DOP,reference,40.3869
2013-01-03,USD,DOP,sell,40.5214
2013-01-03,XDR,DOP,reference,61.9366
2013-01-04,AUD,DOP,reference,19.7674
2013-01-04,CAD,DOP,reference,41.0431
2013-01-04,CHF,DOP,reference,43.4875
2013-01-04,CNY,DOP,reference,6.4315
2013-01-04,DKK,DOP,reference,7.0566
2013-01-04,EUR,DOP,reference,52.6363
2013-01-04,GBP,DOP,reference,64.7921
2013-01-04,JPY,DOP,reference,0.4615
2013-01-04,NOK,DOP,reference,7.2115
2013-01-04,SEK,DOP,reference,6.1834
2013-01-04,USD,DOP,buy,40.4521
2013-01-04,USD,DOP,reference,40.4521
2013-01-04,USD,DOP,sell,40.6186
2013-01-04,XDR,DOP,reference,61.6852
2013-01-07,AUD,DOP,reference,19.851
2013-01-07,CAD,DOP,reference,41.1213
2013-01-07,CHF,DOP,reference,43.7338
