date,base,quote,type,value
2020-01-02,EUR,PEN,buy,3.672
2020-01-02,EUR,PEN,sell,3.775
2020-01-02,USD,PEN,buy,3.301
2020-01-02,USD,PEN,sell,3.305
2020-01-03,EUR,PEN,buy,3.656
2020-01-03,EUR,PEN,sell,3.786
2020-01-03,USD,PEN,buy,3.308
2020-01-03,USD,PEN,sell,3.311
2020-01-06,EUR,PEN,buy,3.69
2020-01-06,EUR,PEN,sell,3.827
2020-01-06,USD,PEN,buy,3.32
2020-01-06,USD,PEN,sell,3.323
2020-01-07,EUR,PEN,buy,3.689
2020-01-07,EUR,PEN,sell,3.84
2020-01-07,USD,PEN,buy,3.325
2020-01-07,USD,PEN,sell,3.327
2020-01-08,EUR,PEN,buy,3.641
2020-01-08,EUR,PEN,sell,3.807
2020-01-08,USD,PEN,buy,3.318
2020-01-08,USD,PEN,sell,3.32
2020-01-09,EUR,PEN,buy,3.678
2020-01-09,EUR,PEN,sell,3.728
2020-01-09,USD,PEN,buy,3.319
2020-01-09,USD,PEN,sell,3.321
2020-01-10,EUR,PEN,buy,3.676
2020-01-10,EUR,PEN,sell,3.733
2020-01-10,USD,PEN,buy,3.321
2020-01-10,USD,PEN,sell,3.324
2020-01-13,EUR,PEN,buy,3.688
2020-01-13,EUR,PEN,sell,3.75
2020-01-13,USD,PEN,buy,3.334
2020-01-13,USD,PEN,sell,3.336
2020-01-14,EUR,PEN,buy,3.692
2020-01-14,EUR,PEN,sell,3.744
2020-01-14,USD,PEN,buy,3.328
2020-01-14,USD,PEN,sell,3.33
2020-01-15,EUR,PEN,buy,3.667
2020-01-15,EUR,PEN,sell,3.934
2020-01-15,USD,PEN,buy,3.322
2020-01-15,USD,PEN,sell,3.327
2020-01-16,EUR,PEN,buy,3.687
2020-01-16,EUR,PEN,sell,3.749
2020-01-16,USD,PEN,buy,3.321
2020-01-16,USD,PEN,sell,3.326
2020-01-17,EUR,PEN,buy,3.656
2020-01-17,EUR,PEN,sell,3.824
2020-01-17,USD,PEN,buy,3.319
2020-01-17,USD,PEN,sell,3.324
2020-01-20,EUR,PEN,buy,3.636
2020-01-20,EUR,PEN,sell,3.819
2020-01-20,USD,PEN,buy,3.318
2020-01-20,USD,PEN,sell,3.323
2020-01-21,EUR,PEN,buy,3.658
2020-01-21,EUR,PEN,sell,3.836
2020-01-21,USD,PEN,buy,3.317
2020-01-21,USD,PEN,sell,3.32
2020-01-22,EUR,PEN,buy,3.641
2020-01-22,EUR,PEN,sell,3.823
2020-01-22,USD,PEN,buy,3.314
2020-01-22,USD,PEN,sell,3.317
2020-01-23,EUR,PEN,buy,3.621
2020-01-23,EUR,PEN,sell,3.758
2020-01-23,USD,PEN,buy,3.32
2020-01-23,USD,PEN,sell,3.322
2020-01-24,EUR,PEN,buy,3.644
2020-01-24,EUR,PEN,sell,3.737
2020-01-24,USD,PEN,buy,3.32
2020-01-24,USD,PEN,sell,3.325
2020-01-27,EUR,PEN,buy,3.608
2020-01-27,EUR,PEN,sell,3.928
2020-01-27,USD,PEN,buy,3.336
2020-01-27,USD,PEN,sell,3.339
2020-01-28,EUR,PEN,buy,3.657
2020-01-28,EUR,PEN,sell,3.695
2020-01-28,USD,PEN,buy,3.332
2020-01-28,USD,PEN,sell,3.335
2020-01-29,EUR,PEN,buy,3.66
2020-01-29,EUR,PEN,sell,3.825
2020-01-29,USD,PEN,buy,3.343
2020-01-29,USD,PEN,sell,3.345
2020-01-30,EUR,PEN,buy,3.622
2020-01-30,EUR,PEN,sell,3.815
2020-01-30,USD,PEN,buy,3.359
2020-01-30,USD,PEN,sell,3.36
2020-01-31,EUR,PEN,buy,3.721
2020-01-31,EUR,PEN,sell,3.762
2020-01-31,USD,PEN,buy,3.373
2020-01-31,USD,PEN,sell,3.376
2020-02-03,EUR,PEN,buy,3.736
2020-02-03,EUR,PEN,sell,3.752
2020-02-03,USD,PEN,buy,3.372
2020-02-03,USD,PEN,sell,3.374
2020-02-04,EUR,PEN,buy,3.69
2020-02-04,EUR,PEN,sell,3.756
2020-02-04,USD,PEN,buy,3.36
2020-02-04,USD,PEN,sell,3.364
2020-02-05,EUR,PEN,buy,3.689
2020-02-05,EUR,PEN,sell,3.719
2020-02-05,USD,PEN,buy,3.359
2020-02-05,USD,PEN,sell,3.36
2020-02-06,EUR,PEN,buy,3.657
2020-02-06,EUR,PEN,sell,3.743
2020-02-06,USD,PEN,buy,3.369
2020-02-06,USD,PEN,sell,3.371
2020-02-07,EUR,PEN,buy,3.689
2020-02-07,EUR,PEN,sell,3.837
2020-02-07,USD,PEN,buy,3.385
2020-02-07,USD,PEN,sell,3.388
2020-02-10,EUR,PEN,buy,3.681
2020-02-10,EUR,PEN,sell,3.91
2020-02-10,USD,PEN,buy,3.392
2020-02-10,USD,PEN,sell,3.394
2020-02-11,EUR,PEN,buy,3.656
2020-02-11,EUR,PEN,sell,3.823
2020-02-11,USD,PEN,buy,3.387
2020-02-11,USD,PEN,sell,3.39
2020-02-12,EUR,PEN,buy,3.669
2020-02-12,EUR,PEN,sell,3.733
2020-02-12,USD,PEN,buy,3.381
2020-02-12,USD,PEN,sell,3.383
2020-02-13,EUR,PEN,buy,3.656
2020-02-13,EUR,PEN,sell,3.733
2020-02-13,USD,PEN,buy,3.383
2020-02-13,USD,PEN,sell,3.385
2020-02-14,EUR,PEN,buy,3.631
2020-02-14,EUR,PEN,sell,3.846
2020-02-14,USD,PEN,buy,3.38
2020-02-14,USD,PEN,sell,3.384
2020-02-17,EUR,PEN,buy,3.631
2020-02-17,EUR,PEN,sell,3.846
2020-02-17,USD,PEN,buy,3.38
2020-02-17,USD,PEN,sell,3.384
2020-02-18,EUR,PEN,buy,3.646
2020-02-18,EUR,PEN,sell,3.692
2020-02-18,USD,PEN,buy,3.383
2020-02-18,USD,PEN,sell,3.386
2020-02-19,EUR,PEN,buy,3.586
2020-02-19,EUR,PEN,sell,3.736
2020-02-19,USD,PEN,buy,3.382
2020-02-19,USD,PEN,sell,3.384
2020-02-20,EUR,PEN,buy,3.62
2020-02-20,EUR,PEN,sell,3.758
2020-02-20,USD,PEN,buy,3.389
2020-02-20,USD,PEN,sell,3.392
2020-02-21,EUR,PEN,buy,3.649
2020-02-21,EUR,PEN,sell,3.763
2020-02-21,USD,PEN,buy,3.391
2020-02-21,USD,PEN,sell,3.394
2020-02-24,EUR,PEN,buy,3.663
2020-02-24,EUR,PEN,sell,3.8
2020-02-24,USD,PEN,buy,3.401
2020-02-24,USD,PEN,sell,3.404
2020-02-25,EUR,PEN,buy,3.681
2020-02-25,EUR,PEN,sell,3.755
2020-02-25,USD,PEN,buy,3.402
2020-02-25,USD,PEN,sell,3.405
2020-02-26,EUR,PEN,buy,3.702
2020-02-26,EUR,PEN,sell,3.731
2020-02-26,USD,PEN,buy,3.409
2020-02-26,USD,PEN,sell,3.412
2020-02-27,EUR,PEN,buy,3.737
2020-02-27,EUR,PEN,sell,3.803
2020-02-27,USD,PEN,buy,3.426
2020-02-27,USD,PEN,sell,3.43
2020-02-28,EUR,PEN,buy,3.772
2020-02-28,EUR,PEN,sell,3.818
2020-02-28,USD,PEN,buy,3.448
2020-02-28,USD,PEN,sell,3.451
2020-03-02,EUR,PEN,buy,3.762
2020-03-02,EUR,PEN,sell,3.999
2020-03-02,USD,PEN,buy,3.441
2020-03-02,USD,PEN,sell,3.445
2020-03-03,EUR,PEN,buy,3.79
2020-03-03,EUR,PEN,sell,3.927
2020-03-03,USD,PEN,buy,3.425
2020-03-03,USD,PEN,sell,3.428
2020-03-04,EUR,PEN,buy,3.793
2020-03-04,EUR,PEN,sell,3.83
2020-03-04,USD,PEN,buy,3.42
2020-03-04,USD,PEN,sell,3.425
2020-03-05,EUR,PEN,buy,3.829
2020-03-05,EUR,PEN,sell,3.934
2020-03-05,USD,PEN,buy,3.438
2020-03-05,USD,PEN,sell,3.44
2020-03-06,EUR,PEN,buy,3.887
2020-03-06,EUR,PEN,sell,4.052
2020-03-06,USD,PEN,buy,3.47
2020-03-06,USD,PEN,sell,3.473
2020-03-09,EUR,PEN,buy,3.94
2020-03-09,EUR,PEN,sell,4.021
2020-03-09,USD,PEN,buy,3.499
2020-03-09,USD,PEN,sell,3.502
2020-03-10,EUR,PEN,buy,3.862
2020-03-10,EUR,PEN,sell,4.055
2020-03-10,USD,PEN,buy,3.494
2020-03-10,USD,PEN,sell,3.498
2020-03-11,EUR,PEN,buy,3.869
2020-03-11,EUR,PEN,sell,4.148
2020-03-11,USD,PEN,buy,3.507
2020-03-11,USD,PEN,sell,3.51
2020-03-12,EUR,PEN,buy,3.927
2020-03-12,EUR,PEN,sell,3.998
2020-03-12,USD,PEN,buy,3.543
2020-03-12,USD,PEN,sell,3.545
2020-03-13,EUR,PEN,buy,3.889
2020-03-13,EUR,PEN,sell,4.084
2020-03-13,USD,PEN,buy,3.526
2020-03-13,USD,PEN,sell,3.53
2020-03-16,EUR,PEN,buy,3.908
2020-03-16,EUR,PEN,sell,4.063
2020-03-16,USD,PEN,buy,3.544
2020-03-16,USD,PEN,sell,3.55
2020-03-17,EUR,PEN,buy,3.868
2020-03-17,EUR,PEN,sell,4.012
2020-03-17,USD,PEN,buy,3.549
2020-03-17,USD,PEN,sell,3.554
2020-03-18,EUR,PEN,buy,3.84
2020-03-18,EUR,PEN,sell,3.93
2020-03-18,USD,PEN,buy,3.565
2020-03-18,USD,PEN,sell,3.568
2020-03-19,EUR,PEN,buy,3.804
2020-03-19,EUR,PEN,sell,3.962
2020-03-19,USD,PEN,buy,3.563
2020-03-19,USD,PEN,sell,3.565
2020-03-20,EUR,PEN,buy,3.757
2020-03-20,EUR,PEN,sell,3.879
2020-03-20,USD,PEN,buy,3.52
2020-03-20,USD,PEN,sell,3.525
2020-03-23,EUR,PEN,buy,3.773
2020-03-23,EUR,PEN,sell,4.014
2020-03-23,USD,PEN,buy,3.53
2020-03-23,USD,PEN,sell,3.536
2020-03-24,EUR,PEN,buy,3.736
2020-03-24,EUR,PEN,sell,3.93
2020-03-24,USD,PEN,buy,3.517
2020-03-24,USD,PEN,sell,3.523
2020-03-25,EUR,PEN,buy,3.778
2020-03-25,EUR,PEN,sell,3.824
2020-03-25,USD,PEN,buy,3.496
2020-03-25,USD,PEN,sell,3.503
2020-03-26,EUR,PEN,buy,3.811
2020-03-26,EUR,PEN,sell,3.844
2020-03-26,USD,PEN,buy,3.429
2020-03-26,USD,PEN,sell,3.439
2020-03-27,EUR,PEN,buy,3.73
2020-03-27,EUR,PEN,sell,3.848
2020-03-27,USD,PEN,buy,3.417
2020-03-27,USD,PEN,sell,3.423
2020-03-30,EUR,PEN,buy,3.752
2020-03-30,EUR,PEN,sell,4.006
2020-03-30,USD,PEN,buy,3.431
2020-03-30,USD,PEN,sell,3.439
2020-03-31,EUR,PEN,buy,3.736
2020-03-31,EUR,PEN,sell,3.841
2020-03-31,USD,PEN,buy,3.433
2020-03-31,USD,PEN,sell,3.442
2020-04-01,EUR,PEN,buy,3.74
2020-04-01,EUR,PEN,sell,3.969
2020-04-01,USD,PEN,buy,3.455
2020-04-01,USD,PEN,sell,3.462
2020-04-02,EUR,PEN,buy,3.726
2020-04-02,EUR,PEN,sell,3.783
2020-04-02,USD,PEN,buy,3.453
2020-04-02,USD,PEN,sell,3.458
2020-04-03,EUR,PEN,buy,3.713
2020-04-03,EUR,PEN,sell,3.766
2020-04-03,USD,PEN,buy,3.453
2020-04-03,USD,PEN,sell,3.457
2020-04-06,EUR,PEN,buy,3.558
2020-04-06,EUR,PEN,sell,3.96
2020-04-06,USD,PEN,buy,3.406
2020-04-06,USD,PEN,sell,3.412
2020-04-07,EUR,PEN,buy,3.65
2020-04-07,EUR,PEN,sell,3.789
2020-04-07,USD,PEN,buy,3.367
2020-04-07,USD,PEN,sell,3.373
2020-04-08,EUR,PEN,buy,3.61
2020-04-08,EUR,PEN,sell,3.769
2020-04-08,USD,PEN,buy,3.354
2020-04-08,USD,PEN,sell,3.356
2020-04-13,EUR,PEN,buy,3.658
2020-04-13,EUR,PEN,sell,3.829
2020-04-13,USD,PEN,buy,3.374
2020-04-13,USD,PEN,sell,3.379
2020-04-14,EUR,PEN,buy,3.618
2020-04-14,EUR,PEN,sell,3.768
2020-04-14,USD,PEN,buy,3.388
2020-04-14,USD,PEN,sell,3.393
2020-04-15,EUR,PEN,buy,3.705
2020-04-15,EUR,PEN,sell,3.759
2020-04-15,USD,PEN,buy,3.417
2020-04-15,USD,PEN,sell,3.421
2020-04-16,EUR,PEN,buy,3.672
2020-04-16,EUR,PEN,sell,3.771
2020-04-16,USD,PEN,buy,3.407
2020-04-16,USD,PEN,sell,3.411
2020-04-17,EUR,PEN,buy,3.693
2020-04-17,EUR,PEN,sell,3.754
2020-04-17,USD,PEN,buy,3.403
2020-04-17,USD,PEN,sell,3.407
2020-04-20,EUR,PEN,buy,3.591
2020-04-20,EUR,PEN,sell,3.849
2020-04-20,USD,PEN,buy,3.405
2020-04-20,USD,PEN,sell,3.41
2020-04-21,EUR,PEN,buy,3.682
2020-04-21,EUR,PEN,sell,3.746
2020-04-21,USD,PEN,buy,3.397
2020-04-21,USD,PEN,sell,3.4
2020-04-22,EUR,PEN,buy,3.65
2020-04-22,EUR,PEN,sell,3.697
2020-04-22,USD,PEN,buy,3.37
2020-04-22,USD,PEN,sell,3.376
2020-04-23,EUR,PEN,buy,3.601
2020-04-23,EUR,PEN,sell,3.709
2020-04-23,USD,PEN,buy,3.358
2020-04-23,USD,PEN,sell,3.364
2020-04-24,EUR,PEN,buy,3.55
2020-04-24,EUR,PEN,sell,3.712
2020-04-24,USD,PEN,buy,3.371
2020-04-24,USD,PEN,sell,3.381
2020-04-27,EUR,PEN,buy,3.572
2020-04-27,EUR,PEN,sell,3.992
2020-04-27,USD,PEN,buy,3.391
2020-04-27,USD,PEN,sell,3.4
2020-04-28,EUR,PEN,buy,3.621
2020-04-28,EUR,PEN,sell,3.764
2020-04-28,USD,PEN,buy,3.382
2020-04-28,USD,PEN,sell,3.387
2020-04-29,EUR,PEN,buy,3.619
2020-04-29,EUR,PEN,sell,3.833
2020-04-29,USD,PEN,buy,3.369
2020-04-29,USD,PEN,sell,3.373
2020-04-30,EUR,PEN,buy,3.469
2020-04-30,EUR,PEN,sell,3.965
2020-04-30,USD,PEN,buy,3.376
2020-04-30,USD,PEN,sell,3.383
2020-05-04,EUR,PEN,buy,3.635
2020-05-04,EUR,PEN,sell,3.886
2020-05-04,USD,PEN,buy,3.383
2020-05-04,USD,PEN,sell,3.39
