date,base,quote,type,value
2023-01-02,AED,TND,reference,0.83666
2023-01-02,BHD,TND,reference,8.1509
2023-01-02,CAD,TND,reference,2.2634
2023-01-02,CHF,TND,reference,3.3235
2023-01-02,CNY,TND,reference,0.4454
2023-01-02,DKK,TND,reference,0.441294
2023-01-02,DZD,TND,reference,0.02239
2023-01-02,EUR,TND,reference,3.3145
2023-01-02,GBP,TND,reference,3.7034
2023-01-02,JPY,TND,reference,0.0235183
2023-01-02,KWD,TND,reference,10.0431
2023-01-02,LYD,TND,reference,0.6364
2023-01-02,MAD,TND,reference,0.2939
2023-01-02,MRU,TND,reference,0.08366
2023-01-02,NOK,TND,reference,0.311896
2023-01-02,QAR,TND,reference,0.84097
2023-01-02,SAR,TND,reference,0.81737
2023-01-02,SEK,TND,reference,0.29396
2023-01-02,USD,TND,reference,3.11
2023-01-03,AED,TND,reference,0.84183
2023-01-03,BHD,TND,reference,8.2009
2023-01-03,CAD,TND,reference,2.261
2023-01-03,CHF,TND,reference,3.30197
2023-01-03,CNY,TND,reference,0.4488
2023-01-03,DKK,TND,reference,0.438861
2023-01-03,DZD,TND,reference,0.02246
2023-01-03,EUR,TND,reference,3.3057
2023-01-03,GBP,TND,reference,3.7055
2023-01-03,JPY,TND,reference,0.0236403
2023-01-03,KWD,TND,reference,10.1042
2023-01-03,LYD,TND,reference,0.6433
2023-01-03,MAD,TND,reference,0.2954
2023-01-03,MRU,TND,reference,0.08417
2023-01-03,NOK,TND,reference,0.309706
2023-01-03,QAR,TND,reference,0.84337
2023-01-03,SAR,TND,reference,0.8225
2023-01-03,SEK,TND,reference,0.29269
2023-01-03,USD,TND,reference,3.1178
2023-01-04,AED,TND,reference,0.83865
2023-01-04,BHD,TND,reference,8.1697
2023-01-04,CAD,TND,reference,2.2779
2023-01-04,CHF,TND,reference,3.32133
2023-01-04,CNY,TND,reference,0.4474
2023-01-04,DKK,TND,reference,0.439634
2023-01-04,DZD,TND,reference,0.02242
2023-01-04,EUR,TND,reference,3.3032
2023-01-04,GBP,TND,reference,3.7147
2023-01-04,JPY,TND,reference,0.0235787
2023-01-04,KWD,TND,reference,10.0578
2023-01-04,LYD,TND,reference,0.6409
2023-01-04,MAD,TND,reference,0.29438
2023-01-04,MRU,TND,reference,0.08411
2023-01-04,NOK,TND,reference,0.304977
2023-01-04,QAR,TND,reference,0.84317
2023-01-04,SAR,TND,reference,0.8192
2023-01-04,SEK,TND,reference,0.29296
2023-01-04,USD,TND,reference,3.1162
2023-01-05,AED,TND,reference,0.8435
2023-01-05,BHD,TND,reference,8.2174
2023-01-05,CAD,TND,reference,2.2883
2023-01-05,CHF,TND,reference,3.31748
2023-01-05,CNY,TND,reference,0.4506
2023-01-05,DKK,TND,reference,0.439479
2023-01-05,DZD,TND,reference,0.02259
2023-01-05,EUR,TND,reference,3.3036
2023-01-05,GBP,TND,reference,3.6929
2023-01-05,JPY,TND,reference,0.0231753
2023-01-05,KWD,TND,reference,10.1139
2023-01-05,LYD,TND,reference,0.6422
2023-01-05,MAD,TND,reference,0.2977
2023-01-05,MRU,TND,reference,0.08476
2023-01-05,NOK,TND,reference,0.303691
2023-01-05,QAR,TND,reference,0.84789
2023-01-05,SAR,TND,reference,0.82409
2023-01-05,SEK,TND,reference,0.29175
2023-01-05,USD,TND,reference,3.1202
2023-01-06,AED,TND,reference,0.84383
2023-01-06,BHD,TND,reference,8.2211
2023-01-06,CAD,TND,reference,2.2909
2023-01-06,CHF,TND,reference,3.31327
2023-01-06,CNY,TND,reference,0.4518
2023-01-06,DKK,TND,reference,0.439266
2023-01-06,DZD,TND,reference,0.02249
2023-01-06,EUR,TND,reference,3.2987
2023-01-06,GBP,TND,reference,3.6966
2023-01-06,JPY,TND,reference,0.0232295
2023-01-06,KWD,TND,reference,10.101
2023-01-06,LYD,TND,reference,0.6431
2023-01-06,MAD,TND,reference,0.29752
2023-01-06,MRU,TND,reference,0.08491
2023-01-06,NOK,TND,reference,0.304684
2023-01-06,QAR,TND,reference,0.84787
2023-01-06,SAR,TND,reference,0.82463
2023-01-06,SEK,TND,reference,0.29105
2023-01-06,USD,TND,reference,3.1295
2023-01-09,AED,TND,reference,0.83483
2023-01-09,BHD,TND,reference,8.1335
2023-01-09,CAD,TND,reference,2.2898
2023-01-09,CHF,TND,reference,3.33192
2023-01-09,CNY,TND,reference,0.453
2023-01-09,DKK,TND,reference,0.442017
2023-01-09,DZD,TND,reference,0.02233
2023-01-09,EUR,TND,reference,3.3148
2023-01-09,GBP,TND,reference,3.7305
2023-01-09,JPY,TND,reference,0.0232397
2023-01-09,KWD,TND,reference,10.0175
2023-01-09,LYD,TND,reference,0.6376
2023-01-09,MAD,TND,reference,0.29756
2023-01-09,MRU,TND,reference,0.08426
2023-01-09,NOK,TND,reference,0.309924
2023-01-09,QAR,TND,reference,0.83924
2023-01-09,SAR,TND,reference,0.8161
2023-01-09,SEK,TND,reference,0.29372
2023-01-09,USD,TND,reference,3.1072
2023-01-10,AED,TND,reference,0.83372
2023-01-10,BHD,TND,reference,8.1225
2023-01-10,CAD,TND,reference,2.2863
2023-01-10,CHF,TND,reference,3.32181
2023-01-10,CNY,TND,reference,0.4514
2023-01-10,DKK,TND,reference,0.442469
2023-01-10,DZD,TND,reference,0.02237
2023-01-10,EUR,TND,reference,3.3276
2023-01-10,GBP,TND,reference,3.7244
2023-01-10,JPY,TND,reference,0.0232074
2023-01-10,KWD,TND,reference,10.0128
2023-01-10,LYD,TND,reference,0.6382
2023-01-10,MAD,TND,reference,0.2997
2023-01-10,MRU,TND,reference,0.08414
2023-01-10,NOK,TND,reference,0.307861
2023-01-10,QAR,TND,reference,0.83804
2023-01-10,SAR,TND,reference,0.81559
2023-01-10,SEK,TND,reference,0.29438
2023-01-10,USD,TND,reference,3.1021
2023-01-11,AED,TND,reference,0.83396
2023-01-11,BHD,TND,reference,8.1259
2023-01-11,CAD,TND,reference,2.2821
2023-01-11,CHF,TND,reference,3.29621
2023-01-11,CNY,TND,reference,0.4521
2023-01-11,DKK,TND,reference,0.442788
2023-01-11,DZD,TND,reference,0.02243
2023-01-11,EUR,TND,reference,3.3315
2023-01-11,GBP,TND,reference,3.7093
2023-01-11,JPY,TND,reference,0.0231016
2023-01-11,KWD,TND,reference,10.0126
2023-01-11,LYD,TND,reference,0.6395
2023-01-11,MAD,TND,reference,0.29981
2023-01-11,MRU,TND,reference,0.08417
2023-01-11,NOK,TND,reference,0.307019
2023-01-11,QAR,TND,reference,0.83635
2023-01-11,SAR,TND,reference,0.81564
2023-01-11,SEK,TND,reference,0.29204
2023-01-11,USD,TND,reference,3.0954
2023-01-12,AED,TND,reference,0.83059
2023-01-12,BHD,TND,reference,8.0935
2023-01-12,CAD,TND,reference,2.2789
2023-01-12,CHF,TND,reference,3.27389
2023-01-12,CNY,TND,reference,0.4513
2023-01-12,DKK,TND,reference,0.442882
2023-01-12,DZD,TND,reference,0.02234
2023-01-12,EUR,TND,reference,3.3296
2023-01-12,GBP,TND,reference,3.7182
2023-01-12,JPY,TND,reference,0.0234323
2023-01-12,KWD,TND,reference,9.9766
2023-01-12,LYD,TND,reference,0.6372
2023-01-12,MAD,TND,reference,0.29974
2023-01-12,MRU,TND,reference,0.08383
2023-01-12,NOK,TND,reference,0.307061
2023-01-12,QAR,TND,reference,0.83491
2023-01-12,SAR,TND,reference,0.81224
2023-01-12,SEK,TND,reference,0.29221
2023-01-12,USD,TND,reference,3.0941
2023-01-13,AED,TND,reference,0.83059
2023-01-13,BHD,TND,reference,8.0941
2023-01-13,CAD,TND,reference,2.2707
2023-01-13,CHF,TND,reference,3.27476
2023-01-13,CNY,TND,reference,0.4536
2023-01-13,DKK,TND,reference,0.442192
2023-01-13,DZD,TND,reference,0.02235
2023-01-13,EUR,TND,reference,3.3378
2023-01-13,GBP,TND,reference,3.7069
2023-01-13,JPY,TND,reference,0.0237886
2023-01-13,KWD,TND,reference,9.994
2023-01-13,LYD,TND,reference,0.6375
2023-01-13,MAD,TND,reference,0.30138
2023-01-13,MRU,TND,reference,0.08383
2023-01-13,NOK,TND,reference,0.30673
2023-01-13,QAR,TND,reference,0.83671
2023-01-13,SAR,TND,reference,0.81219
2023-01-13,SEK,TND,reference,0.29152
2023-01-13,USD,TND,reference,3.0832
2023-01-16,AED,TND,reference,0.8289
2023-01-16,BHD,TND,reference,8.0771
2023-01-16,CAD,TND,reference,2.2732
2023-01-16,CHF,TND,reference,3.28894
2023-01-16,CNY,TND,reference,0.4539
2023-01-16,DKK,TND,reference,0.442741
2023-01-16,DZD,TND,reference,0.02231
2023-01-16,EUR,TND,reference,3.3364
2023-01-16,GBP,TND,reference,3.7146
2023-01-16,JPY,TND,reference,0.0237218
2023-01-16,KWD,TND,reference,9.9756
2023-01-16,LYD,TND,reference,0.6398
2023-01-16,MAD,TND,reference,0.30117
2023-01-16,MRU,TND,reference,0.08368
2023-01-16,NOK,TND,reference,0.307458
2023-01-16,QAR,TND,reference,0.83321
2023-01-16,SAR,TND,reference,0.81048
2023-01-16,SEK,TND,reference,0.29211
2023-01-16,USD,TND,reference,3.09
2023-01-17,AED,TND,reference,0.82653
