date,base,quote,type,value
2002-01-02,ARS,UYU,buy,14.790833
2002-01-02,ARS,UYU,sell,14.794795
2002-01-02,AUD,UYU,buy,7.609725
2002-01-02,AUD,UYU,sell,7.617614
2002-01-02,BRL,UYU,buy,6.417282
2002-01-02,BRL,UYU,sell,6.423294
2002-01-02,CAD,UYU,buy,9.247857
2002-01-02,CAD,UYU,sell,9.251956
2002-01-02,CHF,UYU,buy,9.000061
2002-01-02,CHF,UYU,sell,9.00396
2002-01-02,CLP,UYU,buy,0.022674
2002-01-02,CLP,UYU,sell,0.022686
2002-01-02,CNY,UYU,buy,1.785636
2002-01-02,CNY,UYU,sell,1.785757
2002-01-02,DKK,UYU,buy,1.795049
2002-01-02,DKK,UYU,sell,1.796152
2002-01-02,EUR,UYU,buy,13.363171
2002-01-02,EUR,UYU,sell,13.356686
2002-01-02,GBP,UYU,buy,21.360089
2002-01-02,GBP,UYU,sell,21.354144
2002-01-02,JPY,UYU,buy,0.111758
2002-01-02,JPY,UYU,sell,0.111817
2002-01-02,MXN,UYU,buy,1.621393
2002-01-02,MXN,UYU,sell,1.623284
2002-01-02,NOK,UYU,buy,1.663946
2002-01-02,NOK,UYU,sell,1.664621
2002-01-02,NZD,UYU,buy,6.251507
2002-01-02,NZD,UYU,sell,6.262287
2002-01-02,PYG,UYU,buy,0.003165
2002-01-02,PYG,UYU,sell,0.003213
2002-01-02,SEK,UYU,buy,1.439592
2002-01-02,SEK,UYU,sell,1.440532
2002-01-02,USD,UYU,buy,14.782
2002-01-02,USD,UYU,sell,14.785
2002-01-02,VES,UYU,buy,0.019452
2002-01-02,VES,UYU,sell,0.019479
2002-01-02,XDR,UYU,buy,18.664399
2002-01-02,XDR,UYU,sell,18.665662
2002-01-02,ZAR,UYU,buy,1.183267
2002-01-02,ZAR,UYU,sell,1.192897
2002-01-03,ARS,UYU,buy,14.795837
2002-01-03,ARS,UYU,sell,14.7998
2002-01-03,AUD,UYU,buy,7.604899
2002-01-03,AUD,UYU,sell,7.612815
2002-01-03,BRL,UYU,buy,6.439024
2002-01-03,BRL,UYU,sell,6.442266
2002-01-03,CAD,UYU,buy,9.253302
2002-01-03,CAD,UYU,sell,9.259723
2002-01-03,CHF,UYU,buy,8.962716
2002-01-03,CHF,UYU,sell,8.966584
2002-01-03,CLP,UYU,buy,0.022875
2002-01-03,CLP,UYU,sell,0.022887
2002-01-03,CNY,UYU,buy,1.78624
2002-01-03,CNY,UYU,sell,1.786361
2002-01-03,DKK,UYU,buy,1.784365
2002-01-03,DKK,UYU,sell,1.785714
2002-01-03,EUR,UYU,buy,13.298208
2002-01-03,EUR,UYU,sell,13.293193
2002-01-03,GBP,UYU,buy,21.254957
2002-01-03,GBP,UYU,sell,21.247524
2002-01-03,JPY,UYU,buy,0.112272
2002-01-03,JPY,UYU,sell,0.112305
2002-01-03,MXN,UYU,buy,1.621942
2002-01-03,MXN,UYU,sell,1.623833
2002-01-03,NOK,UYU,buy,1.659986
2002-01-03,NOK,UYU,sell,1.660658
2002-01-03,NZD,UYU,buy,6.272859
2002-01-03,NZD,UYU,sell,6.285097
2002-01-03,PYG,UYU,buy,0.003166
