date,base,quote,type,value
2026-09-02,ANG,VES,buy,458.21470213
2026-09-02,ANG,VES,sell,459.36310991
2026-09-02,ARS,VES,buy,0.52872792
2026-09-02,ARS,VES,sell,0.53005305
2026-09-02,BOB,VES,buy,66.1566442
2026-09-02,BOB,VES,sell,66.32245033
2026-09-02,BRL,VES,buy,155.35706187
2026-09-02,BRL,VES,sell,155.74642794
2026-09-02,CAD,VES,buy,574.84895448
2026-09-02,CAD,VES,sell,576.28967868
2026-09-02,CLP,VES,buy,0.8535156
2026-09-02,CLP,VES,sell,0.85565473
2026-09-02,CNY,VES,buy,118.88729147
2026-09-02,CNY,VES,sell,119.1852546
2026-09-02,COP,VES,buy,0.25024181
2026-09-02,COP,VES,sell,0.25086898
2026-09-02,CUC,VES,buy,799.172262
2026-09-02,CUC,VES,sell,801.1752
2026-09-02,DOP,VES,buy,13.64706731
2026-09-02,DOP,VES,sell,13.68127049
2026-09-02,EUR,VES,buy,926.76810535
2026-09-02,EUR,VES,sell,929.09083243
2026-09-02,INR,VES,buy,8.41765601
2026-09-02,INR,VES,sell,8.43875289
2026-09-02,JPY,VES,buy,4.99242403
2026-09-02,JPY,VES,sell,5.00493637
2026-09-02,MXN,VES,buy,47.13490191
2026-09-02,MXN,VES,sell,47.2530345
2026-09-02,NIO,VES,buy,21.97514407
2026-09-02,NIO,VES,sell,22.03021962
2026-09-02,PEN,VES,buy,237.62964586
2026-09-02,PEN,VES,sell,238.22520888
2026-09-02,RUB,VES,buy,9.2046677
2026-09-02,RUB,VES,sell,9.22773704
2026-09-02,TRY,VES,buy,16.55615578
2026-09-02,TRY,VES,sell,16.5976499
2026-09-02,TTD,VES,buy,119.45059518
2026-09-02,TTD,VES,sell,119.7499701
2026-09-02,USD,VES,buy,799.172262
2026-09-02,USD,VES,sell,801.1752
2026-09-02,UYU,VES,buy,19.8581717
2026-09-02,UYU,VES,sell,19.90794155
