date,base,quote,type,value
2006-01-02,AED,DZD,reference,19.97855
2006-01-02,CAD,DZD,reference,63.17975
2006-01-02,CHF,DZD,reference,55.798427
2006-01-02,DKK,DZD,reference,11.650085
2006-01-02,EUR,DZD,reference,87.0142
2006-01-02,GBP,DZD,reference,126.51205
2006-01-02,JPY,DZD,reference,0.623584
2006-01-02,KWD,DZD,reference,251.3041
2006-01-02,LYD,DZD,reference,53.22335
2006-01-02,MAD,DZD,reference,7.9339
2006-01-02,NOK,DZD,reference,10.879339
2006-01-02,SAR,DZD,reference,19.56675
2006-01-02,SEK,DZD,reference,9.247823
2006-01-02,TND,DZD,reference,53.7174
2006-01-02,USD,DZD,reference,73.3833
2006-01-03,AED,DZD,reference,19.96375
2006-01-03,CAD,DZD,reference,63.11135
2006-01-03,CHF,DZD,reference,56.018871
2006-01-03,DKK,DZD,reference,11.67489
2006-01-03,EUR,DZD,reference,87.11485
2006-01-03,GBP,DZD,reference,126.697
2006-01-03,JPY,DZD,reference,0.624848
2006-01-03,KWD,DZD,reference,251.10755
2006-01-03,LYD,DZD,reference,53.1817
2006-01-03,MAD,DZD,reference,7.94625
2006-01-03,NOK,DZD,reference,10.907372
2006-01-03,SAR,DZD,reference,19.5512
2006-01-03,SEK,DZD,reference,9.249795
2006-01-03,TND,DZD,reference,53.7619
2006-01-03,USD,DZD,reference,73.3259
2006-01-04,AED,DZD,reference,19.9941
2006-01-04,CAD,DZD,reference,63.45655
2006-01-04,CHF,DZD,reference,56.970872
2006-01-04,DKK,DZD,reference,11.851675
2006-01-04,EUR,DZD,reference,88.4381
2006-01-04,GBP,DZD,reference,128.38865
2006-01-04,JPY,DZD,reference,0.632925
2006-01-04,KWD,DZD,reference,251.3805
2006-01-04,LYD,DZD,reference,53.26325
2006-01-04,MAD,DZD,reference,8.0086
2006-01-04,NOK,DZD,reference,11.105903
2006-01-04,SAR,DZD,reference,19.5822
2006-01-04,SEK,DZD,reference,9.447506
2006-01-04,TND,DZD,reference,53.99675
2006-01-04,USD,DZD,reference,73.4383
2006-01-05,AED,DZD,reference,20.00885
2006-01-05,CAD,DZD,reference,63.98155
2006-01-05,CHF,DZD,reference,57.070396
2006-01-05,DKK,DZD,reference,11.869312
2006-01-05,EUR,DZD,reference,88.9368
2006-01-05,GBP,DZD,reference,129.09255
2006-01-05,JPY,DZD,reference,0.634649
2006-01-05,KWD,DZD,reference,251.59155
2006-01-05,LYD,DZD,reference,53.3025
2006-01-05,MAD,DZD,reference,8.11
2006-01-05,NOK,DZD,reference,11.151522
2006-01-05,SAR,DZD,reference,19.5967
2006-01-05,SEK,DZD,reference,9.518512
2006-01-05,TND,DZD,reference,54.7144
2006-01-05,USD,DZD,reference,73.4924
2006-01-06,AED,DZD,reference,20.05965
2006-01-06,CAD,DZD,reference,63.2682
2006-01-06,CHF,DZD,reference,57.636017
2006-01-06,DKK,DZD,reference,11.938976
2006-01-06,EUR,DZD,reference,89.08155
2006-01-06,GBP,DZD,reference,129.1481
2006-01-06,JPY,DZD,reference,0.634945
2006-01-06,KWD,DZD,reference,252.3254
