date,base,quote,type,value
2023-01-02,EUR,AED,reference,3.9233
2023-01-02,EUR,AFN,reference,94.9149
2023-01-02,EUR,ALL,reference,114.3
2023-01-02,EUR,AMD,reference,420.79
2023-01-02,EUR,ANG,reference,1.9123
2023-01-02,EUR,AOA,reference,542.317
2023-01-02,EUR,ARS,reference,189.4917
2023-01-02,EUR,AUD,reference,1.5699
2023-01-02,EUR,AWG,reference,1.9123
2023-01-02,EUR,AZN,reference,1.8161
2023-01-02,EUR,BAM,reference,1.95583
2023-01-02,EUR,BBD,reference,2.1366
2023-01-02,EUR,BDT,reference,114.3081
2023-01-02,EUR,BGN,reference,1.9558
2023-01-02,EUR,BHD,reference,0.402
2023-01-02,EUR,BIF,reference,2207.248
2023-01-02,EUR,BMD,reference,1.0683
2023-01-02,EUR,BND,reference,1.4324
2023-01-02,EUR,BOB,reference,7.382
2023-01-02,EUR,BRL,reference,5.7048
2023-01-02,EUR,BSD,reference,1.0683
2023-01-02,EUR,BTN,reference,88.426
2023-01-02,EUR,BWP,reference,13.6263
2023-01-02,EUR,BZD,reference,2.1366
2023-01-02,EUR,CAD,reference,1.4506
2023-01-02,EUR,CDF,reference,2154.3058
2023-01-02,EUR,CHF,reference,0.9873
2023-01-02,EUR,CLP,reference,907.61
2023-01-02,EUR,CNY,reference,7.3698
2023-01-02,EUR,COP,reference,5180.6
2023-01-02,EUR,CRC,reference,632.9464
2023-01-02,EUR,CUP,reference,25.6392
2023-01-02,EUR,CVE,reference,110.265
2023-01-02,EUR,CZK,reference,24.176
2023-01-02,EUR,DJF,reference,189.859
2023-01-02,EUR,DKK,reference,7.4374
2023-01-02,EUR,DOP,reference,60.0364
2023-01-02,EUR,DZD,reference,146.7156
2023-01-02,EUR,EGP,reference,26.4407
2023-01-02,EUR,ERN,reference,16.4305
2023-01-02,EUR,ETB,reference,57.2582
2023-01-02,EUR,FJD,reference,2.3682
2023-01-02,EUR,FKP,reference,0.8863
2023-01-02,EUR,GBP,reference,0.8863
