date,base,quote,type,value
2023-01-02,AED,XAF,buy,166.2575
2023-01-02,AED,XAF,sell,168.0654
2023-01-02,CAD,XAF,buy,450.0415
2023-01-02,CAD,XAF,sell,456.1025
2023-01-02,CHF,XAF,buy,660.1768
2023-01-02,CHF,XAF,sell,668.0552
2023-01-02,CNY,XAF,buy,88.5202
2023-01-02,CNY,XAF,sell,89.4681
2023-01-02,DKK,XAF,buy,87.7031
2023-01-02,DKK,XAF,sell,88.7013
2023-01-02,EUR,XAF,buy,655.957
2023-01-02,EUR,XAF,sell,655.957
2023-01-02,GBP,XAF,buy,736.6394
2023-01-02,GBP,XAF,sell,745.9539
2023-01-02,JPY,XAF,buy,4.6617
2023-01-02,JPY,XAF,sell,4.7136
2023-01-02,MAD,XAF,buy,58.4873
2023-01-02,MAD,XAF,sell,59.1408
2023-01-02,SAR,XAF,buy,162.3979
2023-01-02,SAR,XAF,sell,164.1935
2023-01-02,SEK,XAF,buy,58.3743
2023-01-02,SEK,XAF,sell,59.1945
2023-01-02,USD,XAF,buy,610.6064
2023-01-02,USD,XAF,sell,617.2051
2023-01-02,ZAR,XAF,buy,35.7833
2023-01-02,ZAR,XAF,sell,36.502
2023-01-03,AED,XAF,buy,166.8184
2023-01-03,AED,XAF,sell,168.5036
2023-01-03,CAD,XAF,buy,452.1554
2023-01-03,CAD,XAF,sell,454.4912
2023-01-03,CHF,XAF,buy,662.3475
2023-01-03,CHF,XAF,sell,669.1401
2023-01-03,CNY,XAF,buy,88.9654
2023-01-03,CNY,XAF,sell,89.8767
2023-01-03,DKK,XAF,buy,87.7525
2023-01-03,DKK,XAF,sell,88.6536
2023-01-03,EUR,XAF,buy,655.957
2023-01-03,EUR,XAF,sell,655.957
2023-01-03,GBP,XAF,buy,738.9997
2023-01-03,GBP,XAF,sell,746.5621
2023-01-03,JPY,XAF,buy,4.7166
2023-01-03,JPY,XAF,sell,4.7646
2023-01-03,MAD,XAF,buy,58.5802
2023-01-03,MAD,XAF,sell,59.1982
2023-01-03,SAR,XAF,buy,162.9656
2023-01-03,SAR,XAF,sell,164.6816
2023-01-03,SEK,XAF,buy,58.5745
2023-01-03,SEK,XAF,sell,59.2019
2023-01-03,USD,XAF,buy,610.9047
2023-01-03,USD,XAF,sell,616.8024
2023-01-03,ZAR,XAF,buy,36.0621
2023-01-03,ZAR,XAF,sell,36.4554
2023-01-04,AED,XAF,buy,167.982
2023-01-04,AED,XAF,sell,169.6965
2023-01-04,CAD,XAF,buy,452.4908
2023-01-04,CAD,XAF,sell,457.1176
2023-01-04,CHF,XAF,buy,662.1728
2023-01-04,CHF,XAF,sell,668.9635
2023-01-04,CNY,XAF,buy,89.5932
2023-01-04,CNY,XAF,sell,90.5135
2023-01-04,DKK,XAF,buy,87.7525
2023-01-04,DKK,XAF,sell,88.6524
2023-01-04,EUR,XAF,buy,655.957
2023-01-04,EUR,XAF,sell,655.957
2023-01-04,GBP,XAF,buy,740.8452
2023-01-04,GBP,XAF,sell,748.4268
2023-01-04,JPY,XAF,buy,4.7264
2023-01-04,JPY,XAF,sell,4.7754
2023-01-04,MAD,XAF,buy,58.7997
2023-01-04,MAD,XAF,sell,59.4159
2023-01-04,SAR,XAF,buy,164.0841
2023-01-04,SAR,XAF,sell,165.779
2023-01-04,SEK,XAF,buy,58.5371
2023-01-04,SEK,XAF,sell,59.1546
2023-01-04,USD,XAF,buy,610.184
2023-01-04,USD,XAF,sell,614.6524
2023-01-04,ZAR,XAF,buy,36.4213
2023-01-04,ZAR,XAF,sell,36.8145
2023-01-05,AED,XAF,buy,167.5207
2023-01-05,AED,XAF,sell,169.2303
2023-01-05,CAD,XAF,buy,455.3986
2023-01-05,CAD,XAF,sell,460.091
2023-01-05,CHF,XAF,buy,661.3542
2023-01-05,CHF,XAF,sell,668.2108
2023-01-05,CNY,XAF,buy,89.5538
2023-01-05,CNY,XAF,sell,90.4762
2023-01-05,DKK,XAF,buy,87.7561
2023-01-05,DKK,XAF,sell,88.6548
2023-01-05,EUR,XAF,buy,655.957
2023-01-05,EUR,XAF,sell,655.957
2023-01-05,GBP,XAF,buy,740.0555
2023-01-05,GBP,XAF,sell,747.612
2023-01-05,JPY,XAF,buy,4.6503
2023-01-05,JPY,XAF,sell,4.6981
2023-01-05,MAD,XAF,buy,58.9282
2023-01-05,MAD,XAF,sell,59.549
2023-01-05,SAR,XAF,buy,163.6603
2023-01-05,SAR,XAF,sell,165.3342
2023-01-05,SEK,XAF,buy,58.4962
2023-01-05,SEK,XAF,sell,59.1132
2023-01-05,USD,XAF,buy,615.2455
2023-01-05,USD,XAF,sell,623.9033
2023-01-05,ZAR,XAF,buy,36.2915
2023-01-05,ZAR,XAF,sell,36.6836
2023-01-06,AED,XAF,buy,168.991
2023-01-06,AED,XAF,sell,170.7115
2023-01-06,CAD,XAF,buy,457.0889
2023-01-06,CAD,XAF,sell,461.7183
2023-01-06,CHF,XAF,buy,662.0854
2023-01-06,CHF,XAF,sell,668.8821
2023-01-06,CNY,XAF,buy,90.5302
2023-01-06,CNY,XAF,sell,91.4603
