date,base,quote,type,value
2020-01-02,AUD,IDR,buy,9697.23
2020-01-02,AUD,IDR,sell,9801.67
2020-01-02,BND,IDR,buy,10272.33
2020-01-02,BND,IDR,sell,10379.43
2020-01-02,CAD,IDR,buy,10656.34
2020-01-02,CAD,IDR,sell,10764.26
2020-01-02,CHF,IDR,buy,14273.72
2020-01-02,CHF,IDR,sell,14423.14
2020-01-02,CNH,IDR,buy,1983.98
2020-01-02,CNH,IDR,sell,2004.12
2020-01-02,CNY,IDR,buy,1983.15
2020-01-02,CNY,IDR,sell,2003.25
2020-01-02,DKK,IDR,buy,2076.31
2020-01-02,DKK,IDR,sell,2097.49
2020-01-02,EUR,IDR,buy,15510.86
2020-01-02,EUR,IDR,sell,15672.34
2020-01-02,GBP,IDR,buy,18309.15
2020-01-02,GBP,IDR,sell,18498.75
2020-01-02,HKD,IDR,buy,1774.55
2020-01-02,HKD,IDR,sell,1792.46
2020-01-02,JPY,IDR,buy,127.2132
2020-01-02,JPY,IDR,sell,128.5272
2020-01-02,KRW,IDR,buy,11.95
2020-01-02,KRW,IDR,sell,12.07
2020-01-02,KWD,IDR,buy,45561.15
2020-01-02,KWD,IDR,sell,46110.22
2020-01-02,LAK,IDR,buy,1.55
2020-01-02,LAK,IDR,sell,1.57
2020-01-02,MYR,IDR,buy,3381.57
2020-01-02,MYR,IDR,sell,3418.06
2020-01-02,NOK,IDR,buy,1575.11
2020-01-02,NOK,IDR,sell,1591.48
2020-01-02,NZD,IDR,buy,9301.82
2020-01-02,NZD,IDR,sell,9398.1
2020-01-02,PGK,IDR,buy,3954.1
2020-01-02,PGK,IDR,sell,4098.57
2020-01-02,PHP,IDR,buy,272.8
2020-01-02,PHP,IDR,sell,275.65
2020-01-02,SAR,IDR,buy,3685.04
2020-01-02,SAR,IDR,sell,3723.07
2020-01-02,SEK,IDR,buy,1478.48
2020-01-02,SEK,IDR,sell,1493.8
2020-01-02,SGD,IDR,buy,10272.33
2020-01-02,SGD,IDR,sell,10379.43
2020-01-02,THB,IDR,buy,459.17
2020-01-02,THB,IDR,sell,463.94
2020-01-02,USD,IDR,buy,13825.53
2020-01-02,USD,IDR,sell,13964.48
2020-01-02,VND,IDR,buy,0.6
2020-01-02,VND,IDR,sell,0.6
2020-01-03,AUD,IDR,buy,9639.17
