date,base,quote,type,value
2020-01-02,AED,AOA,buy,129.971
2020-01-02,AED,AOA,reference,131.2845
2020-01-02,AED,AOA,sell,132.598
2020-01-02,BRL,AOA,buy,118.757
2020-01-02,BRL,AOA,reference,119.966
2020-01-02,BRL,AOA,sell,121.175
2020-01-02,CAD,AOA,buy,367.48
2020-01-02,CAD,AOA,reference,371.172
2020-01-02,CAD,AOA,sell,374.864
2020-01-02,CDF,AOA,buy,0.2808
2020-01-02,CDF,AOA,reference,0.28589
2020-01-02,CDF,AOA,sell,0.29098
2020-01-02,CHF,AOA,buy,492.373
2020-01-02,CHF,AOA,reference,497.294
2020-01-02,CHF,AOA,sell,502.215
2020-01-02,CNY,AOA,buy,68.562
2020-01-02,CNY,AOA,reference,69.255
2020-01-02,CNY,AOA,sell,69.948
2020-01-02,EUR,AOA,buy,534.4
2020-01-02,EUR,AOA,reference,539.78
2020-01-02,EUR,AOA,sell,545.16
2020-01-02,GBP,AOA,buy,630.54
2020-01-02,GBP,AOA,reference,636.8765
2020-01-02,GBP,AOA,sell,643.213
2020-01-02,INR,AOA,buy,6.68819
2020-01-02,INR,AOA,reference,6.75691
2020-01-02,INR,AOA,sell,6.82564
2020-01-02,JPY,AOA,buy,4.387
2020-01-02,JPY,AOA,reference,4.431
2020-01-02,JPY,AOA,sell,4.475
2020-01-02,NAD,AOA,buy,34.202
2020-01-02,NAD,AOA,reference,34.5445
2020-01-02,NAD,AOA,sell,34.887
2020-01-02,USD,AOA,buy,477.356
2020-01-02,USD,AOA,reference,482.227
2020-01-02,USD,AOA,sell,487.098
2020-01-02,ZAR,AOA,buy,34.122
2020-01-02,ZAR,AOA,reference,34.465
2020-01-02,ZAR,AOA,sell,34.808
2020-01-03,AED,AOA,buy,129.971
2020-01-03,AED,AOA,reference,131.2845
2020-01-03,AED,AOA,sell,132.598
2020-01-03,BRL,AOA,buy,118.598
2020-01-03,BRL,AOA,reference,119.805
2020-01-03,BRL,AOA,sell,121.012
2020-01-03,CAD,AOA,buy,367.706
2020-01-03,CAD,AOA,reference,371.4435
2020-01-03,CAD,AOA,sell,375.181
2020-01-03,CDF,AOA,buy,0.2808
2020-01-03,CDF,AOA,reference,0.28589
2020-01-03,CDF,AOA,sell,0.29098
2020-01-03,CHF,AOA,buy,490.149
2020-01-03,CHF,AOA,reference,495.048
2020-01-03,CHF,AOA,sell,499.947
2020-01-03,CNY,AOA,buy,68.471
2020-01-03,CNY,AOA,reference,69.1645
2020-01-03,CNY,AOA,sell,69.858
2020-01-03,EUR,AOA,buy,531.584
2020-01-03,EUR,AOA,reference,536.984
2020-01-03,EUR,AOA,sell,542.384
2020-01-03,GBP,AOA,buy,624.477
2020-01-03,GBP,AOA,reference,630.776
2020-01-03,GBP,AOA,sell,637.075
2020-01-03,INR,AOA,buy,6.64906
2020-01-03,INR,AOA,reference,6.71738
2020-01-03,INR,AOA,sell,6.7857
2020-01-03,JPY,AOA,buy,4.418
2020-01-03,JPY,AOA,reference,4.4625
2020-01-03,JPY,AOA,sell,4.507
2020-01-03,NAD,AOA,buy,33.569
2020-01-03,NAD,AOA,reference,33.9045
2020-01-03,NAD,AOA,sell,34.24
2020-01-03,USD,AOA,buy,477.356
2020-01-03,USD,AOA,reference,482.227
2020-01-03,USD,AOA,sell,487.098
2020-01-03,ZAR,AOA,buy,33.318
2020-01-03,ZAR,AOA,reference,33.65
