date,base,quote,type,value
2020-01-02,AUD,BGN,reference,1.22194
2020-01-02,BRL,BGN,reference,0.435888
2020-01-02,CAD,BGN,reference,1.34431
2020-01-02,CHF,BGN,reference,1.80012
2020-01-02,CNY,BGN,reference,0.250921
2020-01-02,CZK,BGN,reference,0.0769678
2020-01-02,DKK,BGN,reference,0.261758
2020-01-02,GBP,BGN,reference,2.30564
2020-01-02,HKD,BGN,reference,0.22428499999999998
2020-01-02,HUF,BGN,reference,0.00592712
2020-01-02,IDR,BGN,reference,0.00012585
2020-01-02,ILS,BGN,reference,0.505513
2020-01-02,INR,BGN,reference,0.024476499999999998
2020-01-02,ISK,BGN,reference,0.0142866
2020-01-02,JPY,BGN,reference,0.0160643
2020-01-02,KRW,BGN,reference,0.0015065200000000001
2020-01-02,MXN,BGN,reference,0.0925254
2020-01-02,MYR,BGN,reference,0.42737299999999995
2020-01-02,NOK,BGN,reference,0.198747
2020-01-02,NZD,BGN,reference,1.16989
2020-01-02,PHP,BGN,reference,0.0344185
2020-01-02,PLN,BGN,reference,0.45971900000000004
2020-01-02,RON,BGN,reference,0.40892999999999996
2020-01-02,SEK,BGN,reference,0.186753
2020-01-02,SGD,BGN,reference,1.29663
2020-01-02,THB,BGN,reference,0.057966
2020-01-02,TRY,BGN,reference,0.293232
2020-01-02,USD,BGN,reference,1.74737
2020-01-02,ZAR,BGN,reference,0.124183
2020-01-03,AUD,BGN,reference,1.22003
2020-01-03,BRL,BGN,reference,0.432027
2020-01-03,CAD,BGN,reference,1.35155
2020-01-03,CHF,BGN,reference,1.80427
2020-01-03,CNY,BGN,reference,0.25167700000000004
2020-01-03,CZK,BGN,reference,0.0771226
2020-01-03,DKK,BGN,reference,0.261716
2020-01-03,GBP,BGN,reference,2.29787
2020-01-03,HKD,BGN,reference,0.22555200000000003
2020-01-03,HUF,BGN,reference,0.00591725
2020-01-03,IDR,BGN,reference,0.000125885
2020-01-03,ILS,BGN,reference,0.5045219999999999
2020-01-03,INR,BGN,reference,0.0244453
2020-01-03,ISK,BGN,reference,0.0142866
2020-01-03,JPY,BGN,reference,0.0162256
2020-01-03,KRW,BGN,reference,0.0015041100000000001
2020-01-03,MXN,BGN,reference,0.09250349999999999
2020-01-03,MYR,BGN,reference,0.427738
2020-01-03,NOK,BGN,reference,0.198935
2020-01-03,NZD,BGN,reference,1.16989
2020-01-03,PHP,BGN,reference,0.034323
2020-01-03,PLN,BGN,reference,0.460271
2020-01-03,RON,BGN,reference,0.40930600000000006
2020-01-03,SEK,BGN,reference,0.18652200000000002
2020-01-03,SGD,BGN,reference,1.29981
2020-01-03,THB,BGN,reference,0.058185
2020-01-03,TRY,BGN,reference,0.29372600000000004
2020-01-03,USD,BGN,reference,1.75458
2020-01-03,ZAR,BGN,reference,0.122837
2020-01-06,AUD,BGN,reference,1.21337
2020-01-06,BRL,BGN,reference,0.430222
2020-01-06,CAD,BGN,reference,1.34653
2020-01-06,CHF,BGN,reference,1.80261
