date,base,quote,type,value
2024-01-02,AED,MYR,middle,1.253131
2024-01-02,AUD,MYR,middle,3.1366
2024-01-02,BND,MYR,middle,3.48
2024-01-02,CAD,MYR,middle,3.4721
2024-01-02,CHF,MYR,middle,5.4509
2024-01-02,CNY,MYR,middle,0.6459
2024-01-02,EGP,MYR,middle,0.1489
2024-01-02,EUR,MYR,middle,5.0743
2024-01-02,GBP,MYR,middle,5.8539
2024-01-02,HKD,MYR,middle,0.589222
2024-01-02,IDR,MYR,middle,0.000297
2024-01-02,INR,MYR,middle,0.05525
2024-01-02,JPY,MYR,middle,0.032525
2024-01-02,KHR,MYR,middle,0.001125
2024-01-02,KRW,MYR,middle,0.003532
2024-01-02,MMK,MYR,middle,0.002198
2024-01-02,NPR,MYR,middle,0.034527
2024-01-02,NZD,MYR,middle,2.9005
2024-01-02,PHP,MYR,middle,0.082823
2024-01-02,PKR,MYR,middle,0.016372
2024-01-02,SAR,MYR,middle,1.227153
2024-01-02,SGD,MYR,middle,3.48
2024-01-02,THB,MYR,middle,0.134086
2024-01-02,TWD,MYR,middle,0.149514
2024-01-02,USD,MYR,middle,4.6025
2024-01-02,VND,MYR,middle,0.000189
2024-01-02,XDR,MYR,middle,6.175
2024-01-03,AED,MYR,middle,1.261589
2024-01-03,AUD,MYR,middle,3.135
2024-01-03,BND,MYR,middle,3.4933
2024-01-03,CAD,MYR,middle,3.477
2024-01-03,CHF,MYR,middle,5.4566
2024-01-03,CNY,MYR,middle,0.6483
2024-01-03,EGP,MYR,middle,0.1498
2024-01-03,EUR,MYR,middle,5.0788
2024-01-03,GBP,MYR,middle,5.857
2024-01-03,HKD,MYR,middle,0.592925
2024-01-03,IDR,MYR,middle,0.000299
2024-01-03,INR,MYR,middle,0.05562
2024-01-03,JPY,MYR,middle,0.032654
2024-01-03,KHR,MYR,middle,0.001132
2024-01-03,KRW,MYR,middle,0.003541
2024-01-03,MMK,MYR,middle,0.002213
2024-01-03,NPR,MYR,middle,0.03476
2024-01-03,NZD,MYR,middle,2.904
2024-01-03,PHP,MYR,middle,0.083164
2024-01-03,PKR,MYR,middle,0.016437
2024-01-03,SAR,MYR,middle,1.235534
2024-01-03,SGD,MYR,middle,3.4933
2024-01-03,THB,MYR,middle,0.135285
2024-01-03,TWD,MYR,middle,0.149444
2024-01-03,USD,MYR,middle,4.6335
2024-01-03,VND,MYR,middle,0.00019
2024-01-03,XDR,MYR,middle,6.2052
2024-01-04,AED,MYR,middle,1.263086
2024-01-04,AUD,MYR,middle,3.1265
2024-01-04,BND,MYR,middle,3.4909
2024-01-04,CAD,MYR,middle,3.4778
2024-01-04,CHF,MYR,middle,5.466
2024-01-04,CNY,MYR,middle,0.6483
2024-01-04,EGP,MYR,middle,0.15
2024-01-04,EUR,MYR,middle,5.0686
