date,base,quote,type,value
2022-01-03,AED,RON,reference,1.1859
2022-01-03,AUD,RON,reference,3.1589
2022-01-03,BGN,RON,reference,2.5295
2022-01-03,BRL,RON,reference,0.7818
2022-01-03,CAD,RON,reference,3.4356
2022-01-03,CHF,RON,reference,4.7725
2022-01-03,CNY,RON,reference,0.6853
2022-01-03,CZK,RON,reference,0.1991
2022-01-03,DKK,RON,reference,0.6652
2022-01-03,EGP,RON,reference,0.2773
2022-01-03,EUR,RON,reference,4.9474
2022-01-03,GBP,RON,reference,5.8856
2022-01-03,HRK,RON,reference,0.658
2022-01-03,HUF,RON,reference,0.013455
2022-01-03,INR,RON,reference,0.0586
2022-01-03,JPY,RON,reference,0.03784
2022-01-03,KRW,RON,reference,0.00365
2022-01-03,MDL,RON,reference,0.2462
2022-01-03,MXN,RON,reference,0.2123
2022-01-03,NOK,RON,reference,0.4946
2022-01-03,NZD,RON,reference,2.974
2022-01-03,PLN,RON,reference,1.0783
2022-01-03,RSD,RON,reference,0.0421
2022-01-03,RUB,RON,reference,0.0586
2022-01-03,SEK,RON,reference,0.4811
2022-01-03,THB,RON,reference,0.1315
2022-01-03,TRY,RON,reference,0.3265
2022-01-03,UAH,RON,reference,0.1599
2022-01-03,USD,RON,reference,4.3559
2022-01-03,XAU,RON,reference,7954.9723504574395
2022-01-03,XDR,RON,reference,6.104
2022-01-03,ZAR,RON,reference,0.2755
2022-01-04,AED,RON,reference,1.1919
2022-01-04,AUD,RON,reference,3.1565
2022-01-04,BGN,RON,reference,2.529
2022-01-04,BRL,RON,reference,0.7704
2022-01-04,CAD,RON,reference,3.4354
2022-01-04,CHF,RON,reference,4.772
2022-01-04,CNY,RON,reference,0.6869
2022-01-04,CZK,RON,reference,0.1995
2022-01-04,DKK,RON,reference,0.665
2022-01-04,EGP,RON,reference,0.278
2022-01-04,EUR,RON,reference,4.9464
2022-01-04,GBP,RON,reference,5.9153
2022-01-04,HRK,RON,reference,0.6579
2022-01-04,HUF,RON,reference,0.013534
2022-01-04,INR,RON,reference,0.0587
2022-01-04,JPY,RON,reference,0.037783000000000004
2022-01-04,KRW,RON,reference,0.003659
2022-01-04,MDL,RON,reference,0.2452
2022-01-04,MXN,RON,reference,0.2133
2022-01-04,NOK,RON,reference,0.4937
2022-01-04,NZD,RON,reference,2.9727
2022-01-04,PLN,RON,reference,1.0813
2022-01-04,RSD,RON,reference,0.0421
2022-01-04,RUB,RON,reference,0.0584
2022-01-04,SEK,RON,reference,0.4809
2022-01-04,THB,RON,reference,0.1316
2022-01-04,TRY,RON,reference,0.3279
2022-01-04,UAH,RON,reference,0.1604
2022-01-04,USD,RON,reference,4.3779
2022-01-04,XAU,RON,reference,7907.732389893599
2022-01-04,XDR,RON,reference,6.1199
2022-01-04,ZAR,RON,reference,0.2744
2022-01-05,AED,RON,reference,1.1908
2022-01-05,AUD,RON,reference,3.1713
2022-01-05,BGN,RON,reference,2.5288
2022-01-05,BRL,RON,reference,0.7704
2022-01-05,CAD,RON,reference,3.4391
2022-01-05,CHF,RON,reference,4.7785
2022-01-05,CNY,RON,reference,0.6868
2022-01-05,CZK,RON,reference,0.201
2022-01-05,DKK,RON,reference,0.6649
2022-01-05,EGP,RON,reference,0.2781
2022-01-05,EUR,RON,reference,4.946
2022-01-05,GBP,RON,reference,5.9198
2022-01-05,HRK,RON,reference,0.6578
2022-01-05,HUF,RON,reference,0.013661000000000001
2022-01-05,INR,RON,reference,0.0588
2022-01-05,JPY,RON,reference,0.037772
2022-01-05,KRW,RON,reference,0.0036520000000000003
2022-01-05,MDL,RON,reference,0.2461
2022-01-05,MXN,RON,reference,0.2139
2022-01-05,NOK,RON,reference,0.4949
2022-01-05,NZD,RON,reference,2.9792
2022-01-05,PLN,RON,reference,1.0824
2022-01-05,RSD,RON,reference,0.0421
2022-01-05,RUB,RON,reference,0.0578
2022-01-05,SEK,RON,reference,0.4829
2022-01-05,THB,RON,reference,0.1318
2022-01-05,TRY,RON,reference,0.3269
2022-01-05,UAH,RON,reference,0.1594
2022-01-05,USD,RON,reference,4.3739
2022-01-05,XAU,RON,reference,7953.21500401824
2022-01-05,XDR,RON,reference,6.1175
2022-01-05,ZAR,RON,reference,0.2749
2022-01-06,AED,RON,reference,1.19
2022-01-06,AUD,RON,reference,3.1348
2022-01-06,BGN,RON,reference,2.5273
2022-01-06,BRL,RON,reference,0.7656
2022-01-06,CAD,RON,reference,3.4247
2022-01-06,CHF,RON,reference,4.7587
2022-01-06,CNY,RON,reference,0.6853
2022-01-06,CZK,RON,reference,0.2013
2022-01-06,DKK,RON,reference,0.6645
2022-01-06,EGP,RON,reference,0.2781
2022-01-06,EUR,RON,reference,4.9431
2022-01-06,GBP,RON,reference,5.9135
2022-01-06,HRK,RON,reference,0.6572
2022-01-06,HUF,RON,reference,0.0137
2022-01-06,INR,RON,reference,0.0587
2022-01-06,JPY,RON,reference,0.037721
2022-01-06,KRW,RON,reference,0.0036320000000000002
2022-01-06,MDL,RON,reference,0.2444
2022-01-06,MXN,RON,reference,0.213
2022-01-06,NOK,RON,reference,0.493
2022-01-06,NZD,RON,reference,2.9572
2022-01-06,PLN,RON,reference,1.0828
2022-01-06,RSD,RON,reference,0.042
2022-01-06,RUB,RON,reference,0.0574
2022-01-06,SEK,RON,reference,0.479
2022-01-06,THB,RON,reference,0.1305
2022-01-06,TRY,RON,reference,0.3187
2022-01-06,UAH,RON,reference,0.159
2022-01-06,USD,RON,reference,4.3708
2022-01-06,XAU,RON,reference,7873.689634536
2022-01-06,XDR,RON,reference,6.112
2022-01-06,ZAR,RON,reference,0.2774
2022-01-07,AED,RON,reference,1.1903
2022-01-07,AUD,RON,reference,3.1285
2022-01-07,BGN,RON,reference,2.5276
2022-01-07,BRL,RON,reference,0.7692
2022-01-07,CAD,RON,reference,3.4393
2022-01-07,CHF,RON,reference,4.7464
2022-01-07,CNY,RON,reference,0.6856
2022-01-07,CZK,RON,reference,0.2018
2022-01-07,DKK,RON,reference,0.6646
2022-01-07,EGP,RON,reference,0.2782
2022-01-07,EUR,RON,reference,4.9436
2022-01-07,GBP,RON,reference,5.9208
2022-01-07,HRK,RON,reference,0.6573
2022-01-07,HUF,RON,reference,0.013779999999999999
2022-01-07,INR,RON,reference,0.0588
2022-01-07,JPY,RON,reference,0.037742
2022-01-07,KRW,RON,reference,0.003634
2022-01-07,MDL,RON,reference,0.2445
