date,base,quote,type,value
2023-01-04,AED,RWF,buy,288.893047
2023-01-04,AED,RWF,reference,291.781686
2023-01-04,AED,RWF,sell,294.670325
2023-01-04,AUD,RWF,buy,720.320006
2023-01-04,AUD,RWF,reference,727.522479
2023-01-04,AUD,RWF,sell,734.724951
2023-01-04,BIF,RWF,buy,0.514097
2023-01-04,BIF,RWF,reference,0.519238
2023-01-04,BIF,RWF,sell,0.524378
2023-01-04,CAD,RWF,buy,777.496766
2023-01-04,CAD,RWF,reference,785.270948
2023-01-04,CAD,RWF,sell,793.045131
2023-01-04,CHF,RWF,buy,1136.43
2023-01-04,CHF,RWF,reference,1147.79
2023-01-04,CHF,RWF,sell,1159.15
2023-01-04,CNY,RWF,buy,154.027623
2023-01-04,CNY,RWF,reference,155.567744
2023-01-04,CNY,RWF,sell,157.107865
2023-01-04,DKK,RWF,buy,150.772203
2023-01-04,DKK,RWF,reference,152.279773
2023-01-04,DKK,RWF,sell,153.787343
2023-01-04,ETB,RWF,buy,19.7962
2023-01-04,ETB,RWF,reference,19.994142
2023-01-04,ETB,RWF,sell,20.192084
2023-01-04,EUR,RWF,buy,1121.15
2023-01-04,EUR,RWF,reference,1132.36
2023-01-04,EUR,RWF,sell,1143.57
2023-01-04,GBP,RWF,buy,1271.77
2023-01-04,GBP,RWF,reference,1284.48
2023-01-04,GBP,RWF,sell,1297.2
2023-01-04,INR,RWF,buy,12.804156
2023-01-04,INR,RWF,reference,12.932185
2023-01-04,INR,RWF,sell,13.060214
2023-01-04,JPY,RWF,buy,8.102473
2023-01-04,JPY,RWF,reference,8.183489
2023-01-04,JPY,RWF,sell,8.264506
2023-01-04,KES,RWF,buy,8.592165
2023-01-04,KES,RWF,reference,8.678078
2023-01-04,KES,RWF,sell,8.763991
2023-01-04,NOK,RWF,buy,105.59105
2023-01-04,NOK,RWF,reference,106.646854
2023-01-04,NOK,RWF,sell,107.702658
2023-01-04,SAR,RWF,buy,282.21933
2023-01-04,SAR,RWF,reference,285.041239
2023-01-04,SAR,RWF,sell,287.863147
2023-01-04,SEK,RWF,buy,100.398083
2023-01-04,SEK,RWF,reference,101.401962
2023-01-04,SEK,RWF,sell,102.405841
2023-01-04,TZS,RWF,buy,0.454676
2023-01-04,TZS,RWF,reference,0.459223
2023-01-04,TZS,RWF,sell,0.463769
2023-01-04,UGX,RWF,buy,0.284902
2023-01-04,UGX,RWF,reference,0.287751
2023-01-04,UGX,RWF,sell,0.2906
2023-01-04,USD,RWF,buy,1061.09
2023-01-04,USD,RWF,reference,1071.7
2023-01-04,USD,RWF,sell,1082.31
2023-01-04,ZAR,RWF,buy,62.575048
2023-01-04,ZAR,RWF,reference,63.200736
2023-01-04,ZAR,RWF,sell,63.826423
2023-01-05,AED,RWF,buy,289.01825
2023-01-05,AED,RWF,reference,291.908141
2023-01-05,AED,RWF,sell,294.798031
2023-01-05,AUD,RWF,buy,723.243603
2023-01-05,AUD,RWF,reference,730.475309
2023-01-05,AUD,RWF,sell,737.707014
2023-01-05,BIF,RWF,buy,0.512205
2023-01-05,BIF,RWF,reference,0.517326
2023-01-05,BIF,RWF,sell,0.522448
2023-01-05,CAD,RWF,buy,786.023441
2023-01-05,CAD,RWF,reference,793.882882
2023-01-05,CAD,RWF,sell,801.742322
2023-01-05,CHF,RWF,buy,1140.81
2023-01-05,CHF,RWF,reference,1152.22
2023-01-05,CHF,RWF,sell,1163.62
2023-01-05,CNY,RWF,buy,154.193774
2023-01-05,CNY,RWF,reference,155.735556
2023-01-05,CNY,RWF,sell,157.277338
2023-01-05,DKK,RWF,buy,151.375321
2023-01-05,DKK,RWF,reference,152.888922
2023-01-05,DKK,RWF,sell,154.402522
2023-01-05,ETB,RWF,buy,19.803478
2023-01-05,ETB,RWF,reference,20.001493
2023-01-05,ETB,RWF,sell,20.199507
2023-01-05,EUR,RWF,buy,1125.74
2023-01-05,EUR,RWF,reference,1136.99
2023-01-05,EUR,RWF,sell,1148.25
2023-01-05,GBP,RWF,buy,1277.8
2023-01-05,GBP,RWF,reference,1290.58
2023-01-05,GBP,RWF,sell,1303.36
2023-01-05,INR,RWF,buy,12.826348
2023-01-05,INR,RWF,reference,12.954598
2023-01-05,INR,RWF,sell,13.082849
2023-01-05,JPY,RWF,buy,8.006847
2023-01-05,JPY,RWF,reference,8.086907
2023-01-05,JPY,RWF,sell,8.166968
2023-01-05,KES,RWF,buy,8.591769
2023-01-05,KES,RWF,reference,8.677678
2023-01-05,KES,RWF,sell,8.763587
2023-01-05,NOK,RWF,buy,105.135183
2023-01-05,NOK,RWF,reference,106.186428
2023-01-05,NOK,RWF,sell,107.237674
2023-01-05,SAR,RWF,buy,282.368082
2023-01-05,SAR,RWF,reference,285.191477
2023-01-05,SAR,RWF,sell,288.014873
2023-01-05,SEK,RWF,buy,100.936166
2023-01-05,SEK,RWF,reference,101.945426
2023-01-05,SEK,RWF,sell,102.954685
2023-01-05,TZS,RWF,buy,0.45488
2023-01-05,TZS,RWF,reference,0.459429
2023-01-05,TZS,RWF,sell,0.463977
2023-01-05,UGX,RWF,buy,0.28503
2023-01-05,UGX,RWF,reference,0.28788
2023-01-05,UGX,RWF,sell,0.29073
2023-01-05,USD,RWF,buy,1061.56
2023-01-05,USD,RWF,reference,1072.18
2023-01-05,USD,RWF,sell,1082.79
2023-01-05,ZAR,RWF,buy,62.603618
2023-01-05,ZAR,RWF,reference,63.229591
2023-01-05,ZAR,RWF,sell,63.855564
2023-01-06,AED,RWF,buy,289.14767
2023-01-06,AED,RWF,reference,292.038855
2023-01-06,AED,RWF,sell,294.930039
2023-01-06,AUD,RWF,buy,717.885555
2023-01-06,AUD,RWF,reference,725.063685
2023-01-06,AUD,RWF,sell,732.241816
2023-01-06,BIF,RWF,buy,0.512434
2023-01-06,BIF,RWF,reference,0.517558
2023-01-06,BIF,RWF,sell,0.522682
2023-01-06,CAD,RWF,buy,782.580218
2023-01-06,CAD,RWF,reference,790.40523
2023-01-06,CAD,RWF,sell,798.230242
2023-01-06,CHF,RWF,buy,1133.09
2023-01-06,CHF,RWF,reference,1144.42
2023-01-06,CHF,RWF,sell,1155.75
2023-01-06,CNY,RWF,buy,154.901106
2023-01-06,CNY,RWF,reference,156.449961
2023-01-06,CNY,RWF,sell,157.998816
2023-01-06,DKK,RWF,buy,150.193617
2023-01-06,DKK,RWF,reference,151.695401
2023-01-06,DKK,RWF,sell,153.197186
2023-01-06,ETB,RWF,buy,19.811815
2023-01-06,ETB,RWF,reference,20.009913
2023-01-06,ETB,RWF,sell,20.208011
2023-01-06,EUR,RWF,buy,1117.05
2023-01-06,EUR,RWF,reference,1128.22
2023-01-06,EUR,RWF,sell,1139.39
2023-01-06,GBP,RWF,buy,1264.78
2023-01-06,GBP,RWF,reference,1277.43
2023-01-06,GBP,RWF,sell,1290.08
2023-01-06,INR,RWF,buy,12.849615
2023-01-06,INR,RWF,reference,12.978098
2023-01-06,INR,RWF,sell,13.106581
2023-01-06,JPY,RWF,buy,7.931842
2023-01-06,JPY,RWF,reference,8.011152
2023-01-06,JPY,RWF,sell,8.090462
2023-01-06,KES,RWF,buy,8.59243
2023-01-06,KES,RWF,reference,8.678346
2023-01-06,KES,RWF,sell,8.764261
2023-01-06,NOK,RWF,buy,103.659297
2023-01-06,NOK,RWF,reference,104.695785
2023-01-06,NOK,RWF,sell,105.732273
2023-01-06,SAR,RWF,buy,282.551343
2023-01-06,SAR,RWF,reference,285.376571
2023-01-06,SAR,RWF,sell,288.201799
2023-01-06,SEK,RWF,buy,99.456276
2023-01-06,SEK,RWF,reference,100.450738
2023-01-06,SEK,RWF,sell,101.4452
2023-01-06,TZS,RWF,buy,0.455084
2023-01-06,TZS,RWF,reference,0.459634
2023-01-06,TZS,RWF,sell,0.464185
2023-01-06,UGX,RWF,buy,0.284627
2023-01-06,UGX,RWF,reference,0.287473
2023-01-06,UGX,RWF,sell,0.290319
2023-01-06,USD,RWF,buy,1062.04
2023-01-06,USD,RWF,reference,1072.66
2023-01-06,USD,RWF,sell,1083.28
2023-01-06,ZAR,RWF,buy,61.733166
2023-01-06,ZAR,RWF,reference,62.350435
2023-01-06,ZAR,RWF,sell,62.967705
2023-01-09,AED,RWF,buy,289.284541
2023-01-09,AED,RWF,reference,292.177094
2023-01-09,AED,RWF,sell,295.069648
2023-01-09,AUD,RWF,buy,736.460524
2023-01-09,AUD,RWF,reference,743.824385
2023-01-09,AUD,RWF,sell,751.188247
2023-01-09,BIF,RWF,buy,0.512648
2023-01-09,BIF,RWF,reference,0.517774
2023-01-09,BIF,RWF,sell,0.5229
