date,base,quote,type,value
2026-08-11,AUD,ALL,reference,56.85
2026-08-11,CAD,ALL,reference,57.85
2026-08-11,CHF,ALL,reference,99.38
2026-08-11,CNH,ALL,reference,11.95
2026-08-11,CNY,ALL,reference,11.95
2026-08-11,CZK,ALL,reference,3.86
2026-08-11,DKK,ALL,reference,12.44
2026-08-11,EUR,ALL,reference,92.96
2026-08-11,GBP,ALL,reference,108.82
2026-08-11,HUF,ALL,reference,0.2577
2026-08-11,JPY,ALL,reference,0.506
2026-08-11,MKD,ALL,reference,1.53
2026-08-11,NOK,ALL,reference,8.51
2026-08-11,RUB,ALL,reference,1.0224
2026-08-11,SEK,ALL,reference,8.48
2026-08-11,TRY,ALL,reference,1.69
2026-08-11,USD,ALL,reference,80.61
2026-08-11,XAG,ALL,reference,5228.76
2026-08-11,XAU,ALL,reference,352516.4
2026-08-11,XDR,ALL,reference,110.19
2026-08-12,AUD,ALL,reference,56.94
2026-08-12,CAD,ALL,reference,57.84
2026-08-12,CHF,ALL,reference,99.27
2026-08-12,CNH,ALL,reference,11.95
2026-08-12,CNY,ALL,reference,11.95
2026-08-12,CZK,ALL,reference,3.86
2026-08-12,DKK,ALL,reference,12.44
2026-08-12,EUR,ALL,reference,93.01
2026-08-12,GBP,ALL,reference,108.92
2026-08-12,HUF,ALL,reference,0.2577
2026-08-12,JPY,ALL,reference,0.5065
2026-08-12,MKD,ALL,reference,1.53
2026-08-12,NOK,ALL,reference,8.48
2026-08-12,RUB,ALL,reference,1.0224
2026-08-12,SEK,ALL,reference,8.46
2026-08-12,TRY,ALL,reference,1.69
2026-08-12,USD,ALL,reference,80.58
2026-08-12,XAG,ALL,reference,5356.01
2026-08-12,XAU,ALL,reference,355594.71
2026-08-12,XDR,ALL,reference,110.08
2026-08-13,AUD,ALL,reference,56.84
2026-08-13,CAD,ALL,reference,57.8
2026-08-13,CHF,ALL,reference,99.26
2026-08-13,CNH,ALL,reference,11.95
2026-08-13,CNY,ALL,reference,11.95
2026-08-13,CZK,ALL,reference,3.86
2026-08-13,DKK,ALL,reference,12.43
2026-08-13,EUR,ALL,reference,92.92
2026-08-13,GBP,ALL,reference,108.7
2026-08-13,HUF,ALL,reference,0.2577
2026-08-13,JPY,ALL,reference,0.5057
2026-08-13,MKD,ALL,reference,1.53
2026-08-13,NOK,ALL,reference,8.47
2026-08-13,RUB,ALL,reference,1.0224
2026-08-13,SEK,ALL,reference,8.43
2026-08-13,TRY,ALL,reference,1.69
2026-08-13,USD,ALL,reference,80.59
2026-08-13,XAG,ALL,reference,5204.73
2026-08-13,XAU,ALL,reference,353022.88
2026-08-13,XDR,ALL,reference,110.09
2026-08-14,AUD,ALL,reference,56.86
2026-08-14,CAD,ALL,reference,57.88
2026-08-14,CHF,ALL,reference,98.86
2026-08-14,CNH,ALL,reference,11.92
2026-08-14,CNY,ALL,reference,11.92
2026-08-14,CZK,ALL,reference,3.84
2026-08-14,DKK,ALL,reference,12.42
2026-08-14,EUR,ALL,reference,92.85
2026-08-14,GBP,ALL,reference,108.68
2026-08-14,HUF,ALL,reference,0.2559
2026-08-14,JPY,ALL,reference,0.5052
2026-08-14,MKD,ALL,reference,1.51
2026-08-14,NOK,ALL,reference,8.5
2026-08-14,RUB,ALL,reference,0.9570000000000001
2026-08-14,SEK,ALL,reference,8.43
2026-08-14,TRY,ALL,reference,1.68
2026-08-14,USD,ALL,reference,80.39
2026-08-14,XAG,ALL,reference,5203.66
2026-08-14,XAU,ALL,reference,349920.79
2026-08-14,XDR,ALL,reference,109.8
2026-08-17,AUD,ALL,reference,57.03
2026-08-17,CAD,ALL,reference,57.78
2026-08-17,CHF,ALL,reference,98.95
2026-08-17,CNH,ALL,reference,11.88
2026-08-17,CNY,ALL,reference,11.88
2026-08-17,CZK,ALL,reference,3.84
2026-08-17,DKK,ALL,reference,12.42
2026-08-17,EUR,ALL,reference,92.86
2026-08-17,GBP,ALL,reference,108.54
2026-08-17,HUF,ALL,reference,0.2559
2026-08-17,JPY,ALL,reference,0.5032
2026-08-17,MKD,ALL,reference,1.51
2026-08-17,NOK,ALL,reference,8.51
2026-08-17,RUB,ALL,reference,0.9570000000000001
2026-08-17,SEK,ALL,reference,8.44
2026-08-17,TRY,ALL,reference,1.67
2026-08-17,USD,ALL,reference,80.06
2026-08-17,XAG,ALL,reference,5242.33
2026-08-17,XAU,ALL,reference,351922.94
2026-08-17,XDR,ALL,reference,109.44
2026-08-18,AUD,ALL,reference,56.95
2026-08-18,CAD,ALL,reference,57.8
2026-08-18,CHF,ALL,reference,98.76
2026-08-18,CNH,ALL,reference,11.88
2026-08-18,CNY,ALL,reference,11.88
2026-08-18,CZK,ALL,reference,3.84
2026-08-18,DKK,ALL,reference,12.41
2026-08-18,EUR,ALL,reference,92.76
2026-08-18,GBP,ALL,reference,108.41
2026-08-18,HUF,ALL,reference,0.2559
2026-08-18,JPY,ALL,reference,0.502
2026-08-18,MKD,ALL,reference,1.51
2026-08-18,NOK,ALL,reference,8.5
2026-08-18,RUB,ALL,reference,0.9570000000000001
