date,base,quote,type,value
2005-01-04,BWP,EUR,reference,0.1734
2005-01-04,BWP,GBP,reference,0.1226
2005-01-04,BWP,JPY,reference,24.01
2005-01-04,BWP,USD,reference,0.2337
2005-01-04,BWP,ZAR,reference,1.3191
2005-01-05,BWP,EUR,reference,0.172
2005-01-05,BWP,GBP,reference,0.1212
2005-01-05,BWP,JPY,reference,23.85
2005-01-05,BWP,USD,reference,0.2285
2005-01-05,BWP,ZAR,reference,1.3289
2005-01-06,BWP,EUR,reference,0.1699
2005-01-06,BWP,GBP,reference,0.1197
2005-01-06,BWP,JPY,reference,23.49
2005-01-06,BWP,USD,reference,0.2252
2005-01-06,BWP,ZAR,reference,1.3388
2005-01-07,BWP,EUR,reference,0.1678
2005-01-07,BWP,GBP,reference,0.1179
2005-01-07,BWP,JPY,reference,23.16
2005-01-07,BWP,USD,reference,0.2214
2005-01-07,BWP,ZAR,reference,1.3495
2005-01-10,BWP,EUR,reference,0.1694
2005-01-10,BWP,GBP,reference,0.1183
2005-01-10,BWP,JPY,reference,23.2
2005-01-10,BWP,USD,reference,0.2214
2005-01-10,BWP,ZAR,reference,1.347
2005-01-11,BWP,EUR,reference,0.1708
2005-01-11,BWP,GBP,reference,0.1193
2005-01-11,BWP,JPY,reference,23.32
2005-01-11,BWP,USD,reference,0.2243
2005-01-11,BWP,ZAR,reference,1.3398
2005-01-12,BWP,EUR,reference,0.1715
2005-01-12,BWP,GBP,reference,0.1198
2005-01-12,BWP,JPY,reference,23.27
2005-01-12,BWP,USD,reference,0.225
2005-01-12,BWP,ZAR,reference,1.338
2005-01-13,BWP,EUR,reference,0.1701
2005-01-13,BWP,GBP,reference,0.1192
2005-01-13,BWP,JPY,reference,23.06
2005-01-13,BWP,USD,reference,0.2254
2005-01-13,BWP,ZAR,reference,1.341
2005-01-14,BWP,EUR,reference,0.169
2005-01-14,BWP,GBP,reference,0.1184
2005-01-14,BWP,JPY,reference,22.82
2005-01-14,BWP,USD,reference,0.2217
2005-01-14,BWP,ZAR,reference,1.349
2005-01-17,BWP,EUR,reference,0.1702
2005-01-17,BWP,GBP,reference,0.1192
2005-01-17,BWP,USD,reference,0.2232
2005-01-17,BWP,ZAR,reference,1.3451
2005-01-18,BWP,EUR,reference,0.1702
2005-01-18,BWP,GBP,reference,0.1194
2005-01-18,BWP,JPY,reference,22.77
2005-01-18,BWP,USD,reference,0.222
2005-01-18,BWP,ZAR,reference,1.3466
2005-01-19,BWP,EUR,reference,0.1701
2005-01-19,BWP,GBP,reference,0.1187
2005-01-19,BWP,JPY,reference,22.7
2005-01-19,BWP,USD,reference,0.2215
2005-01-19,BWP,ZAR,reference,1.3483
2005-01-20,BWP,EUR,reference,0.1712
2005-01-20,BWP,GBP,reference,0.119
2005-01-20,BWP,JPY,reference,22.86
2005-01-20,BWP,USD,reference,0.2227
2005-01-20,BWP,ZAR,reference,1.3441
2005-01-21,BWP,EUR,reference,0.1713
2005-01-21,BWP,GBP,reference,0.1185
2005-01-21,BWP,JPY,reference,22.95
2005-01-21,BWP,USD,reference,0.2218
2005-01-21,BWP,ZAR,reference,1.3451
2005-01-24,BWP,EUR,reference,0.1718
2005-01-24,BWP,GBP,reference,0.1194
2005-01-24,BWP,JPY,reference,23.08
2005-01-24,BWP,USD,reference,0.2243
2005-01-24,BWP,ZAR,reference,1.34
2005-01-25,BWP,EUR,reference,0.1724
2005-01-25,BWP,GBP,reference,0.1197
2005-01-25,BWP,JPY,reference,23.14
2005-01-25,BWP,USD,reference,0.2246
2005-01-25,BWP,ZAR,reference,1.3381
2005-01-26,BWP,EUR,reference,0.1727
2005-01-26,BWP,GBP,reference,0.12
2005-01-26,BWP,JPY,reference,23.22
2005-01-26,BWP,USD,reference,0.2243
2005-01-26,BWP,ZAR,reference,1.3374
2005-01-27,BWP,EUR,reference,0.1723
2005-01-27,BWP,GBP,reference,0.1197
2005-01-27,BWP,JPY,reference,23.28
2005-01-27,BWP,USD,reference,0.2255
2005-01-27,BWP,ZAR,reference,1.3364
2005-01-28,BWP,EUR,reference,0.1727
2005-01-28,BWP,GBP,reference,0.1194
2005-01-28,BWP,JPY,reference,23.24
2005-01-28,BWP,USD,reference,0.2252
2005-01-28,BWP,ZAR,reference,1.3367
2005-01-31,BWP,EUR,reference,0.1728
2005-01-31,BWP,GBP,reference,0.1193
2005-01-31,BWP,JPY,reference,23.29
2005-01-31,BWP,USD,reference,0.225
2005-01-31,BWP,ZAR,reference,1.3366
2005-02-01,BWP,EUR,reference,0.1716
2005-02-01,BWP,GBP,reference,0.1189
2005-02-01,BWP,JPY,reference,23.23
2005-02-01,BWP,USD,reference,0.2241
2005-02-01,BWP,ZAR,reference,1.34
2005-02-02,BWP,EUR,reference,0.1707
2005-02-02,BWP,GBP,reference,0.1185
2005-02-02,BWP,JPY,reference,23.17
2005-02-02,BWP,USD,reference,0.2233
2005-02-02,BWP,ZAR,reference,1.3428
2005-02-03,BWP,EUR,reference,0.171
2005-02-03,BWP,GBP,reference,0.1183
2005-02-03,BWP,JPY,reference,23.19
2005-02-03,BWP,USD,reference,0.2228
2005-02-03,BWP,ZAR,reference,1.343
2005-02-04,BWP,EUR,reference,0.1697
2005-02-04,BWP,GBP,reference,0.117
2005-02-04,BWP,JPY,reference,22.99
2005-02-04,BWP,USD,reference,0.2202
2005-02-04,BWP,ZAR,reference,1.3502
2005-02-07,BWP,EUR,reference,0.1706
2005-02-07,BWP,GBP,reference,0.1169
2005-02-07,BWP,JPY,reference,22.85
2005-02-07,BWP,USD,reference,0.2191
2005-02-07,BWP,ZAR,reference,1.3512
2005-02-08,BWP,EUR,reference,0.1704
2005-02-08,BWP,GBP,reference,0.1171
2005-02-08,BWP,JPY,reference,22.88
2005-02-08,BWP,USD,reference,0.2176
2005-02-08,BWP,ZAR,reference,1.3532
2005-02-09,BWP,EUR,reference,0.1697
2005-02-09,BWP,GBP,reference,0.1167
2005-02-09,BWP,JPY,reference,22.88
2005-02-09,BWP,USD,reference,0.2169
2005-02-09,BWP,ZAR,reference,1.3554
2005-02-10,BWP,EUR,reference,0.1698
2005-02-10,BWP,GBP,reference,0.1168
2005-02-10,BWP,JPY,reference,22.98
2005-02-10,BWP,USD,reference,0.2175
2005-02-10,BWP,ZAR,reference,1.3538
2005-02-11,BWP,EUR,reference,0.1708
2005-02-11,BWP,GBP,reference,0.1176
2005-02-11,BWP,JPY,reference,23.24
2005-02-11,BWP,USD,reference,0.2197
2005-02-11,BWP,ZAR,reference,1.3476
2005-02-14,BWP,EUR,reference,0.1715
2005-02-14,BWP,GBP,reference,0.1182
2005-02-14,BWP,JPY,reference,23.27
2005-02-14,BWP,USD,reference,0.2219
2005-02-14,BWP,ZAR,reference,1.3431
2005-02-15,BWP,EUR,reference,0.1715
2005-02-15,BWP,GBP,reference,0.1179
2005-02-15,BWP,JPY,reference,23.39
2005-02-15,BWP,USD,reference,0.2225
2005-02-15,BWP,ZAR,reference,1.3419
2005-02-16,BWP,EUR,reference,0.172
2005-02-16,BWP,GBP,reference,0.1183
2005-02-16,BWP,JPY,reference,23.53
2005-02-16,BWP,USD,reference,0.2239
2005-02-16,BWP,ZAR,reference,1.3385
2005-02-17,BWP,EUR,reference,0.1715
2005-02-17,BWP,GBP,reference,0.1186
2005-02-17,BWP,JPY,reference,23.54
2005-02-17,BWP,USD,reference,0.2237
2005-02-17,BWP,ZAR,reference,1.339
2005-02-18,BWP,EUR,reference,0.1718
2005-02-18,BWP,GBP,reference,0.1186
2005-02-18,BWP,JPY,reference,23.68
2005-02-18,BWP,USD,reference,0.2245
2005-02-18,BWP,ZAR,reference,1.337
2005-02-21,BWP,EUR,reference,0.172
2005-02-21,BWP,GBP,reference,0.1184
2005-02-21,BWP,JPY,reference,23.72
2005-02-21,BWP,USD,reference,0.2248
2005-02-21,BWP,ZAR,reference,1.3364
2005-02-22,BWP,EUR,reference,0.1718
2005-02-22,BWP,GBP,reference,0.1186
2005-02-22,BWP,JPY,reference,23.67
2005-02-22,BWP,USD,reference,0.2263
2005-02-22,BWP,ZAR,reference,1.3349
2005-02-23,BWP,EUR,reference,0.173
2005-02-23,BWP,GBP,reference,0.12
2005-02-23,BWP,JPY,reference,23.98
2005-02-23,BWP,USD,reference,0.229
2005-02-23,BWP,ZAR,reference,1.3273
2005-02-24,BWP,EUR,reference,0.1728
2005-02-24,BWP,GBP,reference,0.1198
2005-02-24,BWP,JPY,reference,23.97
2005-02-24,BWP,USD,reference,0.2289
2005-02-24,BWP,ZAR,reference,1.328
2005-02-25,BWP,EUR,reference,0.1726
2005-02-25,BWP,GBP,reference,0.1193
2005-02-25,BWP,JPY,reference,24
2005-02-25,BWP,USD,reference,0.2278
2005-02-25,BWP,ZAR,reference,1.3298
2005-02-28,BWP,EUR,reference,0.1729
2005-02-28,BWP,GBP,reference,0.1194
2005-02-28,BWP,JPY,reference,24.01
2005-02-28,BWP,USD,reference,0.2296
2005-02-28,BWP,ZAR,reference,1.327
2005-03-01,BWP,EUR,reference,0.1729
2005-03-01,BWP,GBP,reference,0.1189
2005-03-01,BWP,JPY,reference,23.85
2005-03-01,BWP,USD,reference,0.2283
2005-03-01,BWP,ZAR,reference,1.3299
2005-03-02,BWP,EUR,reference,0.1727
2005-03-02,BWP,GBP,reference,0.1186
2005-03-02,BWP,JPY,reference,23.8
2005-03-02,BWP,USD,reference,0.2274
2005-03-02,BWP,ZAR,reference,1.3318
2005-03-03,BWP,EUR,reference,0.172
2005-03-03,BWP,GBP,reference,0.1182
2005-03-03,BWP,JPY,reference,23.69
2005-03-03,BWP,USD,reference,0.2259
2005-03-03,BWP,ZAR,reference,1.3354
2005-03-04,BWP,EUR,reference,0.1712
2005-03-04,BWP,GBP,reference,0.1177
2005-03-04,BWP,JPY,reference,23.66
2005-03-04,BWP,USD,reference,0.2244
2005-03-04,BWP,ZAR,reference,1.3387
2005-03-07,BWP,EUR,reference,0.1719
2005-03-07,BWP,GBP,reference,0.1184
2005-03-07,BWP,JPY,reference,23.86
2005-03-07,BWP,USD,reference,0.2275
2005-03-07,BWP,ZAR,reference,1.3324
2005-03-08,BWP,EUR,reference,0.1719
2005-03-08,BWP,GBP,reference,0.1187
2005-03-08,BWP,JPY,reference,23.89
2005-03-08,BWP,USD,reference,0.2273
2005-03-08,BWP,ZAR,reference,1.3322
2005-03-09,BWP,EUR,reference,0.172
2005-03-09,BWP,GBP,reference,0.119
2005-03-09,BWP,JPY,reference,24.02
2005-03-09,BWP,USD,reference,0.2294
2005-03-09,BWP,ZAR,reference,1.3287
2005-03-10,BWP,EUR,reference,0.1716
2005-03-10,BWP,GBP,reference,0.1195
2005-03-10,BWP,JPY,reference,23.97
2005-03-10,BWP,USD,reference,0.2304
2005-03-10,BWP,ZAR,reference,1.3279
2005-03-11,BWP,EUR,reference,0.1703
2005-03-11,BWP,GBP,reference,0.1189
2005-03-11,BWP,JPY,reference,23.81
2005-03-11,BWP,USD,reference,0.2287
2005-03-11,BWP,ZAR,reference,1.333
2005-03-14,BWP,EUR,reference,0.1695
2005-03-14,BWP,GBP,reference,0.1184
2005-03-14,BWP,JPY,reference,23.82
2005-03-14,BWP,USD,reference,0.2277
2005-03-14,BWP,ZAR,reference,1.3354
2005-03-15,BWP,EUR,reference,0.1681
2005-03-15,BWP,GBP,reference,0.1173
2005-03-15,BWP,JPY,reference,23.54
2005-03-15,BWP,USD,reference,0.2245
2005-03-15,BWP,ZAR,reference,1.3436
2005-03-16,BWP,EUR,reference,0.1665
2005-03-16,BWP,GBP,reference,0.1159
2005-03-16,BWP,JPY,reference,23.16
2005-03-16,BWP,USD,reference,0.2218
2005-03-16,BWP,ZAR,reference,1.3524
2005-03-17,BWP,EUR,reference,0.1662
2005-03-17,BWP,GBP,reference,0.1158
2005-03-17,BWP,JPY,reference,23.22
