date,base,quote,type,value
2022-01-04,AUD,CAD,indicative,0.9188
2022-01-04,BRL,CAD,indicative,0.2237
2022-01-04,CHF,CAD,indicative,1.387
2022-01-04,CNY,CAD,indicative,0.1994
2022-01-04,EUR,CAD,indicative,1.4347
2022-01-04,GBP,CAD,indicative,1.7193
2022-01-04,HKD,CAD,indicative,0.163
2022-01-04,IDR,CAD,indicative,0.000089
2022-01-04,INR,CAD,indicative,0.01705
2022-01-04,JPY,CAD,indicative,0.01094
2022-01-04,KRW,CAD,indicative,0.001061
2022-01-04,MXN,CAD,indicative,0.06192
2022-01-04,NOK,CAD,indicative,0.1435
2022-01-04,NZD,CAD,indicative,0.8644
2022-01-04,PEN,CAD,indicative,0.3204
2022-01-04,RUB,CAD,indicative,0.01688
2022-01-04,SAR,CAD,indicative,0.3384
2022-01-04,SEK,CAD,indicative,0.1397
2022-01-04,SGD,CAD,indicative,0.9372
2022-01-04,TRY,CAD,indicative,0.0945
2022-01-04,TWD,CAD,indicative,0.04615
2022-01-04,USD,CAD,indicative,1.2708
2022-01-04,ZAR,CAD,indicative,0.07932
2022-01-05,AUD,CAD,indicative,0.9225
2022-01-05,BRL,CAD,indicative,0.2239
2022-01-05,CHF,CAD,indicative,1.3882
2022-01-05,CNY,CAD,indicative,0.1998
2022-01-05,EUR,CAD,indicative,1.4407
2022-01-05,GBP,CAD,indicative,1.7251
2022-01-05,HKD,CAD,indicative,0.1631
2022-01-05,IDR,CAD,indicative,0.000089
2022-01-05,INR,CAD,indicative,0.01711
2022-01-05,JPY,CAD,indicative,0.01097
2022-01-05,KRW,CAD,indicative,0.001063
2022-01-05,MXN,CAD,indicative,0.06221
2022-01-05,NOK,CAD,indicative,0.1443
2022-01-05,NZD,CAD,indicative,0.8674
2022-01-05,PEN,CAD,indicative,0.3213
2022-01-05,RUB,CAD,indicative,0.01673
2022-01-05,SAR,CAD,indicative,0.3386
2022-01-05,SEK,CAD,indicative,0.1402
2022-01-05,SGD,CAD,indicative,0.9385
2022-01-05,TRY,CAD,indicative,0.0936
2022-01-05,TWD,CAD,indicative,0.04608
2022-01-05,USD,CAD,indicative,1.2717
2022-01-05,ZAR,CAD,indicative,0.08042
2022-01-06,AUD,CAD,indicative,0.9128
2022-01-06,BRL,CAD,indicative,0.2236
2022-01-06,CHF,CAD,indicative,1.3849
2022-01-06,CNY,CAD,indicative,0.1996
2022-01-06,EUR,CAD,indicative,1.44
2022-01-06,GBP,CAD,indicative,1.7241
2022-01-06,HKD,CAD,indicative,0.1633
2022-01-06,IDR,CAD,indicative,0.000089
2022-01-06,INR,CAD,indicative,0.01712
2022-01-06,JPY,CAD,indicative,0.011
2022-01-06,KRW,CAD,indicative,0.001058
2022-01-06,MXN,CAD,indicative,0.06217
2022-01-06,NOK,CAD,indicative,0.1433
2022-01-06,NZD,CAD,indicative,0.8596
2022-01-06,PEN,CAD,indicative,0.3211
2022-01-06,RUB,CAD,indicative,0.01666
2022-01-06,SAR,CAD,indicative,0.3393
2022-01-06,SEK,CAD,indicative,0.1394
2022-01-06,SGD,CAD,indicative,0.9363
2022-01-06,TRY,CAD,indicative,0.0923
2022-01-06,TWD,CAD,indicative,0.04605
2022-01-06,USD,CAD,indicative,1.2741
2022-01-06,ZAR,CAD,indicative,0.08099
2022-01-07,AUD,CAD,indicative,0.9083
2022-01-07,BRL,CAD,indicative,0.2242
2022-01-07,CHF,CAD,indicative,1.3767
2022-01-07,CNY,CAD,indicative,0.1986
2022-01-07,EUR,CAD,indicative,1.4367
2022-01-07,GBP,CAD,indicative,1.7191
2022-01-07,HKD,CAD,indicative,0.1624
2022-01-07,IDR,CAD,indicative,0.000088
2022-01-07,INR,CAD,indicative,0.01705
2022-01-07,JPY,CAD,indicative,0.01095
2022-01-07,KRW,CAD,indicative,0.001055
2022-01-07,MXN,CAD,indicative,0.06207
2022-01-07,NOK,CAD,indicative,0.1431
2022-01-07,NZD,CAD,indicative,0.857
2022-01-07,PEN,CAD,indicative,0.3208
2022-01-07,RUB,CAD,indicative,0.0168
2022-01-07,SAR,CAD,indicative,0.3374
2022-01-07,SEK,CAD,indicative,0.1396
2022-01-07,SGD,CAD,indicative,0.9334
2022-01-07,TRY,CAD,indicative,0.0914
2022-01-07,TWD,CAD,indicative,0.04578
2022-01-07,USD,CAD,indicative,1.2666
2022-01-07,ZAR,CAD,indicative,0.0812
2022-01-10,AUD,CAD,indicative,0.9088
2022-01-10,BRL,CAD,indicative,0.2234
2022-01-10,CHF,CAD,indicative,1.3693
2022-01-10,CNY,CAD,indicative,0.1989
2022-01-10,EUR,CAD,indicative,1.4351
2022-01-10,GBP,CAD,indicative,1.7196
2022-01-10,HKD,CAD,indicative,0.1626
2022-01-10,IDR,CAD,indicative,0.000089
2022-01-10,INR,CAD,indicative,0.01712
2022-01-10,JPY,CAD,indicative,0.011
2022-01-10,KRW,CAD,indicative,0.001058
2022-01-10,MXN,CAD,indicative,0.06209
2022-01-10,NOK,CAD,indicative,0.1428
2022-01-10,NZD,CAD,indicative,0.856
2022-01-10,PEN,CAD,indicative,0.3226
2022-01-10,RUB,CAD,indicative,0.01689
2022-01-10,SAR,CAD,indicative,0.3378
2022-01-10,SEK,CAD,indicative,0.1391
2022-01-10,SGD,CAD,indicative,0.9347
2022-01-10,TRY,CAD,indicative,0.0917
2022-01-10,TWD,CAD,indicative,0.04581
2022-01-10,USD,CAD,indicative,1.2679
2022-01-10,ZAR,CAD,indicative,0.08076
2022-01-11,AUD,CAD,indicative,0.9065
2022-01-11,BRL,CAD,indicative,0.2248
