date,base,quote,type,value
2026-09-01,GBP,AUD,reference,1.8924
2026-09-01,GBP,CAD,reference,1.8823
2026-09-01,GBP,CHF,reference,1.0995
2026-09-01,GBP,CNY,reference,9.0998
2026-09-01,GBP,DKK,reference,8.7266
2026-09-01,GBP,EUR,reference,1.1675
2026-09-01,GBP,HKD,reference,10.6154
2026-09-01,GBP,ILS,reference,4.0944
2026-09-01,GBP,INR,reference,128.5548
2026-09-01,GBP,JPY,reference,216.7243
2026-09-01,GBP,KRW,reference,1858.0237
2026-09-01,GBP,MYR,reference,5.4689
2026-09-01,GBP,NOK,reference,12.615
2026-09-01,GBP,NZD,reference,2.2933
2026-09-01,GBP,PLN,reference,5.0533
2026-09-01,GBP,SAR,reference,5.083
2026-09-01,GBP,SEK,reference,12.9791
2026-09-01,GBP,SGD,reference,1.7231
2026-09-01,GBP,THB,reference,45.0291
2026-09-01,GBP,TRY,reference,65.3575
2026-09-01,GBP,TWD,reference,42.8913
2026-09-01,GBP,USD,reference,1.3538
2026-09-01,GBP,ZAR,reference,21.804
