date,base,quote,type,value
2025-01-02,AUD,GHS,buy,9.1268
2025-01-02,AUD,GHS,middle,9.1327
2025-01-02,AUD,GHS,sell,9.1385
2025-01-02,CAD,GHS,buy,10.1822
2025-01-02,CAD,GHS,middle,10.1872
2025-01-02,CAD,GHS,sell,10.1921
2025-01-02,CHF,GHS,buy,16.1515
2025-01-02,CHF,GHS,middle,16.1595
2025-01-02,CHF,GHS,sell,16.1675
2025-01-02,CNY,GHS,buy,2.0127
2025-01-02,CNY,GHS,middle,2.0137
2025-01-02,CNY,GHS,sell,2.0146
2025-01-02,DKK,GHS,buy,2.0297
2025-01-02,DKK,GHS,middle,2.0306
2025-01-02,DKK,GHS,sell,2.0315
2025-01-02,EUR,GHS,buy,15.1399
2025-01-02,EUR,GHS,middle,15.1469
2025-01-02,EUR,GHS,sell,15.1538
2025-01-02,GBP,GHS,buy,18.2027
2025-01-02,GBP,GHS,middle,18.2126
2025-01-02,GBP,GHS,sell,18.2224
2025-01-02,JPY,GHS,buy,0.0936
2025-01-02,JPY,GHS,middle,0.0937
2025-01-02,JPY,GHS,sell,0.0937
2025-01-02,NOK,GHS,buy,1.2935
2025-01-02,NOK,GHS,middle,1.294
2025-01-02,NOK,GHS,sell,1.2945
2025-01-02,NZD,GHS,buy,8.2349
2025-01-02,NZD,GHS,middle,8.2403
2025-01-02,NZD,GHS,sell,8.2456
2025-01-02,SEK,GHS,buy,1.3232
2025-01-02,SEK,GHS,middle,1.3237
2025-01-02,SEK,GHS,sell,1.3242
2025-01-02,USD,GHS,buy,14.6927
2025-01-02,USD,GHS,middle,14.7
2025-01-02,USD,GHS,sell,14.7074
2025-01-02,WAU,GHS,buy,0.0079
2025-01-02,WAU,GHS,middle,0.0079
2025-01-02,WAU,GHS,sell,0.0079
2025-01-02,ZAR,GHS,buy,0.7849
2025-01-02,ZAR,GHS,middle,0.7853
2025-01-02,ZAR,GHS,sell,0.7857
2025-01-03,AUD,GHS,buy,9.1374
2025-01-03,AUD,GHS,middle,9.1424
2025-01-03,AUD,GHS,sell,9.1473
2025-01-03,CAD,GHS,buy,10.2048
2025-01-03,CAD,GHS,middle,10.2098
2025-01-03,CAD,GHS,sell,10.2147
2025-01-03,CHF,GHS,buy,16.2019
2025-01-03,CHF,GHS,middle,16.2092
2025-01-03,CHF,GHS,sell,16.2165
2025-01-03,CNY,GHS,buy,2.0137
2025-01-03,CNY,GHS,middle,2.0146
2025-01-03,CNY,GHS,sell,2.0154
2025-01-03,DKK,GHS,buy,2.0327
2025-01-03,DKK,GHS,middle,2.0336
2025-01-03,DKK,GHS,sell,2.0345
2025-01-03,EUR,GHS,buy,15.1586
2025-01-03,EUR,GHS,middle,15.1662
2025-01-03,EUR,GHS,sell,15.1737
2025-01-03,GBP,GHS,buy,18.2676
2025-01-03,GBP,GHS,middle,18.2775
2025-01-03,GBP,GHS,sell,18.2873
