date,base,quote,type,value
2006-01-03,AUD,ILS,reference,3.3787
2006-01-03,CAD,ILS,reference,3.9503
2006-01-03,CBK,ILS,reference,5.0855
2006-01-03,CHF,ILS,reference,3.5125
2006-01-03,DKK,ILS,reference,0.7313
2006-01-03,EGP,ILS,reference,0.8
2006-01-03,EUR,ILS,reference,5.4573
2006-01-03,GBP,ILS,reference,7.9436
2006-01-03,JOD,ILS,reference,6.486
2006-01-03,JPY,ILS,reference,0.039148
2006-01-03,LBP,ILS,reference,0.0030499999999999998
2006-01-03,NOK,ILS,reference,0.685
2006-01-03,SEK,ILS,reference,0.5833
2006-01-03,USD,ILS,reference,4.595
2006-01-03,ZAR,ILS,reference,0.7296
2006-01-04,AUD,ILS,reference,3.4032
2006-01-04,CAD,ILS,reference,3.9753
2006-01-04,CBK,ILS,reference,5.0943
2006-01-04,CHF,ILS,reference,3.5652
2006-01-04,DKK,ILS,reference,0.7411
2006-01-04,EGP,ILS,reference,0.797
2006-01-04,EUR,ILS,reference,5.5302
2006-01-04,GBP,ILS,reference,8.0429
2006-01-04,JOD,ILS,reference,6.4606
2006-01-04,JPY,ILS,reference,0.039418
2006-01-04,LBP,ILS,reference,0.00304
2006-01-04,NOK,ILS,reference,0.6967
2006-01-04,SEK,ILS,reference,0.5918
2006-01-04,USD,ILS,reference,4.577
2006-01-04,ZAR,ILS,reference,0.741
2006-01-05,AUD,ILS,reference,3.4546
2006-01-05,CAD,ILS,reference,4.0202
2006-01-05,CBK,ILS,reference,5.1522
2006-01-05,CHF,ILS,reference,3.6197
2006-01-05,DKK,ILS,reference,0.7503
2006-01-05,EGP,ILS,reference,0.8061
2006-01-05,EUR,ILS,reference,5.5996
2006-01-05,GBP,ILS,reference,8.1238
2006-01-05,JOD,ILS,reference,6.5303
2006-01-05,JPY,ILS,reference,0.039816
2006-01-05,LBP,ILS,reference,0.0030700000000000002
2006-01-05,NOK,ILS,reference,0.7053
2006-01-05,SEK,ILS,reference,0.6
2006-01-05,USD,ILS,reference,4.628
2006-01-05,ZAR,ILS,reference,0.7519
2006-01-06,AUD,ILS,reference,3.4486
2006-01-06,CAD,ILS,reference,3.9565
2006-01-06,CBK,ILS,reference,5.1428
2006-01-06,CHF,ILS,reference,3.6143
2006-01-06,DKK,ILS,reference,0.7487
2006-01-06,EGP,ILS,reference,0.8038
2006-01-06,EUR,ILS,reference,5.5865
2006-01-06,GBP,ILS,reference,8.1097
2006-01-06,JOD,ILS,reference,6.5213
2006-01-06,JPY,ILS,reference,0.039778
2006-01-06,LBP,ILS,reference,0.00306
2006-01-06,NOK,ILS,reference,0.7043
2006-01-06,SEK,ILS,reference,0.599
2006-01-06,USD,ILS,reference,4.62
2006-01-06,ZAR,ILS,reference,0.7504
2006-01-09,AUD,ILS,reference,3.4691
2006-01-09,CAD,ILS,reference,3.947
2006-01-09,CBK,ILS,reference,5.1426
2006-01-09,CHF,ILS,reference,3.6148
2006-01-09,DKK,ILS,reference,0.7476
2006-01-09,EGP,ILS,reference,0.804
2006-01-09,EUR,ILS,reference,5.5747
2006-01-09,GBP,ILS,reference,8.151
2006-01-09,JOD,ILS,reference,6.5142
2006-01-09,JPY,ILS,reference,0.040433000000000004
2006-01-09,LBP,ILS,reference,0.00306
2006-01-09,NOK,ILS,reference,0.7026
2006-01-09,SEK,ILS,reference,0.5969
2006-01-09,USD,ILS,reference,4.615
2006-01-09,ZAR,ILS,reference,0.7597
2006-01-10,AUD,ILS,reference,3.483
2006-01-10,CAD,ILS,reference,3.9669
2006-01-10,CBK,ILS,reference,5.1595
2006-01-10,CHF,ILS,reference,3.6212
2006-01-10,DKK,ILS,reference,0.7495
2006-01-10,EGP,ILS,reference,0.807
2006-01-10,EUR,ILS,reference,5.5892
2006-01-10,GBP,ILS,reference,8.181
2006-01-10,JOD,ILS,reference,6.5382
2006-01-10,JPY,ILS,reference,0.040475000000000004
2006-01-10,LBP,ILS,reference,0.0030700000000000002
2006-01-10,NOK,ILS,reference,0.7006
2006-01-10,SEK,ILS,reference,0.5977
2006-01-10,USD,ILS,reference,4.632
2006-01-10,ZAR,ILS,reference,0.7586
2006-01-11,AUD,ILS,reference,3.4893
2006-01-11,CAD,ILS,reference,3.9821
2006-01-11,CBK,ILS,reference,5.1665
2006-01-11,CHF,ILS,reference,3.6239
2006-01-11,DKK,ILS,reference,0.7519
2006-01-11,EGP,ILS,reference,0.8078
2006-01-11,EUR,ILS,reference,5.6068
2006-01-11,GBP,ILS,reference,8.1512
2006-01-11,JOD,ILS,reference,6.5402
2006-01-11,JPY,ILS,reference,0.04056
2006-01-11,LBP,ILS,reference,0.0030800000000000003
2006-01-11,NOK,ILS,reference,0.6982
2006-01-11,SEK,ILS,reference,0.5997
2006-01-11,USD,ILS,reference,4.637
2006-01-11,ZAR,ILS,reference,0.7592
2006-01-12,AUD,ILS,reference,3.4866
2006-01-12,CAD,ILS,reference,3.9869
2006-01-12,CBK,ILS,reference,5.1574
2006-01-12,CHF,ILS,reference,3.6213
2006-01-12,DKK,ILS,reference,0.7515
2006-01-12,EGP,ILS,reference,0.8056
2006-01-12,EUR,ILS,reference,5.6067
2006-01-12,GBP,ILS,reference,8.1784
2006-01-12,JOD,ILS,reference,6.5241
2006-01-12,JPY,ILS,reference,0.04066
2006-01-12,LBP,ILS,reference,0.0030700000000000002
2006-01-12,NOK,ILS,reference,0.6939
2006-01-12,SEK,ILS,reference,0.6006
2006-01-12,USD,ILS,reference,4.622
2006-01-12,ZAR,ILS,reference,0.7645
2006-01-13,AUD,ILS,reference,3.4763
2006-01-13,CAD,ILS,reference,3.9762
2006-01-13,CBK,ILS,reference,5.1464
2006-01-13,CHF,ILS,reference,3.6037
2006-01-13,DKK,ILS,reference,0.7477
2006-01-13,EGP,ILS,reference,0.8047
2006-01-13,EUR,ILS,reference,5.5772
2006-01-13,GBP,ILS,reference,8.1719
2006-01-13,JOD,ILS,reference,6.5199
2006-01-13,JPY,ILS,reference,0.040374
2006-01-13,LBP,ILS,reference,0.0030700000000000002
2006-01-13,NOK,ILS,reference,0.6904
2006-01-13,SEK,ILS,reference,0.5998
2006-01-13,USD,ILS,reference,4.619
2006-01-13,ZAR,ILS,reference,0.7581
2006-01-16,AUD,ILS,reference,3.4761
2006-01-16,CAD,ILS,reference,3.9691
2006-01-16,CBK,ILS,reference,5.1327
2006-01-16,CHF,ILS,reference,3.6021
2006-01-16,DKK,ILS,reference,0.7484
2006-01-16,EGP,ILS,reference,0.8021
2006-01-16,EUR,ILS,reference,5.5831
2006-01-16,GBP,ILS,reference,8.1414
2006-01-16,JOD,ILS,reference,6.489
2006-01-16,JPY,ILS,reference,0.04012400000000001
2006-01-16,LBP,ILS,reference,0.0030499999999999998
