date,base,quote,type,value
2007-01-04,USD,JPY,middle,119.36
2007-01-04,USD,JPY,spot,119.34
2007-01-05,USD,JPY,middle,118.37
2007-01-05,USD,JPY,spot,118.44
2007-01-09,USD,JPY,middle,118.9
2007-01-09,USD,JPY,spot,118.98
2007-01-10,USD,JPY,middle,119.38
2007-01-10,USD,JPY,spot,119.28
2007-01-11,USD,JPY,middle,119.63
2007-01-11,USD,JPY,spot,119.96
2007-01-12,USD,JPY,middle,120.6
2007-01-12,USD,JPY,spot,120.48
2007-01-15,USD,JPY,middle,120.24
2007-01-15,USD,JPY,spot,120.25
2007-01-16,USD,JPY,middle,120.55
2007-01-16,USD,JPY,spot,120.34
2007-01-17,USD,JPY,middle,120.84
2007-01-17,USD,JPY,spot,120.67
2007-01-18,USD,JPY,middle,120.62
2007-01-18,USD,JPY,spot,121.22
2007-01-19,USD,JPY,middle,121.3
2007-01-19,USD,JPY,spot,121.2
2007-01-22,USD,JPY,middle,121.34
2007-01-22,USD,JPY,spot,121.37
2007-01-23,USD,JPY,middle,121.7
2007-01-23,USD,JPY,spot,121.52
2007-01-24,USD,JPY,middle,120.9
2007-01-24,USD,JPY,spot,120.94
2007-01-25,USD,JPY,middle,120.45
2007-01-25,USD,JPY,spot,120.54
2007-01-26,USD,JPY,middle,121.54
2007-01-26,USD,JPY,spot,121.54
2007-01-29,USD,JPY,middle,121.99
2007-01-29,USD,JPY,spot,121.89
2007-01-30,USD,JPY,middle,121.6
2007-01-30,USD,JPY,spot,121.92
2007-01-31,USD,JPY,middle,121.68
2007-01-31,USD,JPY,spot,121.34
2007-02-01,USD,JPY,middle,120.74
2007-02-01,USD,JPY,spot,120.69
2007-02-02,USD,JPY,middle,120.78
2007-02-02,USD,JPY,spot,120.77
2007-02-05,USD,JPY,middle,120.8
2007-02-05,USD,JPY,spot,120.61
2007-02-06,USD,JPY,middle,120.12
2007-02-06,USD,JPY,spot,120.39
2007-02-07,USD,JPY,middle,120.2
2007-02-07,USD,JPY,spot,120.45
2007-02-08,USD,JPY,middle,120.78
2007-02-08,USD,JPY,spot,121.14
2007-02-09,USD,JPY,middle,121.34
2007-02-09,USD,JPY,spot,121.32
2007-02-13,USD,JPY,middle,121.45
2007-02-13,USD,JPY,spot,121.51
2007-02-14,USD,JPY,middle,121.28
2007-02-14,USD,JPY,spot,121.21
2007-02-15,USD,JPY,middle,120.1
2007-02-15,USD,JPY,spot,119.97
2007-02-16,USD,JPY,middle,119.38
2007-02-16,USD,JPY,spot,119.44
2007-02-19,USD,JPY,middle,119.45
2007-02-19,USD,JPY,spot,119.46
2007-02-20,USD,JPY,middle,119.73
2007-02-20,USD,JPY,spot,119.95
2007-02-21,USD,JPY,middle,120.25
2007-02-21,USD,JPY,spot,120.45
2007-02-22,USD,JPY,middle,121.02
2007-02-22,USD,JPY,spot,121.25
2007-02-23,USD,JPY,middle,121.48
2007-02-23,USD,JPY,spot,121.35
2007-02-26,USD,JPY,middle,120.9
2007-02-26,USD,JPY,spot,120.88
2007-02-27,USD,JPY,middle,120.2
2007-02-27,USD,JPY,spot,119.95
2007-02-28,USD,JPY,middle,118.48
2007-02-28,USD,JPY,spot,118.59
2007-03-01,USD,JPY,middle,118.3
2007-03-01,USD,JPY,spot,118.11
2007-03-02,USD,JPY,middle,117.65
2007-03-02,USD,JPY,spot,117.65
2007-03-05,USD,JPY,middle,115.6
2007-03-05,USD,JPY,spot,115.33
2007-03-06,USD,JPY,middle,116.45
2007-03-06,USD,JPY,spot,116.39
2007-03-07,USD,JPY,middle,116.35
2007-03-07,USD,JPY,spot,116.46
2007-03-08,USD,JPY,middle,115.88
2007-03-08,USD,JPY,spot,116.62
2007-03-09,USD,JPY,middle,117.4
2007-03-09,USD,JPY,spot,117.38
2007-03-12,USD,JPY,middle,118.25
2007-03-12,USD,JPY,spot,118.4
2007-03-13,USD,JPY,middle,117.47
2007-03-13,USD,JPY,spot,117.31
2007-03-14,USD,JPY,middle,116.2
2007-03-14,USD,JPY,spot,116.05
2007-03-15,USD,JPY,middle,117.2
2007-03-15,USD,JPY,spot,117.27
2007-03-16,USD,JPY,middle,117.13
2007-03-16,USD,JPY,spot,116.85
2007-03-19,USD,JPY,middle,117.22
2007-03-19,USD,JPY,spot,117.18
2007-03-20,USD,JPY,middle,117.83
2007-03-20,USD,JPY,spot,117.75
2007-03-22,USD,JPY,middle,117.5
2007-03-22,USD,JPY,spot,117.32
2007-03-23,USD,JPY,middle,118
2007-03-23,USD,JPY,spot,117.96
2007-03-26,USD,JPY,middle,117.98
2007-03-26,USD,JPY,spot,118.09
2007-03-27,USD,JPY,middle,118.18
2007-03-27,USD,JPY,spot,118.06
2007-03-28,USD,JPY,middle,117.4
2007-03-28,USD,JPY,spot,117.38
2007-03-29,USD,JPY,middle,117.15
2007-03-29,USD,JPY,spot,117.42
2007-03-30,USD,JPY,middle,117.65
2007-03-30,USD,JPY,spot,118.05
2007-04-02,USD,JPY,middle,117.95
2007-04-02,USD,JPY,spot,117.79
2007-04-03,USD,JPY,middle,117.77
2007-04-03,USD,JPY,spot,118.52
2007-04-04,USD,JPY,middle,118.9
2007-04-04,USD,JPY,spot,118.82
2007-04-05,USD,JPY,middle,118.67
2007-04-05,USD,JPY,spot,118.73
2007-04-06,USD,JPY,middle,118.75
2007-04-06,USD,JPY,spot,118.8
2007-04-09,USD,JPY,middle,119.36
2007-04-09,USD,JPY,spot,119.28
2007-04-10,USD,JPY,middle,119.05
2007-04-10,USD,JPY,spot,119.16
2007-04-11,USD,JPY,middle,119.15
2007-04-11,USD,JPY,spot,119.21
2007-04-12,USD,JPY,middle,119.32
2007-04-12,USD,JPY,spot,119.27
2007-04-13,USD,JPY,middle,118.94
2007-04-13,USD,JPY,spot,118.6
2007-04-16,USD,JPY,middle,119.5
2007-04-16,USD,JPY,spot,119.5
2007-04-17,USD,JPY,middle,119.6
2007-04-17,USD,JPY,spot,119.31
2007-04-18,USD,JPY,middle,118.72
2007-04-18,USD,JPY,spot,118.66
2007-04-19,USD,JPY,middle,118.3
2007-04-19,USD,JPY,spot,117.95
2007-04-20,USD,JPY,middle,118.65
2007-04-20,USD,JPY,spot,118.72
2007-04-23,USD,JPY,middle,118.95
2007-04-23,USD,JPY,spot,118.33
2007-04-24,USD,JPY,middle,118.47
2007-04-24,USD,JPY,spot,118.64
2007-04-25,USD,JPY,middle,118.4
2007-04-25,USD,JPY,spot,118.5
2007-04-26,USD,JPY,middle,118.62
2007-04-26,USD,JPY,spot,118.94
2007-04-27,USD,JPY,middle,119.6
2007-04-27,USD,JPY,spot,119.41
2007-05-01,USD,JPY,middle,119.55
2007-05-01,USD,JPY,spot,119.55
2007-05-02,USD,JPY,middle,119.88
2007-05-02,USD,JPY,spot,119.99
2007-05-07,USD,JPY,middle,119.93
2007-05-07,USD,JPY,spot,119.94
2007-05-08,USD,JPY,middle,119.85
2007-05-08,USD,JPY,spot,119.96
2007-05-09,USD,JPY,middle,119.78
2007-05-09,USD,JPY,spot,119.84
2007-05-10,USD,JPY,middle,120.05
2007-05-10,USD,JPY,spot,120.2
2007-05-11,USD,JPY,middle,119.9
2007-05-11,USD,JPY,spot,119.88
2007-05-14,USD,JPY,middle,120.2
2007-05-14,USD,JPY,spot,120.22
2007-05-15,USD,JPY,middle,120.34
2007-05-15,USD,JPY,spot,120.23
2007-05-16,USD,JPY,middle,120.23
2007-05-16,USD,JPY,spot,120.37
2007-05-17,USD,JPY,middle,120.82
2007-05-17,USD,JPY,spot,120.95
2007-05-18,USD,JPY,middle,121.3
2007-05-18,USD,JPY,spot,121.3
2007-05-21,USD,JPY,middle,121.26
2007-05-21,USD,JPY,spot,121.29
2007-05-22,USD,JPY,middle,121.48
2007-05-22,USD,JPY,spot,121.46
2007-05-23,USD,JPY,middle,121.7
2007-05-23,USD,JPY,spot,121.83
