date,base,quote,type,value
2013-01-02,AUD,JMD,buy,95.6699
2013-01-02,AUD,JMD,sell,96.5293
2013-01-02,BBD,JMD,buy,46.0749
2013-01-02,BBD,JMD,sell,46.4888
2013-01-02,BMD,JMD,buy,92.1498
2013-01-02,BMD,JMD,sell,92.9776
2013-01-02,BRL,JMD,buy,45.006
2013-01-02,BRL,JMD,sell,45.4103
2013-01-02,BSD,JMD,buy,92.1498
2013-01-02,BSD,JMD,sell,92.9776
2013-01-02,BZD,JMD,buy,46.0749
2013-01-02,BZD,JMD,sell,46.4888
2013-01-02,CHF,JMD,buy,100.6716
2013-01-02,CHF,JMD,sell,101.576
2013-01-02,CNY,JMD,buy,14.7905
2013-01-02,CNY,JMD,sell,14.9234
2013-01-02,DKK,JMD,buy,16.2834
2013-01-02,DKK,JMD,sell,16.4297
2013-01-02,DOP,JMD,buy,2.3083
2013-01-02,DOP,JMD,sell,2.329
2013-01-02,EUR,JMD,buy,121.4902
2013-01-02,EUR,JMD,sell,122.5816
2013-01-02,GIP,JMD,buy,149.7894
2013-01-02,GIP,JMD,sell,151.135
2013-01-02,GYD,JMD,buy,0.455
2013-01-02,GYD,JMD,sell,0.4591
2013-01-02,HKD,JMD,buy,11.8889
2013-01-02,HKD,JMD,sell,11.9957
2013-01-02,INR,JMD,buy,1.6818
2013-01-02,INR,JMD,sell,1.6969
2013-01-02,JPY,JMD,buy,1.0657
2013-01-02,JPY,JMD,sell,1.0753
2013-01-02,KRW,JMD,buy,0.086
2013-01-02,KRW,JMD,sell,0.0868
2013-01-02,KYD,JMD,buy,110.5797
2013-01-02,KYD,JMD,sell,111.5731
2013-01-02,LKR,JMD,buy,0.7216
2013-01-02,LKR,JMD,sell,0.728
2013-01-02,MXN,JMD,buy,7.096
2013-01-02,MXN,JMD,sell,7.1598
2013-01-02,MYR,JMD,buy,30.134
2013-01-02,MYR,JMD,sell,30.4047
2013-01-02,NOK,JMD,buy,16.558
2013-01-02,NOK,JMD,sell,16.7068
2013-01-02,NZD,JMD,buy,76.0235
2013-01-02,NZD,JMD,sell,76.7065
2013-01-02,SEK,JMD,buy,14.165
2013-01-02,SEK,JMD,sell,14.2922
2013-01-02,SGD,JMD,buy,75.4398
2013-01-02,SGD,JMD,sell,76.1175
2013-01-02,THB,JMD,buy,3.0124
2013-01-02,THB,JMD,sell,3.0394
2013-01-02,TTD,JMD,buy,14.4401
2013-01-02,TTD,JMD,sell,14.5698
2013-01-02,TWD,JMD,buy,3.1733
2013-01-02,TWD,JMD,sell,3.2018
2013-01-02,XCD,JMD,buy,34.1295
2013-01-02,XCD,JMD,sell,34.4361
2013-01-02,ZAR,JMD,buy,10.861
2013-01-02,ZAR,JMD,sell,10.9586
2013-01-03,AUD,JMD,buy,96.7385
2013-01-03,AUD,JMD,sell,97.5923
2013-01-03,BBD,JMD,buy,46.0769
2013-01-03,BBD,JMD,sell,46.4836
2013-01-03,BMD,JMD,buy,92.1539
2013-01-03,BMD,JMD,sell,92.9672
2013-01-03,BRL,JMD,buy,45.1701
2013-01-03,BRL,JMD,sell,45.5688
2013-01-03,BSD,JMD,buy,92.1539
2013-01-03,BSD,JMD,sell,92.9672
2013-01-03,BZD,JMD,buy,46.0769
2013-01-03,BZD,JMD,sell,46.4836
2013-01-03,CHF,JMD,buy,100.8469
2013-01-03,CHF,JMD,sell,101.7369
2013-01-03,CNY,JMD,buy,14.7912
2013-01-03,CNY,JMD,sell,14.9217
2013-01-03,DKK,JMD,buy,16.3542
2013-01-03,DKK,JMD,sell,16.4986
2013-01-03,DOP,JMD,buy,2.2852
2013-01-03,DOP,JMD,sell,2.3054
2013-01-03,EUR,JMD,buy,122.0071
2013-01-03,EUR,JMD,sell,123.0839
2013-01-03,GIP,JMD,buy,150.0634
2013-01-03,GIP,JMD,sell,151.3877
2013-01-03,GYD,JMD,buy,0.455
2013-01-03,GYD,JMD,sell,0.459
2013-01-03,HKD,JMD,buy,11.8893
2013-01-03,HKD,JMD,sell,11.9942
2013-01-03,INR,JMD,buy,1.6933
2013-01-03,INR,JMD,sell,1.7083
2013-01-03,JPY,JMD,buy,1.0572
2013-01-03,JPY,JMD,sell,1.0665
2013-01-03,KRW,JMD,buy,0.0866
2013-01-03,KRW,JMD,sell,0.0874
2013-01-03,KYD,JMD,buy,110.5846
2013-01-03,KYD,JMD,sell,111.5606
2013-01-03,LKR,JMD,buy,0.7236
2013-01-03,LKR,JMD,sell,0.73
2013-01-03,MXN,JMD,buy,7.2365
2013-01-03,MXN,JMD,sell,7.3004
2013-01-03,MYR,JMD,buy,30.3587
2013-01-03,MYR,JMD,sell,30.6266
2013-01-03,NOK,JMD,buy,16.6832
2013-01-03,NOK,JMD,sell,16.8304
2013-01-03,NZD,JMD,buy,76.8148
2013-01-03,NZD,JMD,sell,77.4928
2013-01-03,SEK,JMD,buy,14.2531
2013-01-03,SEK,JMD,sell,14.3789
2013-01-03,SGD,JMD,buy,75.5112
2013-01-03,SGD,JMD,sell,76.1776
2013-01-03,THB,JMD,buy,3.0373
2013-01-03,THB,JMD,sell,3.0641
2013-01-03,TTD,JMD,buy,14.379
2013-01-03,TTD,JMD,sell,14.5059
2013-01-03,TWD,JMD,buy,3.1775
2013-01-03,TWD,JMD,sell,3.2055
2013-01-03,XCD,JMD,buy,34.131
2013-01-03,XCD,JMD,sell,34.4322
2013-01-03,ZAR,JMD,buy,10.8492
2013-01-03,ZAR,JMD,sell,10.945
2013-01-04,AUD,JMD,buy,96.9913
2013-01-04,AUD,JMD,sell,97.8728
2013-01-04,BBD,JMD,buy,46.0876
2013-01-04,BBD,JMD,sell,46.5064
2013-01-04,BMD,JMD,buy,92.1752
2013-01-04,BMD,JMD,sell,93.0129
2013-01-04,BRL,JMD,buy,45.276
2013-01-04,BRL,JMD,sell,45.6875
2013-01-04,BSD,JMD,buy,92.1752
2013-01-04,BSD,JMD,sell,93.0129
2013-01-04,BZD,JMD,buy,46.0876
2013-01-04,BZD,JMD,sell,46.5064
2013-01-04,CHF,JMD,buy,99.8269
2013-01-04,CHF,JMD,sell,100.7341
2013-01-04,CNY,JMD,buy,14.7946
2013-01-04,CNY,JMD,sell,14.9291
2013-01-04,DKK,JMD,buy,16.1803
2013-01-04,DKK,JMD,sell,16.3273
2013-01-04,DOP,JMD,buy,2.2801
2013-01-04,DOP,JMD,sell,2.3008
2013-01-04,EUR,JMD,buy,120.708
2013-01-04,EUR,JMD,sell,121.805
2013-01-04,GIP,JMD,buy,148.9412
2013-01-04,GIP,JMD,sell,150.2948
2013-01-04,GYD,JMD,buy,0.4551
2013-01-04,GYD,JMD,sell,0.4593
2013-01-04,HKD,JMD,buy,11.8922
2013-01-04,HKD,JMD,sell,12.0003
2013-01-04,INR,JMD,buy,1.6889
2013-01-04,INR,JMD,sell,1.7043
2013-01-04,JPY,JMD,buy,1.0614
2013-01-04,JPY,JMD,sell,1.0711
2013-01-04,KRW,JMD,buy,0.0868
2013-01-04,KRW,JMD,sell,0.0876
2013-01-04,KYD,JMD,buy,110.6102
2013-01-04,KYD,JMD,sell,111.6154
2013-01-04,LKR,JMD,buy,0.7229
2013-01-04,LKR,JMD,sell,0.7295
2013-01-04,MXN,JMD,buy,7.2293
2013-01-04,MXN,JMD,sell,7.295
2013-01-04,MYR,JMD,buy,30.4058
2013-01-04,MYR,JMD,sell,30.6821
2013-01-04,NOK,JMD,buy,16.5443
