date,base,quote,type,value
1998-01-03,AED,KRW,reference,461.76
1998-01-03,ATS,KRW,reference,133.53
1998-01-03,AUD,KRW,reference,1102.27
1998-01-03,BEF,KRW,reference,45.57
1998-01-03,BHD,KRW,reference,4498.74
1998-01-03,CAD,KRW,reference,1190.24
1998-01-03,CHF,KRW,reference,1157.54
1998-01-03,CNY,KRW,reference,204.82
1998-01-03,DEM,KRW,reference,940.28
1998-01-03,DKK,KRW,reference,246.95
1998-01-03,ESP,KRW,reference,11.1029
1998-01-03,EUR,KRW,reference,1858.17
1998-01-03,FIM,KRW,reference,310.69
1998-01-03,FRF,KRW,reference,281.01
1998-01-03,GBP,KRW,reference,2789.59
1998-01-03,HKD,KRW,reference,218.81
1998-01-03,IDR,KRW,reference,0.2874
1998-01-03,ITL,KRW,reference,0.9548000000000001
1998-01-03,JPY,KRW,reference,12.8033
1998-01-03,KWD,KRW,reference,5558.18
1998-01-03,MYR,KRW,reference,426.59
1998-01-03,NLG,KRW,reference,833.93
1998-01-03,NOK,KRW,reference,229.84
1998-01-03,NZD,KRW,reference,980.6
1998-01-03,SAR,KRW,reference,452.09
1998-01-03,SEK,KRW,reference,212.46
1998-01-03,SGD,KRW,reference,1000.18
1998-01-03,THB,KRW,reference,35.33
1998-01-03,USD,KRW,reference,1695.8
1998-01-05,AED,KRW,reference,461.76
1998-01-05,ATS,KRW,reference,133.53
1998-01-05,AUD,KRW,reference,1103.71
1998-01-05,BEF,KRW,reference,45.57
1998-01-05,BHD,KRW,reference,4498.74
1998-01-05,CAD,KRW,reference,1190.24
1998-01-05,CHF,KRW,reference,1159.52
1998-01-05,CNY,KRW,reference,204.82
1998-01-05,DEM,KRW,reference,941.46
1998-01-05,DKK,KRW,reference,246.95
1998-01-05,ESP,KRW,reference,11.1029
1998-01-05,EUR,KRW,reference,1858.17
1998-01-05,FIM,KRW,reference,310.69
1998-01-05,FRF,KRW,reference,281.01
1998-01-05,GBP,KRW,reference,2782.81
1998-01-05,HKD,KRW,reference,218.81
1998-01-05,IDR,KRW,reference,0.2874
1998-01-05,ITL,KRW,reference,0.9548000000000001
1998-01-05,JPY,KRW,reference,12.8203
1998-01-05,KWD,KRW,reference,5558.18
1998-01-05,MYR,KRW,reference,426.59
1998-01-05,NLG,KRW,reference,833.93
1998-01-05,NOK,KRW,reference,229.84
1998-01-05,NZD,KRW,reference,980.6
1998-01-05,SAR,KRW,reference,452.09
1998-01-05,SEK,KRW,reference,212.46
1998-01-05,SGD,KRW,reference,1000.18
1998-01-05,THB,KRW,reference,35.33
1998-01-05,USD,KRW,reference,1695.8
1998-01-06,AED,KRW,reference,467.34
1998-01-06,ATS,KRW,reference,134.72
1998-01-06,AUD,KRW,reference,1098.69
1998-01-06,BEF,KRW,reference,45.6
1998-01-06,BHD,KRW,reference,4553.12
1998-01-06,CAD,KRW,reference,1205.39
1998-01-06,CHF,KRW,reference,1159.27
1998-01-06,CNY,KRW,reference,207.28
1998-01-06,DEM,KRW,reference,940.57
1998-01-06,DKK,KRW,reference,247.01
1998-01-06,ESP,KRW,reference,11.101600000000001
1998-01-06,EUR,KRW,reference,1860.13
1998-01-06,FIM,KRW,reference,310.54
1998-01-06,FRF,KRW,reference,280.97
1998-01-06,GBP,KRW,reference,2799.29
1998-01-06,HKD,KRW,reference,221.46
1998-01-06,IDR,KRW,reference,0.25429999999999997
1998-01-06,ITL,KRW,reference,0.9571999999999999
1998-01-06,JPY,KRW,reference,12.875
1998-01-06,KWD,KRW,reference,5614.33
1998-01-06,MYR,KRW,reference,410.57
1998-01-06,NLG,KRW,reference,834.45
1998-01-06,NOK,KRW,reference,230.09
1998-01-06,NZD,KRW,reference,975.97
1998-01-06,SAR,KRW,reference,457.56
1998-01-06,SEK,KRW,reference,213.01
1998-01-06,SGD,KRW,reference,994.09
1998-01-06,THB,KRW,reference,34.12
1998-01-06,USD,KRW,reference,1716.3
1998-01-07,AED,KRW,reference,487.41
1998-01-07,ATS,KRW,reference,140.5
1998-01-07,AUD,KRW,reference,1135.31
1998-01-07,BEF,KRW,reference,47.33
1998-01-07,BHD,KRW,reference,4748.64
1998-01-07,CAD,KRW,reference,1250.22
1998-01-07,CHF,KRW,reference,1204.41
1998-01-07,CNY,KRW,reference,216.19
1998-01-07,DEM,KRW,reference,974.68
1998-01-07,DKK,KRW,reference,256.36
1998-01-07,ESP,KRW,reference,11.5305
1998-01-07,EUR,KRW,reference,1932.13
1998-01-07,FIM,KRW,reference,321.96
1998-01-07,FRF,KRW,reference,291.7
1998-01-07,GBP,KRW,reference,2903.92
1998-01-07,HKD,KRW,reference,230.97
1998-01-07,IDR,KRW,reference,0.23870000000000002
1998-01-07,ITL,KRW,reference,0.9939
1998-01-07,JPY,KRW,reference,13.3333
1998-01-07,KWD,KRW,reference,5847.76
1998-01-07,MYR,KRW,reference,400.02
1998-01-07,NLG,KRW,reference,866.32
1998-01-07,NOK,KRW,reference,237.81
1998-01-07,NZD,KRW,reference,1009.11
1998-01-07,SAR,KRW,reference,477.23
1998-01-07,SEK,KRW,reference,221.78
1998-01-07,SGD,KRW,reference,1015.6
1998-01-07,THB,KRW,reference,33.93
1998-01-07,USD,KRW,reference,1790
1998-01-08,AED,KRW,reference,479.51
1998-01-08,ATS,KRW,reference,137.15
1998-01-08,AUD,KRW,reference,1125.72
1998-01-08,BEF,KRW,reference,46.86
1998-01-08,BHD,KRW,reference,4671.71
1998-01-08,CAD,KRW,reference,1231.68
1998-01-08,CHF,KRW,reference,1191.07
1998-01-08,CNY,KRW,reference,212.68
1998-01-08,DEM,KRW,reference,964.4
1998-01-08,DKK,KRW,reference,253.51
1998-01-08,ESP,KRW,reference,11.388499999999999
1998-01-08,EUR,KRW,reference,1908.22
1998-01-08,FIM,KRW,reference,318.46
1998-01-08,FRF,KRW,reference,288.26
1998-01-08,GBP,KRW,reference,2859.86
1998-01-08,HKD,KRW,reference,227.71
1998-01-08,IDR,KRW,reference,0.2229
1998-01-08,ITL,KRW,reference,0.9822
1998-01-08,JPY,KRW,reference,13.306600000000001
1998-01-08,KWD,KRW,reference,5746.45
1998-01-08,MYR,KRW,reference,394.82
1998-01-08,NLG,KRW,reference,856.31
1998-01-08,NOK,KRW,reference,235.05
1998-01-08,NZD,KRW,reference,1003.68
1998-01-08,SAR,KRW,reference,469.5
1998-01-08,SEK,KRW,reference,218.91
1998-01-08,SGD,KRW,reference,1017.33
1998-01-08,THB,KRW,reference,33.7
1998-01-08,USD,KRW,reference,1761
1998-01-09,AED,KRW,reference,486.13
1998-01-09,ATS,KRW,reference,139.48
1998-01-09,AUD,KRW,reference,1148.39
1998-01-09,BEF,KRW,reference,47.49
1998-01-09,BHD,KRW,reference,4736.17
1998-01-09,CAD,KRW,reference,1248.07
1998-01-09,CHF,KRW,reference,1210.91
1998-01-09,CNY,KRW,reference,215.62
1998-01-09,DEM,KRW,reference,980.93
1998-01-09,DKK,KRW,reference,257.33
1998-01-09,ESP,KRW,reference,11.578199999999999
1998-01-09,EUR,KRW,reference,1935.09
1998-01-09,FIM,KRW,reference,323.61
1998-01-09,FRF,KRW,reference,292.79
1998-01-09,GBP,KRW,reference,2880.14
1998-01-09,HKD,KRW,reference,230.57
1998-01-09,IDR,KRW,reference,0.16690000000000002
1998-01-09,ITL,KRW,reference,0.9968
1998-01-09,JPY,KRW,reference,13.566099999999999
1998-01-09,KWD,KRW,reference,5826.7
1998-01-09,MYR,KRW,reference,381.05
1998-01-09,NLG,KRW,reference,869.77
1998-01-09,NOK,KRW,reference,238.23
1998-01-09,NZD,KRW,reference,1009.85
1998-01-09,SAR,KRW,reference,475.92
1998-01-09,SEK,KRW,reference,222.33
1998-01-09,SGD,KRW,reference,1001.57
1998-01-09,THB,KRW,reference,33.18
1998-01-09,USD,KRW,reference,1785.3
1998-01-10,AED,KRW,reference,491.57
1998-01-10,ATS,KRW,reference,140.93
1998-01-10,AUD,KRW,reference,1162.79
1998-01-10,BEF,KRW,reference,48.03
1998-01-10,BHD,KRW,reference,4789.23
1998-01-10,CAD,KRW,reference,1262.14
1998-01-10,CHF,KRW,reference,1222.27
1998-01-10,CNY,KRW,reference,218.04
1998-01-10,DEM,KRW,reference,990.83
1998-01-10,DKK,KRW,reference,260.21
1998-01-10,ESP,KRW,reference,11.6855
1998-01-10,EUR,KRW,reference,1955.05
1998-01-10,FIM,KRW,reference,327.06
1998-01-10,FRF,KRW,reference,295.83
1998-01-10,GBP,KRW,reference,2911.59
1998-01-10,HKD,KRW,reference,232.96
1998-01-10,IDR,KRW,reference,0.2075
1998-01-10,ITL,KRW,reference,1.0073999999999999
1998-01-10,JPY,KRW,reference,13.673399999999999
1998-01-10,KWD,KRW,reference,5899.67
1998-01-10,MYR,KRW,reference,390.31
1998-01-10,NLG,KRW,reference,878.88
1998-01-10,NOK,KRW,reference,241.34
1998-01-10,NZD,KRW,reference,1030.37
1998-01-10,SAR,KRW,reference,481.28
1998-01-10,SEK,KRW,reference,225.83
1998-01-10,SGD,KRW,reference,1016.07
1998-01-10,THB,KRW,reference,33.93
1998-01-10,USD,KRW,reference,1805.3
1998-01-12,AED,KRW,reference,491.57
1998-01-12,ATS,KRW,reference,140.93
1998-01-12,AUD,KRW,reference,1156.02
1998-01-12,BEF,KRW,reference,48.03
1998-01-12,BHD,KRW,reference,4789.23
1998-01-12,CAD,KRW,reference,1262.14
1998-01-12,CHF,KRW,reference,1218.15
1998-01-12,CNY,KRW,reference,218.04
1998-01-12,DEM,KRW,reference,987.85
1998-01-12,DKK,KRW,reference,260.21
1998-01-12,ESP,KRW,reference,11.6855
1998-01-12,EUR,KRW,reference,1955.05
1998-01-12,FIM,KRW,reference,327.06
1998-01-12,FRF,KRW,reference,295.83
1998-01-12,GBP,KRW,reference,2910.59
1998-01-12,HKD,KRW,reference,232.96
1998-01-12,IDR,KRW,reference,0.2075
1998-01-12,ITL,KRW,reference,1.0073999999999999
1998-01-12,JPY,KRW,reference,13.6455
1998-01-12,KWD,KRW,reference,5899.67
1998-01-12,MYR,KRW,reference,390.31
1998-01-12,NLG,KRW,reference,878.88
1998-01-12,NOK,KRW,reference,241.34
1998-01-12,NZD,KRW,reference,1030.37
1998-01-12,SAR,KRW,reference,481.28
1998-01-12,SEK,KRW,reference,225.83
1998-01-12,SGD,KRW,reference,1016.07
1998-01-12,THB,KRW,reference,33.93
1998-01-12,USD,KRW,reference,1805.3
1998-01-13,AED,KRW,reference,474.34
1998-01-13,ATS,KRW,reference,135.99
1998-01-13,AUD,KRW,reference,1117.41
1998-01-13,BEF,KRW,reference,46.33
1998-01-13,BHD,KRW,reference,4621.3
1998-01-13,CAD,KRW,reference,1214.91
1998-01-13,CHF,KRW,reference,1179.42
1998-01-13,CNY,KRW,reference,210.4
1998-01-13,DEM,KRW,reference,956.35
1998-01-13,DKK,KRW,reference,251.16
1998-01-13,ESP,KRW,reference,11.2817
1998-01-13,EUR,KRW,reference,1890.42
1998-01-13,FIM,KRW,reference,315.88
1998-01-13,FRF,KRW,reference,285.55
1998-01-13,GBP,KRW,reference,2827.7
1998-01-13,HKD,KRW,reference,225.08
1998-01-13,IDR,KRW,reference,0.2002
1998-01-13,ITL,KRW,reference,0.9726
1998-01-13,JPY,KRW,reference,13.114
1998-01-13,KWD,KRW,reference,5687.23
1998-01-13,MYR,KRW,reference,375.41
1998-01-13,NLG,KRW,reference,848.7
1998-01-13,NOK,KRW,reference,231.45
1998-01-13,NZD,KRW,reference,990.76
1998-01-13,SAR,KRW,reference,464.35
1998-01-13,SEK,KRW,reference,216.69
1998-01-13,SGD,KRW,reference,971.83
1998-01-13,THB,KRW,reference,31.22
1998-01-13,USD,KRW,reference,1742
1998-01-14,AED,KRW,reference,478.07
1998-01-14,ATS,KRW,reference,137.06
1998-01-14,AUD,KRW,reference,1143.05
1998-01-14,BEF,KRW,reference,46.77
1998-01-14,BHD,KRW,reference,4657.65
1998-01-14,CAD,KRW,reference,1224.98
1998-01-14,CHF,KRW,reference,1187.89
1998-01-14,CNY,KRW,reference,212.07
1998-01-14,DEM,KRW,reference,964.67
1998-01-14,DKK,KRW,reference,253.36
1998-01-14,ESP,KRW,reference,11.3792
1998-01-14,EUR,KRW,reference,1908.45
1998-01-14,FIM,KRW,reference,318.57
1998-01-14,FRF,KRW,reference,288.13
1998-01-14,GBP,KRW,reference,2868.37
1998-01-14,HKD,KRW,reference,226.61
1998-01-14,IDR,KRW,reference,0.2066
1998-01-14,ITL,KRW,reference,0.9792000000000001
1998-01-14,JPY,KRW,reference,13.369100000000001
1998-01-14,KWD,KRW,reference,5735.71
