date,base,quote,type,value
2024-01-02,AUD,LAK,buy,13780
2024-01-02,AUD,LAK,sell,14055
2024-01-02,CAD,LAK,buy,15269
2024-01-02,CAD,LAK,sell,15574
2024-01-02,CHF,LAK,buy,23298
2024-01-02,CHF,LAK,sell,23763
2024-01-02,CNY,LAK,buy,2904
2024-01-02,CNY,LAK,sell,2927
2024-01-02,EUR,LAK,buy,22717
2024-01-02,EUR,LAK,sell,22831
2024-01-02,GBP,LAK,buy,25796
2024-01-02,GBP,LAK,sell,26312
2024-01-02,HKD,LAK,buy,2560
2024-01-02,HKD,LAK,sell,2611
2024-01-02,JPY,LAK,buy,145.91
2024-01-02,JPY,LAK,sell,148.82
2024-01-02,KRW,LAK,buy,15.34
2024-01-02,KRW,LAK,sell,15.63
2024-01-02,MYR,LAK,buy,4357
2024-01-02,MYR,LAK,sell,4444
2024-01-02,SGD,LAK,buy,15162
2024-01-02,SGD,LAK,sell,15465
2024-01-02,THB,LAK,buy,597.98
2024-01-02,THB,LAK,sell,608.67
2024-01-02,USD,LAK,buy,20531
2024-01-02,USD,LAK,sell,20609
2024-01-02,VND,LAK,buy,0.8245
2024-01-02,VND,LAK,sell,0.841
2024-01-03,AUD,LAK,buy,13689
2024-01-03,AUD,LAK,sell,13963
2024-01-03,CAD,LAK,buy,15204
2024-01-03,CAD,LAK,sell,15508
2024-01-03,CHF,LAK,buy,23144
2024-01-03,CHF,LAK,sell,23606
2024-01-03,CNY,LAK,buy,2894
2024-01-03,CNY,LAK,sell,2917
2024-01-03,EUR,LAK,buy,22587
2024-01-03,EUR,LAK,sell,22701
2024-01-03,GBP,LAK,buy,25664
2024-01-03,GBP,LAK,sell,26177
2024-01-03,HKD,LAK,buy,2567
2024-01-03,HKD,LAK,sell,2618
2024-01-03,JPY,LAK,buy,145.5
2024-01-03,JPY,LAK,sell,148.4
2024-01-03,KRW,LAK,buy,15.15
2024-01-03,KRW,LAK,sell,15.44
2024-01-03,MYR,LAK,buy,4328
2024-01-03,MYR,LAK,sell,4414
2024-01-03,SGD,LAK,buy,15114
2024-01-03,SGD,LAK,sell,15416
2024-01-03,THB,LAK,buy,598.55
2024-01-03,THB,LAK,sell,609.24
2024-01-03,USD,LAK,buy,20589
2024-01-03,USD,LAK,sell,20667
2024-01-03,VND,LAK,buy,0.8247
2024-01-03,VND,LAK,sell,0.8411
2024-01-04,AUD,LAK,buy,13643
2024-01-04,AUD,LAK,sell,13916
2024-01-04,CAD,LAK,buy,15188
2024-01-04,CAD,LAK,sell,15492
2024-01-04,CHF,LAK,buy,23163
2024-01-04,CHF,LAK,sell,23626
2024-01-04,CNY,LAK,buy,2892
2024-01-04,CNY,LAK,sell,2915
2024-01-04,EUR,LAK,buy,22540
2024-01-04,EUR,LAK,sell,22653
2024-01-04,GBP,LAK,buy,25760
2024-01-04,GBP,LAK,sell,26275
2024-01-04,HKD,LAK,buy,2571
2024-01-04,HKD,LAK,sell,2622
2024-01-04,JPY,LAK,buy,144.46
2024-01-04,JPY,LAK,sell,147.34
2024-01-04,KRW,LAK,buy,15.18
2024-01-04,KRW,LAK,sell,15.47
2024-01-04,MYR,LAK,buy,4325
2024-01-04,MYR,LAK,sell,4412
2024-01-04,SGD,LAK,buy,15103
2024-01-04,SGD,LAK,sell,15405
2024-01-04,THB,LAK,buy,596.25
2024-01-04,THB,LAK,sell,606.94
2024-01-04,USD,LAK,buy,20599
2024-01-04,USD,LAK,sell,20677
2024-01-04,VND,LAK,buy,0.8235
2024-01-04,VND,LAK,sell,0.84
2024-01-05,AUD,LAK,buy,13592
2024-01-05,AUD,LAK,sell,13864
