date,base,quote,type,value
2026-08-11,AED,MNT,reference,978.87
2026-08-11,AUD,MNT,reference,2533.51
2026-08-11,BGN,MNT,reference,2159.11
2026-08-11,CAD,MNT,reference,2578.01
2026-08-11,CHF,MNT,reference,4431.05
2026-08-11,CNY,MNT,reference,532.8
2026-08-11,CZK,MNT,reference,170.89
2026-08-11,DKK,MNT,reference,554.56
2026-08-11,EGP,MNT,reference,71.44
2026-08-11,EUR,MNT,reference,4145.65
2026-08-11,GBP,MNT,reference,4851.87
2026-08-11,HKD,MNT,reference,458.15
2026-08-11,HUF,MNT,reference,11.32
2026-08-11,IDR,MNT,reference,0.2
2026-08-11,INR,MNT,reference,37.67
2026-08-11,JPY,MNT,reference,22.56
2026-08-11,KPW,MNT,reference,27.65
2026-08-11,KRW,MNT,reference,2.54
2026-08-11,KWD,MNT,reference,11705.99
2026-08-11,KZT,MNT,reference,7.72
2026-08-11,MYR,MNT,reference,878.41
2026-08-11,NOK,MNT,reference,378.9
2026-08-11,NPR,MNT,reference,23.54
2026-08-11,NZD,MNT,reference,2109.85
2026-08-11,PLN,MNT,reference,963.38
2026-08-11,RUB,MNT,reference,43.78
2026-08-11,SEK,MNT,reference,377.89
2026-08-11,SGD,MNT,reference,2805.13
2026-08-11,THB,MNT,reference,108.43
2026-08-11,TRY,MNT,reference,75.31
2026-08-11,TWD,MNT,reference,111.36
2026-08-11,UAH,MNT,reference,80.04
2026-08-11,USD,MNT,reference,3594.91
2026-08-11,VND,MNT,reference,0.14
2026-08-11,XAG,MNT,reference,231621.67
2026-08-11,XAU,MNT,reference,15665431.46
2026-08-11,XDR,MNT,reference,4913.98
2026-08-11,ZAR,MNT,reference,220.93
2026-08-12,AED,MNT,reference,978.87
2026-08-12,AUD,MNT,reference,2537.43
2026-08-12,BGN,MNT,reference,2159.23
2026-08-12,CAD,MNT,reference,2580.93
2026-08-12,CHF,MNT,reference,4425.3
2026-08-12,CNY,MNT,reference,532.92
2026-08-12,CZK,MNT,reference,171.02
2026-08-12,DKK,MNT,reference,554.83
2026-08-12,EGP,MNT,reference,71.47
2026-08-12,EUR,MNT,reference,4147.86
2026-08-12,GBP,MNT,reference,4856.45
2026-08-12,HKD,MNT,reference,458.14
2026-08-12,HUF,MNT,reference,11.36
2026-08-12,IDR,MNT,reference,0.2
2026-08-12,INR,MNT,reference,37.68
2026-08-12,JPY,MNT,reference,22.56
2026-08-12,KPW,MNT,reference,27.65
2026-08-12,KRW,MNT,reference,2.54
2026-08-12,KWD,MNT,reference,11700.93
2026-08-12,KZT,MNT,reference,7.73
2026-08-12,MYR,MNT,reference,879.32
2026-08-12,NOK,MNT,reference,378.91
2026-08-12,NPR,MNT,reference,23.55
2026-08-12,NZD,MNT,reference,2107.45
2026-08-12,PLN,MNT,reference,963.72
2026-08-12,RUB,MNT,reference,43.47
2026-08-12,SEK,MNT,reference,376.97
2026-08-12,SGD,MNT,reference,2807.58
2026-08-12,THB,MNT,reference,108.66
2026-08-12,TRY,MNT,reference,75.28
2026-08-12,TWD,MNT,reference,111.61
2026-08-12,UAH,MNT,reference,80.28
2026-08-12,USD,MNT,reference,3595.11
2026-08-12,VND,MNT,reference,0.14
2026-08-12,XAG,MNT,reference,237474.99
2026-08-12,XAU,MNT,reference,15840971.41
2026-08-12,XDR,MNT,reference,4911.17
2026-08-12,ZAR,MNT,reference,222.15
2026-08-13,AED,MNT,reference,978.68
2026-08-13,AUD,MNT,reference,2533.52
2026-08-13,BGN,MNT,reference,2158.8
2026-08-13,CAD,MNT,reference,2576.18
2026-08-13,CHF,MNT,reference,4421.44
2026-08-13,CNY,MNT,reference,532.89
2026-08-13,CZK,MNT,reference,171.07
2026-08-13,DKK,MNT,reference,554.16
2026-08-13,EGP,MNT,reference,71.59
2026-08-13,EUR,MNT,reference,4142.74
2026-08-13,GBP,MNT,reference,4846.34
2026-08-13,HKD,MNT,reference,458.09
2026-08-13,HUF,MNT,reference,11.38
2026-08-13,IDR,MNT,reference,0.2
2026-08-13,INR,MNT,reference,37.67
2026-08-13,JPY,MNT,reference,22.55
2026-08-13,KPW,MNT,reference,27.65
2026-08-13,KRW,MNT,reference,2.53
2026-08-13,KWD,MNT,reference,11698.65
2026-08-13,KZT,MNT,reference,7.73
2026-08-13,MYR,MNT,reference,879.04
2026-08-13,NOK,MNT,reference,378.97
2026-08-13,NPR,MNT,reference,23.54
2026-08-13,NZD,MNT,reference,2097.16
2026-08-13,PLN,MNT,reference,962.15
2026-08-13,RUB,MNT,reference,43.04
2026-08-13,SEK,MNT,reference,375.64
2026-08-13,SGD,MNT,reference,2806.82
2026-08-13,THB,MNT,reference,108.45
2026-08-13,TRY,MNT,reference,75.25
2026-08-13,TWD,MNT,reference,111.71
2026-08-13,UAH,MNT,reference,80.41
2026-08-13,USD,MNT,reference,3594.41
2026-08-13,VND,MNT,reference,0.14
2026-08-13,XAG,MNT,reference,232109.03
2026-08-13,XAU,MNT,reference,15706834.85
2026-08-13,XDR,MNT,reference,4910.35
2026-08-13,ZAR,MNT,reference,222.16
2026-08-14,AED,MNT,reference,978.78
2026-08-14,AUD,MNT,reference,2542.32
2026-08-14,BGN,MNT,reference,2158.95
2026-08-14,CAD,MNT,reference,2588.04
2026-08-14,CHF,MNT,reference,4418.49
2026-08-14,CNY,MNT,reference,533.17
2026-08-14,CZK,MNT,reference,171.46
2026-08-14,DKK,MNT,reference,555.44
2026-08-14,EGP,MNT,reference,71.49
2026-08-14,EUR,MNT,reference,4152.19
2026-08-14,GBP,MNT,reference,4857.28
2026-08-14,HKD,MNT,reference,458.1
2026-08-14,HUF,MNT,reference,11.42
2026-08-14,IDR,MNT,reference,0.2
2026-08-14,INR,MNT,reference,37.67
2026-08-14,JPY,MNT,reference,22.58
2026-08-14,KPW,MNT,reference,27.65
2026-08-14,KRW,MNT,reference,2.54
2026-08-14,KWD,MNT,reference,11699.46
2026-08-14,KZT,MNT,reference,7.76
2026-08-14,MYR,MNT,reference,879.75
2026-08-14,NOK,MNT,reference,380.04
2026-08-14,NPR,MNT,reference,23.54
2026-08-14,NZD,MNT,reference,2112.04
2026-08-14,PLN,MNT,reference,963.83
2026-08-14,RUB,MNT,reference,42.59
2026-08-14,SEK,MNT,reference,376.98
2026-08-14,SGD,MNT,reference,2810.19
2026-08-14,THB,MNT,reference,108.31
2026-08-14,TRY,MNT,reference,75.07
2026-08-14,TWD,MNT,reference,112.35
2026-08-14,UAH,MNT,reference,80.33
2026-08-14,USD,MNT,reference,3594.66
2026-08-14,VND,MNT,reference,0.14
2026-08-14,XAG,MNT,reference,232190.05
2026-08-14,XAU,MNT,reference,15614376.27
2026-08-14,XDR,MNT,reference,4909.72
2026-08-14,ZAR,MNT,reference,222.19
2026-08-15,AED,MNT,reference,978.78
2026-08-15,AUD,MNT,reference,2542.32
2026-08-15,BGN,MNT,reference,2158.95
2026-08-15,CAD,MNT,reference,2588.04
2026-08-15,CHF,MNT,reference,4418.49
2026-08-15,CNY,MNT,reference,533.17
2026-08-15,CZK,MNT,reference,171.46
2026-08-15,DKK,MNT,reference,555.44
2026-08-15,EGP,MNT,reference,71.49
2026-08-15,EUR,MNT,reference,4152.19
2026-08-15,GBP,MNT,reference,4857.28
2026-08-15,HKD,MNT,reference,458.1
2026-08-15,HUF,MNT,reference,11.42
2026-08-15,IDR,MNT,reference,0.2
2026-08-15,INR,MNT,reference,37.67
2026-08-15,JPY,MNT,reference,22.58
2026-08-15,KPW,MNT,reference,27.65
2026-08-15,KRW,MNT,reference,2.54
2026-08-15,KWD,MNT,reference,11699.46
2026-08-15,KZT,MNT,reference,7.76
2026-08-15,MYR,MNT,reference,879.75
2026-08-15,NOK,MNT,reference,380.04
2026-08-15,NPR,MNT,reference,23.54
2026-08-15,NZD,MNT,reference,2112.04
2026-08-15,PLN,MNT,reference,963.83
2026-08-15,RUB,MNT,reference,42.59
2026-08-15,SEK,MNT,reference,376.98
2026-08-15,SGD,MNT,reference,2810.19
2026-08-15,THB,MNT,reference,108.31
2026-08-15,TRY,MNT,reference,75.07
2026-08-15,TWD,MNT,reference,112.35
2026-08-15,UAH,MNT,reference,80.33
2026-08-15,USD,MNT,reference,3594.66
2026-08-15,VND,MNT,reference,0.14
2026-08-15,XAG,MNT,reference,232190.05
2026-08-15,XAU,MNT,reference,15614376.27
2026-08-15,XDR,MNT,reference,4909.72
2026-08-15,ZAR,MNT,reference,222.19
2026-08-16,AED,MNT,reference,978.78
2026-08-16,AUD,MNT,reference,2542.32
2026-08-16,BGN,MNT,reference,2158.95
2026-08-16,CAD,MNT,reference,2588.04
2026-08-16,CHF,MNT,reference,4418.49
2026-08-16,CNY,MNT,reference,533.17
2026-08-16,CZK,MNT,reference,171.46
2026-08-16,DKK,MNT,reference,555.44
2026-08-16,EGP,MNT,reference,71.49
2026-08-16,EUR,MNT,reference,4152.19
2026-08-16,GBP,MNT,reference,4857.28
2026-08-16,HKD,MNT,reference,458.1
2026-08-16,HUF,MNT,reference,11.42
2026-08-16,IDR,MNT,reference,0.2
2026-08-16,INR,MNT,reference,37.67
2026-08-16,JPY,MNT,reference,22.58
2026-08-16,KPW,MNT,reference,27.65
2026-08-16,KRW,MNT,reference,2.54
2026-08-16,KWD,MNT,reference,11699.46
2026-08-16,KZT,MNT,reference,7.76
2026-08-16,MYR,MNT,reference,879.75
2026-08-16,NOK,MNT,reference,380.04
2026-08-16,NPR,MNT,reference,23.54
2026-08-16,NZD,MNT,reference,2112.04
2026-08-16,PLN,MNT,reference,963.83
2026-08-16,RUB,MNT,reference,42.59
2026-08-16,SEK,MNT,reference,376.98
2026-08-16,SGD,MNT,reference,2810.19
2026-08-16,THB,MNT,reference,108.31
2026-08-16,TRY,MNT,reference,75.07
2026-08-16,TWD,MNT,reference,112.35
2026-08-16,UAH,MNT,reference,80.33
2026-08-16,USD,MNT,reference,3594.66
2026-08-16,VND,MNT,reference,0.14
2026-08-16,XAG,MNT,reference,232190.05
2026-08-16,XAU,MNT,reference,15614376.27
2026-08-16,XDR,MNT,reference,4909.72
2026-08-16,ZAR,MNT,reference,222.19
2026-08-17,AED,MNT,reference,978.65
2026-08-17,AUD,MNT,reference,2558.6
2026-08-17,BGN,MNT,reference,2158.73
2026-08-17,CAD,MNT,reference,2593.75
2026-08-17,CHF,MNT,reference,4446.73
2026-08-17,CNY,MNT,reference,533.38
2026-08-17,CZK,MNT,reference,172.28
2026-08-17,DKK,MNT,reference,558.07
2026-08-17,EGP,MNT,reference,71.64
2026-08-17,EUR,MNT,reference,4171.71
2026-08-17,GBP,MNT,reference,4874.76
2026-08-17,HKD,MNT,reference,458.17
2026-08-17,HUF,MNT,reference,11.52
2026-08-17,IDR,MNT,reference,0.2
2026-08-17,INR,MNT,reference,37.59
2026-08-17,JPY,MNT,reference,22.61
2026-08-17,KPW,MNT,reference,27.65
2026-08-17,KRW,MNT,reference,2.55
2026-08-17,KWD,MNT,reference,11705.88
2026-08-17,KZT,MNT,reference,7.78
2026-08-17,MYR,MNT,reference,885.18
2026-08-17,NOK,MNT,reference,381.54
2026-08-17,NPR,MNT,reference,23.54
2026-08-17,NZD,MNT,reference,2127.82
2026-08-17,PLN,MNT,reference,968.37
2026-08-17,RUB,MNT,reference,42.28
2026-08-17,SEK,MNT,reference,378.62
2026-08-17,SGD,MNT,reference,2817.61
2026-08-17,THB,MNT,reference,109.03
2026-08-17,TRY,MNT,reference,75.04
2026-08-17,TWD,MNT,reference,113.1
2026-08-17,UAH,MNT,reference,80.44
2026-08-17,USD,MNT,reference,3594.29
2026-08-17,VND,MNT,reference,0.14
2026-08-17,XAG,MNT,reference,236024.08
2026-08-17,XAU,MNT,reference,15824041.44
2026-08-17,XDR,MNT,reference,4913.45
2026-08-17,ZAR,MNT,reference,222.48
2026-08-18,AED,MNT,reference,978.68
2026-08-18,AUD,MNT,reference,2552.74
2026-08-18,BGN,MNT,reference,2158.8
2026-08-18,CAD,MNT,reference,2592.24
2026-08-18,CHF,MNT,reference,4430.69
2026-08-18,CNY,MNT,reference,533.07
2026-08-18,CZK,MNT,reference,171.96
2026-08-18,DKK,MNT,reference,556.47
2026-08-18,EGP,MNT,reference,71.25
2026-08-18,EUR,MNT,reference,4160.16
2026-08-18,GBP,MNT,reference,4862.68
2026-08-18,HKD,MNT,reference,458.26
2026-08-18,HUF,MNT,reference,11.42
2026-08-18,IDR,MNT,reference,0.2
2026-08-18,INR,MNT,reference,37.57
2026-08-18,JPY,MNT,reference,22.5
2026-08-18,KPW,MNT,reference,27.65
2026-08-18,KRW,MNT,reference,2.55
2026-08-18,KWD,MNT,reference,11702.43
2026-08-18,KZT,MNT,reference,7.81
2026-08-18,MYR,MNT,reference,886.3
2026-08-18,NOK,MNT,reference,381.11
2026-08-18,NPR,MNT,reference,23.5
2026-08-18,NZD,MNT,reference,2111.71
2026-08-18,PLN,MNT,reference,963.81
2026-08-18,RUB,MNT,reference,42.28
2026-08-18,SEK,MNT,reference,377.24
2026-08-18,SGD,MNT,reference,2812.52
2026-08-18,THB,MNT,reference,108.61
2026-08-18,TRY,MNT,reference,75.01
2026-08-18,TWD,MNT,reference,112.63
2026-08-18,UAH,MNT,reference,80.27
2026-08-18,USD,MNT,reference,3594.4
2026-08-18,VND,MNT,reference,0.14
2026-08-18,XAG,MNT,reference,233724.06
2026-08-18,XAU,MNT,reference,15799688.42
2026-08-18,XDR,MNT,reference,4919.29
2026-08-18,ZAR,MNT,reference,221.06
2026-08-19,AED,MNT,reference,978.74
2026-08-19,AUD,MNT,reference,2541.69
2026-08-19,BGN,MNT,reference,2158.87
2026-08-19,CAD,MNT,reference,2590.55
2026-08-19,CHF,MNT,reference,4432.48
2026-08-19,CNY,MNT,reference,533.49
2026-08-19,CZK,MNT,reference,172.36
2026-08-19,DKK,MNT,reference,557.61
2026-08-19,EGP,MNT,reference,70.97
2026-08-19,EUR,MNT,reference,4168.39
2026-08-19,GBP,MNT,reference,4872.73
2026-08-19,HKD,MNT,reference,458.29
2026-08-19,HUF,MNT,reference,11.42
2026-08-19,IDR,MNT,reference,0.2
2026-08-19,INR,MNT,reference,37.54
2026-08-19,JPY,MNT,reference,22.58
2026-08-19,KPW,MNT,reference,27.65
2026-08-19,KRW,MNT,reference,2.58
2026-08-19,KWD,MNT,reference,11702.82
2026-08-19,KZT,MNT,reference,7.77
2026-08-19,MYR,MNT,reference,885.08
2026-08-19,NOK,MNT,reference,382.08
2026-08-19,NPR,MNT,reference,23.46
2026-08-19,NZD,MNT,reference,2110.34
2026-08-19,PLN,MNT,reference,962.67
2026-08-19,RUB,MNT,reference,42.16
2026-08-19,SEK,MNT,reference,377.41
2026-08-19,SGD,MNT,reference,2816.03
2026-08-19,THB,MNT,reference,108.65
2026-08-19,TRY,MNT,reference,74.98
2026-08-19,TWD,MNT,reference,112.73
2026-08-19,UAH,MNT,reference,80.33
