date,base,quote,type,value
2026-09-09,AOA,NAD,reference,0.0172
2026-09-09,EUR,NAD,reference,18.6066
2026-09-09,GBP,NAD,reference,21.6738
2026-09-09,USD,NAD,reference,15.9924
2026-09-10,AOA,NAD,reference,0.0172
2026-09-10,EUR,NAD,reference,18.6571
2026-09-10,GBP,NAD,reference,21.7316
2026-09-10,USD,NAD,reference,16.0285
2026-09-11,AOA,NAD,reference,0.0174
2026-09-11,EUR,NAD,reference,18.7888
2026-09-11,GBP,NAD,reference,21.8612
2026-09-11,USD,NAD,reference,16.1897
2026-09-14,AOA,NAD,reference,0.0174
2026-09-14,EUR,NAD,reference,18.7204
2026-09-14,GBP,NAD,reference,21.8558
2026-09-14,USD,NAD,reference,16.188
2026-09-15,AOA,NAD,reference,0.0175
2026-09-15,EUR,NAD,reference,18.8029
2026-09-15,GBP,NAD,reference,21.9792
2026-09-15,USD,NAD,reference,16.3011
2026-09-16,AOA,NAD,reference,0.0173
2026-09-16,EUR,NAD,reference,18.7356
2026-09-16,GBP,NAD,reference,21.8861
2026-09-16,USD,NAD,reference,16.226
2026-09-17,AOA,NAD,reference,0.0176
2026-09-17,EUR,NAD,reference,18.7342
2026-09-17,GBP,NAD,reference,21.8636
2026-09-17,USD,NAD,reference,16.347
2026-09-18,AOA,NAD,reference,0.0176
2026-09-18,EUR,NAD,reference,18.6456
2026-09-18,GBP,NAD,reference,21.702
2026-09-18,USD,NAD,reference,16.2415
2026-09-21,AOA,NAD,reference,0.0178
2026-09-21,EUR,NAD,reference,18.6269
2026-09-21,GBP,NAD,reference,21.718
2026-09-21,USD,NAD,reference,16.2361
2026-09-22,AOA,NAD,reference,0.0174
2026-09-22,EUR,NAD,reference,18.6524
2026-09-22,GBP,NAD,reference,21.753
2026-09-22,USD,NAD,reference,16.252
