date,base,quote,type,value
2009-01-05,AUD,THB,buy,24.5319
2009-01-05,AUD,THB,sell,25.0536
2009-01-05,BND,THB,buy,23.6296
2009-01-05,BND,THB,sell,24.0932
2009-01-05,CAD,THB,buy,28.5109
2009-01-05,CAD,THB,sell,28.9275
2009-01-05,CHF,THB,buy,31.9657
2009-01-05,CHF,THB,sell,32.4882
2009-01-05,CNY,THB,buy,5.0705
2009-01-05,CNY,THB,sell,5.1286
2009-01-05,DKK,THB,buy,6.428
2009-01-05,DKK,THB,sell,6.5236
2009-01-05,EUR,THB,buy,47.9667
2009-01-05,EUR,THB,sell,48.6285
2009-01-05,GBP,THB,buy,50.1096
2009-01-05,GBP,THB,sell,50.7982
2009-01-05,HKD,THB,buy,4.4618
2009-01-05,HKD,THB,sell,4.5199
2009-01-05,IDR,THB,buy,0.0029756
2009-01-05,IDR,THB,sell,0.0034313
2009-01-05,INR,THB,buy,0.6726
2009-01-05,INR,THB,sell,0.7729
2009-01-05,JPY,THB,buy,0.374559
2009-01-05,JPY,THB,sell,0.38101199999999996
2009-01-05,MYR,THB,buy,9.6393
2009-01-05,MYR,THB,sell,10.4007
2009-01-05,NOK,THB,buy,5.0143
2009-01-05,NOK,THB,sell,5.0916
2009-01-05,NZD,THB,buy,20.2522
2009-01-05,NZD,THB,sell,20.6966
2009-01-05,PHP,THB,buy,0.7223
2009-01-05,PHP,THB,sell,0.7523
2009-01-05,SEK,THB,buy,4.4657
2009-01-05,SEK,THB,sell,4.5448
2009-01-05,SGD,THB,buy,23.644
2009-01-05,SGD,THB,sell,24.0472
2009-01-05,USD,THB,buy,34.6852
2009-01-05,USD,THB,reference,34.814
2009-01-05,USD,THB,sell,34.9407
2009-01-06,AUD,THB,buy,24.6965
2009-01-06,AUD,THB,sell,25.2009
2009-01-06,BND,THB,buy,23.6215
2009-01-06,BND,THB,sell,24.1038
2009-01-06,CAD,THB,buy,29.1787
2009-01-06,CAD,THB,sell,29.6006
2009-01-06,CHF,THB,buy,31.2638
2009-01-06,CHF,THB,sell,31.7337
2009-01-06,CNY,THB,buy,5.1031
2009-01-06,CNY,THB,sell,5.16
2009-01-06,DKK,THB,buy,6.3205
2009-01-06,DKK,THB,sell,6.4243
2009-01-06,EUR,THB,buy,47.1682
2009-01-06,EUR,THB,sell,47.8689
2009-01-06,GBP,THB,buy,51.0063
2009-01-06,GBP,THB,sell,51.7051
2009-01-06,HKD,THB,buy,4.49
2009-01-06,HKD,THB,sell,4.551
2009-01-06,IDR,THB,buy,0.0029674999999999997
2009-01-06,IDR,THB,sell,0.0034157000000000002
