date,base,quote,type,value
2025-01-01,AED,TZS,buy,643.3945
2025-01-01,AED,TZS,reference,646.523
2025-01-01,AED,TZS,sell,649.6516
2025-01-01,AUD,TZS,buy,1464.7807
2025-01-01,AUD,TZS,reference,1472.7013
2025-01-01,AUD,TZS,sell,1480.6218
2025-01-01,BIF,TZS,buy,0.8026
2025-01-01,BIF,TZS,reference,0.7991
2025-01-01,BIF,TZS,sell,0.7955
2025-01-01,CAD,TZS,buy,1642.8636
2025-01-01,CAD,TZS,reference,1650.7896
2025-01-01,CAD,TZS,sell,1658.7156
2025-01-01,CHF,TZS,buy,2609.5314
2025-01-01,CHF,TZS,reference,2622.4336
2025-01-01,CHF,TZS,sell,2635.3357
2025-01-01,CNY,TZS,buy,323.7202
2025-01-01,CNY,TZS,reference,325.3365
2025-01-01,CNY,TZS,sell,326.9529
2025-01-01,DKK,TZS,buy,329.3788
2025-01-01,DKK,TZS,reference,330.9747
2025-01-01,DKK,TZS,sell,332.5706
2025-01-01,EUR,TZS,buy,2455.7939
2025-01-01,EUR,TZS,reference,2468.3115
2025-01-01,EUR,TZS,sell,2480.8291
2025-01-01,GBP,TZS,buy,2960.7522
2025-01-01,GBP,TZS,reference,2976.3912
2025-01-01,GBP,TZS,sell,2992.0303
2025-01-01,HKD,TZS,buy,304.2661
2025-01-01,HKD,TZS,reference,305.7855
2025-01-01,HKD,TZS,sell,307.3048
2025-01-01,INR,TZS,buy,27.6124
2025-01-01,INR,TZS,reference,27.7415
2025-01-01,INR,TZS,sell,27.8706
2025-01-01,JPY,TZS,buy,15.0639
2025-01-01,JPY,TZS,reference,15.1388
2025-01-01,JPY,TZS,sell,15.2136
2025-01-01,KES,TZS,buy,18.3386
2025-01-01,KES,TZS,reference,18.359
2025-01-01,KES,TZS,sell,18.3794
2025-01-01,KRW,TZS,buy,1.6053
2025-01-01,KRW,TZS,reference,1.6117
2025-01-01,KRW,TZS,sell,1.6181
2025-01-01,KWD,TZS,buy,7674.8431
2025-01-01,KWD,TZS,reference,7705.6788
