date,base,quote,type,value
2026-01-22,USD,ZMW,buy,19.9023
2026-01-22,USD,ZMW,middle,19.9343
2026-01-22,USD,ZMW,sell,19.9593
2026-01-23,USD,ZMW,buy,19.5932
2026-01-23,USD,ZMW,middle,19.6182
2026-01-23,USD,ZMW,sell,19.6432
2026-01-26,USD,ZMW,buy,19.6421
2026-01-26,USD,ZMW,middle,19.6671
2026-01-26,USD,ZMW,sell,19.6921
2026-01-27,USD,ZMW,buy,19.7394
2026-01-27,USD,ZMW,middle,19.7644
2026-01-27,USD,ZMW,sell,19.7894
2026-01-28,USD,ZMW,buy,19.8432
2026-01-28,USD,ZMW,middle,19.8682
2026-01-28,USD,ZMW,sell,19.8932
2026-02-16,USD,ZMW,buy,18.3075
2026-02-16,USD,ZMW,middle,18.3325
2026-02-16,USD,ZMW,sell,18.3575
2026-03-18,USD,ZMW,buy,19.5046
2026-03-18,USD,ZMW,middle,19.5296
2026-03-18,USD,ZMW,sell,19.5546
2026-03-19,USD,ZMW,buy,19.6126
2026-03-19,USD,ZMW,middle,19.5876
2026-03-19,USD,ZMW,sell,19.5626
2026-03-24,USD,ZMW,buy,19.3054
2026-03-24,USD,ZMW,middle,19.3304
2026-03-24,USD,ZMW,sell,19.3554
2026-03-25,USD,ZMW,buy,18.7875
2026-03-25,USD,ZMW,middle,18.8125
2026-03-25,USD,ZMW,sell,18.9483
2026-03-26,USD,ZMW,buy,18.8575
2026-03-26,USD,ZMW,middle,18.8825
2026-03-26,USD,ZMW,sell,18.9075
2026-03-27,USD,ZMW,buy,18.9246
2026-03-27,USD,ZMW,middle,18.9496
2026-03-27,USD,ZMW,sell,18.9746
2026-03-30,USD,ZMW,buy,19.0475
2026-03-30,USD,ZMW,middle,19.0725
2026-03-30,USD,ZMW,sell,19.0975
2026-03-31,USD,ZMW,buy,19.1214
2026-03-31,USD,ZMW,middle,19.1464
2026-03-31,USD,ZMW,sell,19.1714
2026-04-01,USD,ZMW,buy,19.2245
2026-04-01,USD,ZMW,middle,19.2495
2026-04-01,USD,ZMW,sell,19.2745
2026-04-02,USD,ZMW,buy,19.2782
2026-04-02,USD,ZMW,middle,19.3025
2026-04-02,USD,ZMW,sell,19.3268
2026-04-07,USD,ZMW,buy,19.3527
2026-04-07,USD,ZMW,middle,19.3777
2026-04-07,USD,ZMW,sell,19.4027
2026-04-08,USD,ZMW,buy,19.2232
2026-04-08,USD,ZMW,middle,19.2482
