date,base,quote,type,value
2026-09-05,USD,HTG,buy,130.3511
2026-09-05,USD,HTG,reference,130.5307
2026-09-05,USD,HTG,sell,131.1368
2026-09-07,USD,HTG,buy,130.3511
2026-09-07,USD,HTG,reference,130.5307
2026-09-07,USD,HTG,sell,131.1368
2026-09-08,USD,HTG,buy,130.1492
2026-09-08,USD,HTG,reference,130.4095
2026-09-08,USD,HTG,sell,131.0921
2026-09-09,USD,HTG,buy,130.2794
2026-09-09,USD,HTG,reference,130.4876
2026-09-09,USD,HTG,sell,131.1807
2026-09-10,USD,HTG,buy,130.3186
2026-09-10,USD,HTG,reference,130.5111
2026-09-10,USD,HTG,sell,131.1504
