date,base,quote,type,value
2026-08-11,AED,PHP,reference,16.5468
2026-08-11,ARS,PHP,reference,0.0405
2026-08-11,AUD,PHP,reference,42.8646
2026-08-11,BHD,PHP,reference,161.2497
2026-08-11,BND,PHP,reference,47.2847
2026-08-11,BRL,PHP,reference,11.8996
2026-08-11,CAD,PHP,reference,43.6007
2026-08-11,CHF,PHP,reference,75.0586
2026-08-11,CNY,PHP,reference,9.0086
2026-08-11,DKK,PHP,reference,9.3863
2026-08-11,EUR,PHP,reference,70.1587
2026-08-11,GBP,PHP,reference,82.1009
2026-08-11,HKD,PHP,reference,7.7471
2026-08-11,IDR,PHP,reference,0.0034
2026-08-11,INR,PHP,reference,0.6377
2026-08-11,JPY,PHP,reference,0.3817
2026-08-11,KRW,PHP,reference,0.0428
2026-08-11,MXN,PHP,reference,3.5464
2026-08-11,MYR,PHP,reference,14.8667
2026-08-11,NOK,PHP,reference,6.4101
2026-08-11,NZD,PHP,reference,35.7479
2026-08-11,PKR,PHP,reference,0.2192
2026-08-11,SAR,PHP,reference,16.186
2026-08-11,SEK,PHP,reference,6.4101
2026-08-11,SGD,PHP,reference,47.4693
2026-08-11,SYP,PHP,reference,0.5002
2026-08-11,THB,PHP,reference,1.8424
2026-08-11,TWD,PHP,reference,1.8853
2026-08-11,USD,PHP,reference,60.775
2026-08-11,VES,PHP,reference,0.08
2026-08-11,ZAR,PHP,reference,3.7547
2026-08-12,AED,PHP,reference,16.6369
2026-08-12,ARS,PHP,reference,0.041
2026-08-12,AUD,PHP,reference,43.1272
2026-08-12,BHD,PHP,reference,162.1226
2026-08-12,BND,PHP,reference,47.5665
2026-08-12,BRL,PHP,reference,11.846
2026-08-12,CAD,PHP,reference,43.8871
2026-08-12,CHF,PHP,reference,75.3626
2026-08-12,CNY,PHP,reference,9.057
2026-08-12,DKK,PHP,reference,9.4335
2026-08-12,EUR,PHP,reference,70.5385
2026-08-12,GBP,PHP,reference,82.5821
2026-08-12,HKD,PHP,reference,7.7878
2026-08-12,IDR,PHP,reference,0.0034
2026-08-12,INR,PHP,reference,0.6403
2026-08-12,JPY,PHP,reference,0.3837
2026-08-12,KRW,PHP,reference,0.0433
2026-08-12,MXN,PHP,reference,3.5811
2026-08-12,MYR,PHP,reference,14.9399
2026-08-12,NOK,PHP,reference,6.4467
2026-08-12,NZD,PHP,reference,35.9292
2026-08-12,PKR,PHP,reference,0.2203
2026-08-12,SAR,PHP,reference,16.274
2026-08-12,SEK,PHP,reference,6.4247
2026-08-12,SGD,PHP,reference,47.7524
2026-08-12,SYP,PHP,reference,0.5027
2026-08-12,THB,PHP,reference,1.8453
2026-08-12,TWD,PHP,reference,1.8967
2026-08-12,USD,PHP,reference,61.104
2026-08-12,VES,PHP,reference,0.0802
2026-08-12,ZAR,PHP,reference,3.7716
2026-08-13,AED,PHP,reference,16.6983
2026-08-13,ARS,PHP,reference,0.0411
2026-08-13,AUD,PHP,reference,43.294
2026-08-13,BHD,PHP,reference,162.7037
2026-08-13,BND,PHP,reference,47.7296
2026-08-13,BRL,PHP,reference,11.814
2026-08-13,CAD,PHP,reference,43.9875
2026-08-13,CHF,PHP,reference,75.428
2026-08-13,CNY,PHP,reference,9.0904
2026-08-13,DKK,PHP,reference,9.4537
2026-08-13,EUR,PHP,reference,70.6686
2026-08-13,GBP,PHP,reference,82.7615
2026-08-13,HKD,PHP,reference,7.8156
2026-08-13,IDR,PHP,reference,0.0034
2026-08-13,INR,PHP,reference,0.6433
2026-08-13,JPY,PHP,reference,0.3847
2026-08-13,KRW,PHP,reference,0.0433
2026-08-13,MXN,PHP,reference,3.5977
2026-08-13,MYR,PHP,reference,15.0191
2026-08-13,NOK,PHP,reference,6.4704
