date,base,quote,type,value
2022-01-03,AED,AMD,reference,131.12
2022-01-03,ARS,AMD,reference,4.69
2022-01-03,AUD,AMD,reference,349.44
2022-01-03,BGN,AMD,reference,279.73
2022-01-03,BRL,AMD,reference,86.44
2022-01-03,BYN,AMD,reference,187.83
2022-01-03,CAD,AMD,reference,379.86
2022-01-03,CHF,AMD,reference,528.18
2022-01-03,CNY,AMD,reference,75.54
2022-01-03,CZK,AMD,reference,22.04
2022-01-03,DKK,AMD,reference,73.54
2022-01-03,EGP,AMD,reference,30.66
2022-01-03,EUR,AMD,reference,546.8
2022-01-03,GBP,AMD,reference,651.21
2022-01-03,GEL,AMD,reference,155.9
2022-01-03,HKD,AMD,reference,61.76
2022-01-03,HUF,AMD,reference,1.487
2022-01-03,ILS,AMD,reference,155.8
2022-01-03,INR,AMD,reference,6.48
2022-01-03,IRR,AMD,reference,0.0115
2022-01-03,ISK,AMD,reference,3.708
2022-01-03,JPY,AMD,reference,4.182
2022-01-03,KGS,AMD,reference,5.68
2022-01-03,KRW,AMD,reference,0.4041
2022-01-03,KWD,AMD,reference,1591.66
2022-01-03,KZT,AMD,reference,1.108
2022-01-03,LBP,AMD,reference,0.3184
2022-01-03,MDL,AMD,reference,27.07
2022-01-03,MXN,AMD,reference,23.53
2022-01-03,NOK,AMD,reference,54.68
2022-01-03,PLN,AMD,reference,119.18
2022-01-03,RON,AMD,reference,110.56
2022-01-03,RUB,AMD,reference,6.48
2022-01-03,SAR,AMD,reference,128.27
2022-01-03,SEK,AMD,reference,53.18
2022-01-03,SGD,AMD,reference,356.81
2022-01-03,SYP,AMD,reference,0.19
2022-01-03,TJS,AMD,reference,42.73
2022-01-03,TMT,AMD,reference,137.6
2022-01-03,TRY,AMD,reference,36.49
2022-01-03,UAH,AMD,reference,17.67
2022-01-03,USD,AMD,reference,481.59
2022-01-03,UZS,AMD,reference,0.045
2022-01-03,XAG,AMD,reference,11117.626747392
2022-01-03,XAU,AMD,reference,869679.338248512
2022-01-03,XDR,AMD,reference,674.03
2022-01-04,AED,AMD,reference,131.28
2022-01-04,ARS,AMD,reference,4.68
2022-01-04,AUD,AMD,reference,347.76
2022-01-04,BGN,AMD,reference,278.63
2022-01-04,BRL,AMD,reference,84.97
2022-01-04,BYN,AMD,reference,188.42
2022-01-04,CAD,AMD,reference,378.34
2022-01-04,CHF,AMD,reference,525.32
2022-01-04,CNY,AMD,reference,75.59
2022-01-04,CZK,AMD,reference,21.97
2022-01-04,DKK,AMD,reference,73.27
2022-01-04,EGP,AMD,reference,30.71
2022-01-04,EUR,AMD,reference,544.92
2022-01-04,GBP,AMD,reference,651.34
2022-01-04,GEL,AMD,reference,156.25
2022-01-04,HKD,AMD,reference,61.86
2022-01-04,HUF,AMD,reference,1.491
2022-01-04,ILS,AMD,reference,155.93
2022-01-04,INR,AMD,reference,6.47
2022-01-04,IRR,AMD,reference,0.0115
2022-01-04,ISK,AMD,reference,3.693
2022-01-04,JPY,AMD,reference,4.163
2022-01-04,KGS,AMD,reference,5.69
2022-01-04,KRW,AMD,reference,0.4038
2022-01-04,KWD,AMD,reference,1593.23
2022-01-04,KZT,AMD,reference,1.109
2022-01-04,LBP,AMD,reference,0.319
2022-01-04,MDL,AMD,reference,27.05
2022-01-04,MXN,AMD,reference,23.48
2022-01-04,NOK,AMD,reference,54.4
2022-01-04,PLN,AMD,reference,119.13
2022-01-04,RON,AMD,reference,110.7
2022-01-04,RUB,AMD,reference,6.44
2022-01-04,SAR,AMD,reference,128.39
2022-01-04,SEK,AMD,reference,53.04
2022-01-04,SGD,AMD,reference,355.76
2022-01-04,SYP,AMD,reference,0.19
2022-01-04,TJS,AMD,reference,42.82
2022-01-04,TMT,AMD,reference,137.77
2022-01-04,TRY,AMD,reference,36.27
2022-01-04,UAH,AMD,reference,17.65
2022-01-04,USD,AMD,reference,482.19
2022-01-04,UZS,AMD,reference,0.045
2022-01-04,XAG,AMD,reference,11131.312277183999
2022-01-04,XAU,AMD,reference,870762.672345456
