date,base,quote,type,value
2020-01-07,AED,AZN,reference,0.4628
2020-01-07,ARS,AZN,reference,0.0284
2020-01-07,AUD,AZN,reference,1.1777
2020-01-07,BRL,AZN,reference,0.4182
2020-01-07,BYN,AZN,reference,0.8058
2020-01-07,CAD,AZN,reference,1.3112
2020-01-07,CHF,AZN,reference,1.7539
2020-01-07,CLP,AZN,reference,0.002202
2020-01-07,CNY,AZN,reference,0.2444
2020-01-07,CZK,AZN,reference,0.0753
2020-01-07,DKK,AZN,reference,0.2546
2020-01-07,EGP,AZN,reference,0.1057
2020-01-07,EUR,AZN,reference,1.9025
2020-01-07,GBP,AZN,reference,2.2392
2020-01-07,GEL,AZN,reference,0.5947
2020-01-07,HKD,AZN,reference,0.2187
2020-01-07,IDR,AZN,reference,0.00012200000000000001
2020-01-07,ILS,AZN,reference,0.4892
2020-01-07,INR,AZN,reference,0.0237
2020-01-07,IRR,AZN,reference,0.00004
2020-01-07,JPY,AZN,reference,0.015668
2020-01-07,KGS,AZN,reference,0.0244
2020-01-07,KRW,AZN,reference,0.001459
2020-01-07,KWD,AZN,reference,5.611
2020-01-07,KZT,AZN,reference,0.0045
2020-01-07,LBP,AZN,reference,0.0011229999999999999
2020-01-07,MDL,AZN,reference,0.0987
2020-01-07,MXN,AZN,reference,0.0902
2020-01-07,MYR,AZN,reference,0.4149
2020-01-07,NOK,AZN,reference,0.1934
2020-01-07,NZD,AZN,reference,1.1342
2020-01-07,PLN,AZN,reference,0.4496
2020-01-07,RUB,AZN,reference,0.0275
2020-01-07,SAR,AZN,reference,0.4531
2020-01-07,SDR,AZN,reference,2.3544
2020-01-07,SEK,AZN,reference,0.1808
2020-01-07,SGD,AZN,reference,1.2606
2020-01-07,TJS,AZN,reference,0.1753
2020-01-07,TMT,AZN,reference,0.4857
2020-01-07,TRY,AZN,reference,0.2849
2020-01-07,TWD,AZN,reference,0.0566
2020-01-07,UAH,AZN,reference,0.0717
2020-01-07,USD,AZN,reference,1.7
2020-01-07,UZS,AZN,reference,0.000179
2020-01-07,ZAR,AZN,reference,0.1198
2020-01-08,AED,AZN,reference,0.4628
2020-01-08,ARS,AZN,reference,0.0284
2020-01-08,AUD,AZN,reference,1.1678
2020-01-08,BRL,AZN,reference,0.4181
2020-01-08,BYN,AZN,reference,0.8058
2020-01-08,CAD,AZN,reference,1.3095
2020-01-08,CHF,AZN,reference,1.7525
2020-01-08,CLP,AZN,reference,0.00221
2020-01-08,CNY,AZN,reference,0.2448
2020-01-08,CZK,AZN,reference,0.0751
2020-01-08,DKK,AZN,reference,0.2536
2020-01-08,EGP,AZN,reference,0.1058
2020-01-08,EUR,AZN,reference,1.8952
2020-01-08,GBP,AZN,reference,2.2306
2020-01-08,GEL,AZN,reference,0.5947
2020-01-08,HKD,AZN,reference,0.2186
2020-01-08,IDR,AZN,reference,0.00012200000000000001
2020-01-08,ILS,AZN,reference,0.4906
2020-01-08,INR,AZN,reference,0.0236
2020-01-08,IRR,AZN,reference,0.00004
2020-01-08,JPY,AZN,reference,0.015695
2020-01-08,KGS,AZN,reference,0.0244
2020-01-08,KRW,AZN,reference,0.001452
2020-01-08,KWD,AZN,reference,5.6082
2020-01-08,KZT,AZN,reference,0.0045
2020-01-08,LBP,AZN,reference,0.001122
2020-01-08,MDL,AZN,reference,0.0987
2020-01-08,MXN,AZN,reference,0.0899
2020-01-08,MYR,AZN,reference,0.4142
2020-01-08,NOK,AZN,reference,0.1918
2020-01-08,NZD,AZN,reference,1.1294
2020-01-08,PLN,AZN,reference,0.4463
2020-01-08,RUB,AZN,reference,0.0274
2020-01-08,SAR,AZN,reference,0.4531
2020-01-08,SDR,AZN,reference,2.3533
2020-01-08,SEK,AZN,reference,0.1796
2020-01-08,SGD,AZN,reference,1.2581
2020-01-08,TJS,AZN,reference,0.1754
2020-01-08,TMT,AZN,reference,0.4857
2020-01-08,TRY,AZN,reference,0.2848
2020-01-08,TWD,AZN,reference,0.0565
2020-01-08,UAH,AZN,reference,0.0717
2020-01-08,USD,AZN,reference,1.7
2020-01-08,UZS,AZN,reference,0.000178
2020-01-08,ZAR,AZN,reference,0.1187
2020-01-09,AED,AZN,reference,0.4628
2020-01-09,ARS,AZN,reference,0.0284
2020-01-09,AUD,AZN,reference,1.1683
2020-01-09,BRL,AZN,reference,0.4183
2020-01-09,BYN,AZN,reference,0.803
2020-01-09,CAD,AZN,reference,1.3037
2020-01-09,CHF,AZN,reference,1.7453
2020-01-09,CLP,AZN,reference,0.002231
2020-01-09,CNY,AZN,reference,0.2454
2020-01-09,CZK,AZN,reference,0.0749
2020-01-09,DKK,AZN,reference,0.2529
2020-01-09,EGP,AZN,reference,0.1059
2020-01-09,EUR,AZN,reference,1.8896
2020-01-09,GBP,AZN,reference,2.2288
2020-01-09,GEL,AZN,reference,0.5936
2020-01-09,HKD,AZN,reference,0.2186
2020-01-09,IDR,AZN,reference,0.000123
2020-01-09,ILS,AZN,reference,0.4914
2020-01-09,INR,AZN,reference,0.0238
2020-01-09,IRR,AZN,reference,0.00004
2020-01-09,JPY,AZN,reference,0.015564
2020-01-09,KGS,AZN,reference,0.0244
2020-01-09,KRW,AZN,reference,0.001465
2020-01-09,KWD,AZN,reference,5.6034
2020-01-09,KZT,AZN,reference,0.0045
2020-01-09,LBP,AZN,reference,0.0011229999999999999
2020-01-09,MDL,AZN,reference,0.0987
2020-01-09,MXN,AZN,reference,0.0903
2020-01-09,MYR,AZN,reference,0.4156
2020-01-09,NOK,AZN,reference,0.1919
2020-01-09,NZD,AZN,reference,1.1301
2020-01-09,PLN,AZN,reference,0.4463
2020-01-09,RUB,AZN,reference,0.0277
2020-01-09,SAR,AZN,reference,0.4531
2020-01-09,SDR,AZN,reference,2.3486
2020-01-09,SEK,AZN,reference,0.1799
2020-01-09,SGD,AZN,reference,1.2591
2020-01-09,TJS,AZN,reference,0.1754
2020-01-09,TMT,AZN,reference,0.4857
2020-01-09,TRY,AZN,reference,0.2872
2020-01-09,TWD,AZN,reference,0.0568
2020-01-09,UAH,AZN,reference,0.0708
2020-01-09,USD,AZN,reference,1.7
2020-01-09,UZS,AZN,reference,0.000178
2020-01-09,ZAR,AZN,reference,0.12
2020-01-10,AED,AZN,reference,0.4628
2020-01-10,ARS,AZN,reference,0.0284
2020-01-10,AUD,AZN,reference,1.1683
2020-01-10,BRL,AZN,reference,0.4157
2020-01-10,BYN,AZN,reference,0.802
2020-01-10,CAD,AZN,reference,1.3014
2020-01-10,CHF,AZN,reference,1.7471
2020-01-10,CLP,AZN,reference,0.002215
2020-01-10,CNY,AZN,reference,0.2452
2020-01-10,CZK,AZN,reference,0.0748
2020-01-10,DKK,AZN,reference,0.2527
2020-01-10,EGP,AZN,reference,0.1065
2020-01-10,EUR,AZN,reference,1.8883
2020-01-10,GBP,AZN,reference,2.223
2020-01-10,GEL,AZN,reference,0.5875
2020-01-10,HKD,AZN,reference,0.2189
2020-01-10,IDR,AZN,reference,0.000124
2020-01-10,ILS,AZN,reference,0.4909
2020-01-10,INR,AZN,reference,0.0239
2020-01-10,IRR,AZN,reference,0.00004
2020-01-10,JPY,AZN,reference,0.015519
2020-01-10,KGS,AZN,reference,0.0244
2020-01-10,KRW,AZN,reference,0.001464
2020-01-10,KWD,AZN,reference,5.6017
2020-01-10,KZT,AZN,reference,0.0045
2020-01-10,LBP,AZN,reference,0.001124
2020-01-10,MDL,AZN,reference,0.0984
2020-01-10,MXN,AZN,reference,0.0903
2020-01-10,MYR,AZN,reference,0.4169
2020-01-10,NOK,AZN,reference,0.1916
2020-01-10,NZD,AZN,reference,1.1248
2020-01-10,PLN,AZN,reference,0.4447
2020-01-10,RUB,AZN,reference,0.0277
2020-01-10,SAR,AZN,reference,0.4531
2020-01-10,SDR,AZN,reference,2.3449
2020-01-10,SEK,AZN,reference,0.1793
2020-01-10,SGD,AZN,reference,1.2589
2020-01-10,TJS,AZN,reference,0.1753
2020-01-10,TMT,AZN,reference,0.4857
2020-01-10,TRY,AZN,reference,0.2894
2020-01-10,TWD,AZN,reference,0.0567
2020-01-10,UAH,AZN,reference,0.0705
2020-01-10,USD,AZN,reference,1.7
2020-01-10,UZS,AZN,reference,0.000179
2020-01-10,ZAR,AZN,reference,0.1195
2020-01-13,AED,AZN,reference,0.4628
2020-01-13,ARS,AZN,reference,0.0284
2020-01-13,AUD,AZN,reference,1.1753
2020-01-13,BRL,AZN,reference,0.4148
2020-01-13,BYN,AZN,reference,0.8026
2020-01-13,CAD,AZN,reference,1.3029
2020-01-13,CHF,AZN,reference,1.7473
2020-01-13,CLP,AZN,reference,0.002202
2020-01-13,CNY,AZN,reference,0.2463
2020-01-13,CZK,AZN,reference,0.0749
2020-01-13,DKK,AZN,reference,0.2531
2020-01-13,EGP,AZN,reference,0.1063
2020-01-13,EUR,AZN,reference,1.8917
2020-01-13,GBP,AZN,reference,2.2162
2020-01-13,GEL,AZN,reference,0.5896
2020-01-13,HKD,AZN,reference,0.2188
2020-01-13,IDR,AZN,reference,0.000124
2020-01-13,ILS,AZN,reference,0.4902
2020-01-13,INR,AZN,reference,0.024
2020-01-13,IRR,AZN,reference,0.00004
2020-01-13,JPY,AZN,reference,0.015507
2020-01-13,KGS,AZN,reference,0.0244
2020-01-13,KRW,AZN,reference,0.001472
2020-01-13,KWD,AZN,reference,5.6021
2020-01-13,KZT,AZN,reference,0.0045
2020-01-13,LBP,AZN,reference,0.001127
2020-01-13,MDL,AZN,reference,0.098
2020-01-13,MXN,AZN,reference,0.0906
2020-01-13,MYR,AZN,reference,0.4183
2020-01-13,NOK,AZN,reference,0.1915
2020-01-13,NZD,AZN,reference,1.1301
2020-01-13,PLN,AZN,reference,0.4465
2020-01-13,RUB,AZN,reference,0.0278
2020-01-13,SAR,AZN,reference,0.4531
2020-01-13,SDR,AZN,reference,2.3449
2020-01-13,SEK,AZN,reference,0.1791
2020-01-13,SGD,AZN,reference,1.2628
2020-01-13,TJS,AZN,reference,0.1753
2020-01-13,TMT,AZN,reference,0.4857
2020-01-13,TRY,AZN,reference,0.2895
2020-01-13,TWD,AZN,reference,0.0569
2020-01-13,UAH,AZN,reference,0.071
2020-01-13,USD,AZN,reference,1.7
2020-01-13,UZS,AZN,reference,0.000179
