date,base,quote,type,value
2026-01-01,AED,BHD,reference,0.102391
2026-01-01,ANG,BHD,reference,0.210101
2026-01-01,AUD,BHD,reference,0.263163
2026-01-01,BDT,BHD,reference,0.003046
2026-01-01,CAD,BHD,reference,0.26774
2026-01-01,CHF,BHD,reference,0.464097
2026-01-01,CNY,BHD,reference,0.055678
2026-01-01,EGP,BHD,reference,0.007485
2026-01-01,EUR,BHD,reference,0.432775
2026-01-01,GBP,BHD,reference,0.504983
2026-01-01,HKD,BHD,reference,0.047957
2026-01-01,IDR,BHD,reference,0.000021
2026-01-01,ILS,BHD,reference,0.123451
2026-01-01,INR,BHD,reference,0.003945
2026-01-01,JOD,BHD,reference,0.530514
2026-01-01,JPY,BHD,reference,0.002388
2026-01-01,KWD,BHD,reference,1.214654
2026-01-01,LBP,BHD,reference,0.000004
2026-01-01,LKR,BHD,reference,0.001121
2026-01-01,MAD,BHD,reference,0.040319
2026-01-01,NOK,BHD,reference,0.039423
2026-01-01,NPR,BHD,reference,0.002463
2026-01-01,NZD,BHD,reference,0.220628
2026-01-01,OMR,BHD,reference,0.976796
2026-01-01,PHP,BHD,reference,0.006172
2026-01-01,PKR,BHD,reference,0.001353
2026-01-01,QAR,BHD,reference,0.103166
2026-01-01,SAR,BHD,reference,0.100137
2026-01-01,SGD,BHD,reference,0.293184
2026-01-01,THB,BHD,reference,0.011254
2026-01-01,TND,BHD,reference,0.128121
2026-01-01,TRY,BHD,reference,0.00791
2026-01-01,USD,BHD,reference,0.376081
2026-01-04,AED,BHD,reference,0.102394
2026-01-04,ANG,BHD,reference,0.210101
2026-01-04,AUD,BHD,reference,0.251053
2026-01-04,BDT,BHD,reference,0.003078
2026-01-04,CAD,BHD,reference,0.274122
2026-01-04,CHF,BHD,reference,0.474491
2026-01-04,CNY,BHD,reference,0.05381
2026-01-04,EGP,BHD,reference,0.007891
2026-01-04,EUR,BHD,reference,0.441689
2026-01-04,GBP,BHD,reference,0.506694
2026-01-04,HKD,BHD,reference,0.048321
2026-01-04,IDR,BHD,reference,0.000023
2026-01-04,ILS,BHD,reference,0.118064
2026-01-04,INR,BHD,reference,0.004184
2026-01-04,JOD,BHD,reference,0.530701
2026-01-04,JPY,BHD,reference,0.002404
2026-01-04,KWD,BHD,reference,1.222869
2026-01-04,LBP,BHD,reference,0.000004
2026-01-04,LKR,BHD,reference,0.001217
2026-01-04,MAD,BHD,reference,0.041244
2026-01-04,NOK,BHD,reference,0.037288
2026-01-04,NPR,BHD,reference,0.002614
2026-01-04,NZD,BHD,reference,0.216548
2026-01-04,OMR,BHD,reference,0.976834
2026-01-04,PHP,BHD,reference,0.00638
2026-01-04,PKR,BHD,reference,0.001343
2026-01-04,QAR,BHD,reference,0.103152
2026-01-04,SAR,BHD,reference,0.100279
2026-01-04,SGD,BHD,reference,0.292659
2026-01-04,THB,BHD,reference,0.011932
2026-01-04,TND,BHD,reference,0.129999
2026-01-04,TRY,BHD,reference,0.008755
2026-01-04,USD,BHD,reference,0.376081
2026-01-05,AED,BHD,reference,0.102395
2026-01-05,ANG,BHD,reference,0.210101
2026-01-05,AUD,BHD,reference,0.251166
2026-01-05,BDT,BHD,reference,0.003078
2026-01-05,CAD,BHD,reference,0.273583
2026-01-05,CHF,BHD,reference,0.474281
2026-01-05,CNY,BHD,reference,0.05381
2026-01-05,EGP,BHD,reference,0.007889
2026-01-05,EUR,BHD,reference,0.440147
2026-01-05,GBP,BHD,reference,0.50551
2026-01-05,HKD,BHD,reference,0.04827
2026-01-05,IDR,BHD,reference,0.000022
2026-01-05,ILS,BHD,reference,0.117931
2026-01-05,INR,BHD,reference,0.00417
2026-01-05,JOD,BHD,reference,0.530589
2026-01-05,JPY,BHD,reference,0.002393
2026-01-05,KWD,BHD,reference,1.223287
2026-01-05,LBP,BHD,reference,0.000004
2026-01-05,LKR,BHD,reference,0.001215
2026-01-05,MAD,BHD,reference,0.041165
2026-01-05,NOK,BHD,reference,0.037334
2026-01-05,NPR,BHD,reference,0.002609
2026-01-05,NZD,BHD,reference,0.216416
2026-01-05,OMR,BHD,reference,0.976796
