date,base,quote,type,value
2019-01-02,BZD,BBD,buy,0.99688
2019-01-02,BZD,BBD,sell,1.00313
2019-01-02,CAD,BBD,buy,1.45635
2019-01-02,CAD,BBD,sell,1.48963
2019-01-02,EUR,BBD,buy,2.2731
2019-01-02,EUR,BBD,sell,2.32008
2019-01-02,GBP,BBD,buy,2.51856
2019-01-02,GBP,BBD,sell,2.57061
2019-01-02,GYD,BBD,buy,0.00947
2019-01-02,GYD,BBD,sell,0.00953
2019-01-02,USD,BBD,buy,1.99
2019-01-02,USD,BBD,sell,2.02768
2019-01-02,XCD,BBD,buy,0.73843
2019-01-02,XCD,BBD,sell,0.74306
2019-01-03,BZD,BBD,buy,0.99688
2019-01-03,BZD,BBD,sell,1.00313
2019-01-03,CAD,BBD,buy,1.4608
2019-01-03,CAD,BBD,sell,1.49418
2019-01-03,EUR,BBD,buy,2.25184
2019-01-03,EUR,BBD,sell,2.29837
2019-01-03,GBP,BBD,buy,2.50316
2019-01-03,GBP,BBD,sell,2.55488
2019-01-03,GYD,BBD,buy,0.00947
2019-01-03,GYD,BBD,sell,0.00953
2019-01-03,USD,BBD,buy,1.99
2019-01-03,USD,BBD,sell,2.02768
2019-01-03,XCD,BBD,buy,0.73843
2019-01-03,XCD,BBD,sell,0.74306
2019-01-04,BZD,BBD,buy,0.99688
2019-01-04,BZD,BBD,sell,1.00313
2019-01-04,CAD,BBD,buy,1.47239
2019-01-04,CAD,BBD,sell,1.50604
2019-01-04,EUR,BBD,buy,2.26605
2019-01-04,EUR,BBD,sell,2.31288
2019-01-04,GBP,BBD,buy,2.512
2019-01-04,GBP,BBD,sell,2.56391
2019-01-04,GYD,BBD,buy,0.00947
2019-01-04,GYD,BBD,sell,0.00953
2019-01-04,USD,BBD,buy,1.99
2019-01-04,USD,BBD,sell,2.02768
2019-01-04,XCD,BBD,buy,0.73843
2019-01-04,XCD,BBD,sell,0.74306
2019-01-07,BZD,BBD,buy,0.99688
2019-01-07,BZD,BBD,sell,1.00313
2019-01-07,CAD,BBD,buy,1.48172
2019-01-07,CAD,BBD,sell,1.51558
2019-01-07,EUR,BBD,buy,2.26664
2019-01-07,EUR,BBD,sell,2.31348
2019-01-07,GBP,BBD,buy,2.53128
2019-01-07,GBP,BBD,sell,2.58359
2019-01-07,GYD,BBD,buy,0.00947
2019-01-07,GYD,BBD,sell,0.00953
2019-01-07,USD,BBD,buy,1.99
2019-01-07,USD,BBD,sell,2.02768
2019-01-07,XCD,BBD,buy,0.73843
2019-01-07,XCD,BBD,sell,0.74306
2019-01-08,BZD,BBD,buy,0.99688
2019-01-08,BZD,BBD,sell,1.00313
2019-01-08,CAD,BBD,buy,1.49411
2019-01-08,CAD,BBD,sell,1.52825
2019-01-08,EUR,BBD,buy,2.28115
2019-01-08,EUR,BBD,sell,2.32829
2019-01-08,GBP,BBD,buy,2.53953
2019-01-08,GBP,BBD,sell,2.59201
2019-01-08,GYD,BBD,buy,0.00947
2019-01-08,GYD,BBD,sell,0.00953
2019-01-08,USD,BBD,buy,1.99
2019-01-08,USD,BBD,sell,2.02768
2019-01-08,XCD,BBD,buy,0.73843
2019-01-08,XCD,BBD,sell,0.74306
2019-01-09,BZD,BBD,buy,0.99688
2019-01-09,BZD,BBD,sell,1.00313
2019-01-09,CAD,BBD,buy,1.49254
2019-01-09,CAD,BBD,sell,1.52665
2019-01-09,EUR,BBD,buy,2.27499
2019-01-09,EUR,BBD,sell,2.322
2019-01-09,GBP,BBD,buy,2.5278
2019-01-09,GBP,BBD,sell,2.58004
2019-01-09,GYD,BBD,buy,0.00947
2019-01-09,GYD,BBD,sell,0.00953
2019-01-09,USD,BBD,buy,1.99
2019-01-09,USD,BBD,sell,2.02768
2019-01-09,XCD,BBD,buy,0.73843
