date,base,quote,type,value
2026-01-01,AUD,BAM,buy,1.109687
2026-01-01,AUD,BAM,middle,1.112468
2026-01-01,AUD,BAM,sell,1.115249
2026-01-01,CAD,BAM,buy,1.212668
2026-01-01,CAD,BAM,middle,1.215707
2026-01-01,CAD,BAM,sell,1.218746
2026-01-01,CHF,BAM,buy,2.094632
2026-01-01,CHF,BAM,middle,2.099882
2026-01-01,CHF,BAM,sell,2.105132
2026-01-01,CNY,BAM,buy,0.237162
2026-01-01,CNY,BAM,middle,0.237756
2026-01-01,CNY,BAM,sell,0.23835
2026-01-01,CZK,BAM,buy,0.080494
2026-01-01,CZK,BAM,middle,0.080696
2026-01-01,CZK,BAM,sell,0.080898
2026-01-01,DKK,BAM,buy,0.261208
2026-01-01,DKK,BAM,middle,0.261863
2026-01-01,DKK,BAM,sell,0.262518
2026-01-01,EUR,BAM,buy,1.95583
2026-01-01,EUR,BAM,middle,1.95583
2026-01-01,EUR,BAM,sell,1.95583
2026-01-01,GBP,BAM,buy,2.235779
2026-01-01,GBP,BAM,middle,2.241382
2026-01-01,GBP,BAM,sell,2.246985
2026-01-01,HUF,BAM,buy,0.0050654
2026-01-01,HUF,BAM,middle,0.0050780999999999995
2026-01-01,HUF,BAM,sell,0.0050907999999999995
2026-01-01,JPY,BAM,buy,0.01059775
2026-01-01,JPY,BAM,middle,0.01062431
2026-01-01,JPY,BAM,sell,0.01065087
2026-01-01,NOK,BAM,buy,0.164734
2026-01-01,NOK,BAM,middle,0.165147
2026-01-01,NOK,BAM,sell,0.16556
2026-01-01,RSD,BAM,buy,0.01663461
2026-01-01,RSD,BAM,middle,0.016676299999999998
2026-01-01,RSD,BAM,sell,0.016717990000000002
2026-01-01,RUB,BAM,buy,0.021023
2026-01-01,RUB,BAM,middle,0.021076
2026-01-01,RUB,BAM,sell,0.021129
2026-01-01,SEK,BAM,buy,0.180284
2026-01-01,SEK,BAM,middle,0.180736
2026-01-01,SEK,BAM,sell,0.181188
2026-01-01,TRY,BAM,buy,0.038645
2026-01-01,TRY,BAM,middle,0.038742
2026-01-01,TRY,BAM,sell,0.038839
2026-01-01,USD,BAM,buy,1.660375
2026-01-01,USD,BAM,middle,1.664536
2026-01-01,USD,BAM,sell,1.668697
2026-01-01,XDR,BAM,middle,2.275491
2026-01-06,AUD,BAM,buy,1.115333
2026-01-06,AUD,BAM,middle,1.118128
2026-01-06,AUD,BAM,sell,1.120923
2026-01-06,CAD,BAM,buy,1.212744
2026-01-06,CAD,BAM,middle,1.215783
2026-01-06,CAD,BAM,sell,1.218822
2026-01-06,CHF,BAM,buy,2.100269
2026-01-06,CHF,BAM,middle,2.105533
2026-01-06,CHF,BAM,sell,2.110797
2026-01-06,CNY,BAM,buy,0.239444
2026-01-06,CNY,BAM,middle,0.240044
2026-01-06,CNY,BAM,sell,0.240644
2026-01-06,CZK,BAM,buy,0.080634
2026-01-06,CZK,BAM,middle,0.080836
2026-01-06,CZK,BAM,sell,0.081038
2026-01-06,DKK,BAM,buy,0.261187
2026-01-06,DKK,BAM,middle,0.261842
2026-01-06,DKK,BAM,sell,0.262497
2026-01-06,EUR,BAM,buy,1.95583
2026-01-06,EUR,BAM,middle,1.95583
2026-01-06,EUR,BAM,sell,1.95583
2026-01-06,GBP,BAM,buy,2.248663
2026-01-06,GBP,BAM,middle,2.254299
2026-01-06,GBP,BAM,sell,2.259935
2026-01-06,HUF,BAM,buy,0.005073299999999999
2026-01-06,HUF,BAM,middle,0.00508602
2026-01-06,HUF,BAM,sell,0.005098740000000001
2026-01-06,JPY,BAM,buy,0.010664960000000001
2026-01-06,JPY,BAM,middle,0.01069169
2026-01-06,JPY,BAM,sell,0.01071842
2026-01-06,NOK,BAM,buy,0.165622
2026-01-06,NOK,BAM,middle,0.166037
2026-01-06,NOK,BAM,sell,0.166452
2026-01-06,RSD,BAM,buy,0.01663184
2026-01-06,RSD,BAM,middle,0.01667352
2026-01-06,RSD,BAM,sell,0.0167152
2026-01-06,RUB,BAM,buy,0.020586
2026-01-06,RUB,BAM,middle,0.020638
2026-01-06,RUB,BAM,sell,0.02069
2026-01-06,SEK,BAM,buy,0.180861
2026-01-06,SEK,BAM,middle,0.181314
2026-01-06,SEK,BAM,sell,0.181767
2026-01-06,TRY,BAM,buy,0.03886
2026-01-06,TRY,BAM,middle,0.038957
2026-01-06,TRY,BAM,sell,0.039054
2026-01-06,USD,BAM,buy,1.672617
2026-01-06,USD,BAM,middle,1.676809
2026-01-06,USD,BAM,sell,1.681001
2026-01-06,XDR,BAM,middle,2.283451
2026-01-07,AUD,BAM,buy,1.119814
2026-01-07,AUD,BAM,middle,1.122621
2026-01-07,AUD,BAM,sell,1.125428
2026-01-07,CAD,BAM,buy,1.209585
2026-01-07,CAD,BAM,middle,1.212617
2026-01-07,CAD,BAM,sell,1.215649
2026-01-07,CHF,BAM,buy,2.100722
2026-01-07,CHF,BAM,middle,2.105987
2026-01-07,CHF,BAM,sell,2.111252
2026-01-07,CNY,BAM,buy,0.2386
2026-01-07,CNY,BAM,middle,0.239198
2026-01-07,CNY,BAM,sell,0.239796
2026-01-07,CZK,BAM,buy,0.080634
2026-01-07,CZK,BAM,middle,0.080836
2026-01-07,CZK,BAM,sell,0.081038
2026-01-07,DKK,BAM,buy,0.261076
2026-01-07,DKK,BAM,middle,0.26173
2026-01-07,DKK,BAM,sell,0.262384
2026-01-07,EUR,BAM,buy,1.95583
2026-01-07,EUR,BAM,middle,1.95583
2026-01-07,EUR,BAM,sell,1.95583
2026-01-07,GBP,BAM,buy,2.252038
2026-01-07,GBP,BAM,middle,2.257682
2026-01-07,GBP,BAM,sell,2.263326
2026-01-07,HUF,BAM,buy,0.00506698
