date,base,quote,type,value
2015-01-02,CAD,BZD,buy,1.6845
2015-01-02,CAD,BZD,sell,1.7359
2015-01-02,EUR,BZD,buy,2.3713
2015-01-02,EUR,BZD,sell,2.4435
2015-01-02,GBP,BZD,buy,3.0373
2015-01-02,GBP,BZD,sell,3.1299
2015-01-02,USD,BZD,buy,1.98
2015-01-02,USD,BZD,sell,2.0175
2015-01-05,CAD,BZD,buy,1.6733
2015-01-05,CAD,BZD,sell,1.7243
2015-01-05,EUR,BZD,buy,2.3492
2015-01-05,EUR,BZD,sell,2.4208
2015-01-05,GBP,BZD,buy,2.9979
2015-01-05,GBP,BZD,sell,3.0893
2015-01-05,USD,BZD,buy,1.98
2015-01-05,USD,BZD,sell,2.0175
2015-01-06,CAD,BZD,buy,1.6735
2015-01-06,CAD,BZD,sell,1.7245
2015-01-06,EUR,BZD,buy,2.3459
2015-01-06,EUR,BZD,sell,2.4173
2015-01-06,GBP,BZD,buy,2.9907
2015-01-06,GBP,BZD,sell,3.0817
2015-01-06,USD,BZD,buy,1.98
2015-01-06,USD,BZD,sell,2.0175
2015-01-07,CAD,BZD,buy,1.6643
2015-01-07,CAD,BZD,sell,1.7149
2015-01-07,EUR,BZD,buy,2.3315
2015-01-07,EUR,BZD,sell,2.4025
2015-01-07,GBP,BZD,buy,2.9767
2015-01-07,GBP,BZD,sell,3.0673
2015-01-07,USD,BZD,buy,1.98
2015-01-07,USD,BZD,sell,2.0175
2015-01-08,CAD,BZD,buy,1.6664
2015-01-08,CAD,BZD,sell,1.7172
2015-01-08,EUR,BZD,buy,2.3213
2015-01-08,EUR,BZD,sell,2.3919
2015-01-08,GBP,BZD,buy,2.9698
2015-01-08,GBP,BZD,sell,3.0602
2015-01-08,USD,BZD,buy,1.98
2015-01-08,USD,BZD,sell,2.0175
2015-01-09,CAD,BZD,buy,1.6603
2015-01-09,CAD,BZD,sell,1.7109
2015-01-09,EUR,BZD,buy,2.3236
2015-01-09,EUR,BZD,sell,2.3944
2015-01-09,GBP,BZD,buy,2.98
2015-01-09,GBP,BZD,sell,3.0708
2015-01-09,USD,BZD,buy,1.98
2015-01-09,USD,BZD,sell,2.0175
2015-01-12,CAD,BZD,buy,1.6536
2015-01-12,CAD,BZD,sell,1.704
2015-01-12,EUR,BZD,buy,2.3281
2015-01-12,EUR,BZD,sell,2.3991
2015-01-12,GBP,BZD,buy,2.9847
2015-01-12,GBP,BZD,sell,3.0757
2015-01-12,USD,BZD,buy,1.98
2015-01-12,USD,BZD,sell,2.0175
2015-01-13,CAD,BZD,buy,1.6459
2015-01-13,CAD,BZD,sell,1.6961
2015-01-13,EUR,BZD,buy,2.3189
2015-01-13,EUR,BZD,sell,2.3895
2015-01-13,GBP,BZD,buy,2.9847
2015-01-13,GBP,BZD,sell,3.0757
2015-01-13,USD,BZD,buy,1.98
2015-01-13,USD,BZD,sell,2.0175
2015-01-14,CAD,BZD,buy,1.6473
2015-01-14,CAD,BZD,sell,1.6975
2015-01-14,EUR,BZD,buy,2.3278
2015-01-14,EUR,BZD,sell,2.3986
2015-01-14,GBP,BZD,buy,3.0031
2015-01-14,GBP,BZD,sell,3.0945
2015-01-14,USD,BZD,buy,1.98
2015-01-14,USD,BZD,sell,2.0175
2015-01-15,CAD,BZD,buy,1.6589
2015-01-15,CAD,BZD,sell,1.7095
2015-01-15,EUR,BZD,buy,2.3057
2015-01-15,EUR,BZD,sell,2.3759
2015-01-15,GBP,BZD,buy,2.9997
2015-01-15,GBP,BZD,sell,3.0911
2015-01-15,USD,BZD,buy,1.98
2015-01-15,USD,BZD,sell,2.0175
2015-01-16,CAD,BZD,buy,1.6404
2015-01-16,CAD,BZD,sell,1.6904
2015-01-16,EUR,BZD,buy,2.2838
2015-01-16,EUR,BZD,sell,2.3534
2015-01-16,GBP,BZD,buy,2.9905
2015-01-16,GBP,BZD,sell,3.0815
2015-01-16,USD,BZD,buy,1.98
2015-01-16,USD,BZD,sell,2.0175
2015-01-19,CAD,BZD,buy,1.645
2015-01-19,CAD,BZD,sell,1.6951
2015-01-19,EUR,BZD,buy,2.2868
2015-01-19,EUR,BZD,sell,2.3564
2015-01-19,GBP,BZD,buy,2.983
2015-01-19,GBP,BZD,sell,3.0738
2015-01-19,USD,BZD,buy,1.98
2015-01-19,USD,BZD,sell,2.0175
2015-01-20,CAD,BZD,buy,1.6379
2015-01-20,CAD,BZD,sell,1.6877
2015-01-20,EUR,BZD,buy,2.2858
2015-01-20,EUR,BZD,sell,2.3554
2015-01-20,GBP,BZD,buy,2.9924
2015-01-20,GBP,BZD,sell,3.0836
2015-01-20,USD,BZD,buy,1.98
2015-01-20,USD,BZD,sell,2.0175
2015-01-21,CAD,BZD,buy,1.6318
2015-01-21,CAD,BZD,sell,1.6814
2015-01-21,EUR,BZD,buy,2.2885
2015-01-21,EUR,BZD,sell,2.3583
2015-01-21,GBP,BZD,buy,2.9763
2015-01-21,GBP,BZD,sell,3.0669
2015-01-21,USD,BZD,buy,1.98
2015-01-21,USD,BZD,sell,2.0175
2015-01-22,CAD,BZD,buy,1.5927
2015-01-22,CAD,BZD,sell,1.6413
2015-01-22,EUR,BZD,buy,2.2755
2015-01-22,EUR,BZD,sell,2.3449
2015-01-22,GBP,BZD,buy,2.9873
2015-01-22,GBP,BZD,sell,3.0783
2015-01-22,USD,BZD,buy,1.98
2015-01-22,USD,BZD,sell,2.0175
2015-01-23,CAD,BZD,buy,1.5892
2015-01-23,CAD,BZD,sell,1.6376
2015-01-23,EUR,BZD,buy,2.2131
2015-01-23,EUR,BZD,sell,2.2805
2015-01-23,GBP,BZD,buy,2.953
2015-01-23,GBP,BZD,sell,3.043
2015-01-23,USD,BZD,buy,1.98
2015-01-23,USD,BZD,sell,2.0175
2015-01-26,CAD,BZD,buy,1.5815
2015-01-26,CAD,BZD,sell,1.6297
2015-01-26,EUR,BZD,buy,2.2186
2015-01-26,EUR,BZD,sell,2.2862
2015-01-26,GBP,BZD,buy,2.9609
2015-01-26,GBP,BZD,sell,3.0511
2015-01-26,USD,BZD,buy,1.98
2015-01-26,USD,BZD,sell,2.0175
2015-01-27,CAD,BZD,buy,1.5821
2015-01-27,CAD,BZD,sell,1.6303
2015-01-27,EUR,BZD,buy,2.2322
2015-01-27,EUR,BZD,sell,2.3002
2015-01-27,GBP,BZD,buy,2.9857
2015-01-27,GBP,BZD,sell,3.0767
2015-01-27,USD,BZD,buy,1.98
2015-01-27,USD,BZD,sell,2.0175
2015-01-28,CAD,BZD,buy,1.5835
2015-01-28,CAD,BZD,sell,1.6317
2015-01-28,EUR,BZD,buy,2.2361
2015-01-28,EUR,BZD,sell,2.3043
2015-01-28,GBP,BZD,buy,2.995
2015-01-28,GBP,BZD,sell,3.0862
2015-01-28,USD,BZD,buy,1.98
2015-01-28,USD,BZD,sell,2.0175
2015-01-29,CAD,BZD,buy,1.5725
2015-01-29,CAD,BZD,sell,1.6203
2015-01-29,EUR,BZD,buy,2.2304
2015-01-29,EUR,BZD,sell,2.2984
2015-01-29,GBP,BZD,buy,2.9812
2015-01-29,GBP,BZD,sell,3.072
2015-01-29,USD,BZD,buy,1.98
2015-01-29,USD,BZD,sell,2.0175
2015-01-30,CAD,BZD,buy,1.5405
2015-01-30,CAD,BZD,sell,1.5875
2015-01-30,EUR,BZD,buy,2.231
2015-01-30,EUR,BZD,sell,2.299
2015-01-30,GBP,BZD,buy,2.9672
2015-01-30,GBP,BZD,sell,3.0576
2015-01-30,USD,BZD,buy,1.98
2015-01-30,USD,BZD,sell,2.0175
2015-02-02,CAD,BZD,buy,1.5561
2015-02-02,CAD,BZD,sell,1.6035
2015-02-02,EUR,BZD,buy,2.2283
2015-02-02,EUR,BZD,sell,2.2961
2015-02-02,GBP,BZD,buy,2.9599
2015-02-02,GBP,BZD,sell,3.0501
2015-02-02,USD,BZD,buy,1.98
2015-02-02,USD,BZD,sell,2.0175
2015-02-03,CAD,BZD,buy,1.5725
2015-02-03,CAD,BZD,sell,1.6203
2015-02-03,EUR,BZD,buy,2.2551
2015-02-03,EUR,BZD,sell,2.3237
2015-02-03,GBP,BZD,buy,2.9775
2015-02-03,GBP,BZD,sell,3.0681
2015-02-03,USD,BZD,buy,1.98
2015-02-03,USD,BZD,sell,2.0175
2015-02-04,CAD,BZD,buy,1.5793
2015-02-04,CAD,BZD,sell,1.6275
2015-02-04,EUR,BZD,buy,2.2531
2015-02-04,EUR,BZD,sell,2.3217
2015-02-04,GBP,BZD,buy,2.9989
2015-02-04,GBP,BZD,sell,3.0903
2015-02-04,USD,BZD,buy,1.98
2015-02-04,USD,BZD,sell,2.0175
2015-02-05,CAD,BZD,buy,1.5772
2015-02-05,CAD,BZD,sell,1.6252
2015-02-05,EUR,BZD,buy,2.2509
2015-02-05,EUR,BZD,sell,2.3195
2015-02-05,GBP,BZD,buy,3.0145
2015-02-05,GBP,BZD,sell,3.1063
2015-02-05,USD,BZD,buy,1.98
2015-02-05,USD,BZD,sell,2.0175
2015-02-06,CAD,BZD,buy,1.5864
2015-02-06,CAD,BZD,sell,1.6348
2015-02-06,EUR,BZD,buy,2.2419
2015-02-06,EUR,BZD,sell,2.3101
2015-02-06,GBP,BZD,buy,3.0096
2015-02-06,GBP,BZD,sell,3.1012
2015-02-06,USD,BZD,buy,1.98
2015-02-06,USD,BZD,sell,2.0175
2015-02-09,CAD,BZD,buy,1.5784
2015-02-09,CAD,BZD,sell,1.6264
2015-02-09,EUR,BZD,buy,2.2281
2015-02-09,EUR,BZD,sell,2.2959
2015-02-09,GBP,BZD,buy,2.9993
2015-02-09,GBP,BZD,sell,3.0907
2015-02-09,USD,BZD,buy,1.98
2015-02-09,USD,BZD,sell,2.0175
2015-02-10,CAD,BZD,buy,1.5762
2015-02-10,CAD,BZD,sell,1.6242
2015-02-10,EUR,BZD,buy,2.2275
2015-02-10,EUR,BZD,sell,2.2953
2015-02-10,GBP,BZD,buy,3.0001
2015-02-10,GBP,BZD,sell,3.0915
2015-02-10,USD,BZD,buy,1.98
2015-02-10,USD,BZD,sell,2.0175
2015-02-11,CAD,BZD,buy,1.5591
2015-02-11,CAD,BZD,sell,1.6065
2015-02-11,EUR,BZD,buy,2.2296
2015-02-11,EUR,BZD,sell,2.2976
2015-02-11,GBP,BZD,buy,3.0133
2015-02-11,GBP,BZD,sell,3.1051
2015-02-11,USD,BZD,buy,1.98
2015-02-11,USD,BZD,sell,2.0175
2015-02-12,CAD,BZD,buy,1.5681
