date,base,quote,type,value
2019-01-02,USD,TWD,close,30.794
2019-01-03,USD,TWD,close,30.886
2019-01-04,USD,TWD,close,30.863
2019-01-07,USD,TWD,close,30.812
2019-01-08,USD,TWD,close,30.836
2019-01-09,USD,TWD,close,30.801
2019-01-10,USD,TWD,close,30.782
2019-01-11,USD,TWD,close,30.802
2019-01-14,USD,TWD,close,30.851
2019-01-15,USD,TWD,close,30.82
2019-01-16,USD,TWD,close,30.831
2019-01-17,USD,TWD,close,30.852
2019-01-18,USD,TWD,close,30.842
2019-01-19,USD,TWD,close,30.842
2019-01-21,USD,TWD,close,30.851
2019-01-22,USD,TWD,close,30.896
2019-01-23,USD,TWD,close,30.892
2019-01-24,USD,TWD,close,30.885
2019-01-25,USD,TWD,close,30.825
2019-01-28,USD,TWD,close,30.79
2019-01-29,USD,TWD,close,30.811
2019-01-30,USD,TWD,close,30.776
2019-01-31,USD,TWD,close,30.74
2019-02-01,USD,TWD,close,30.745
2019-02-11,USD,TWD,close,30.809
2019-02-12,USD,TWD,close,30.831
2019-02-13,USD,TWD,close,30.831
2019-02-14,USD,TWD,close,30.833
2019-02-15,USD,TWD,close,30.85
2019-02-18,USD,TWD,close,30.843
2019-02-19,USD,TWD,close,30.846
2019-02-20,USD,TWD,close,30.824
2019-02-21,USD,TWD,close,30.83
2019-02-22,USD,TWD,close,30.822
2019-02-23,USD,TWD,close,30.823
2019-02-25,USD,TWD,close,30.793
2019-02-26,USD,TWD,close,30.783
2019-02-27,USD,TWD,close,30.775
2019-03-04,USD,TWD,close,30.83
2019-03-05,USD,TWD,close,30.847
2019-03-06,USD,TWD,close,30.852
2019-03-07,USD,TWD,close,30.869
2019-03-08,USD,TWD,close,30.902
2019-03-11,USD,TWD,close,30.91
2019-03-12,USD,TWD,close,30.905
2019-03-13,USD,TWD,close,30.91
2019-03-14,USD,TWD,close,30.901
2019-03-15,USD,TWD,close,30.888
2019-03-18,USD,TWD,close,30.832
2019-03-19,USD,TWD,close,30.838
2019-03-20,USD,TWD,close,30.833
2019-03-21,USD,TWD,close,30.816
2019-03-22,USD,TWD,close,30.806
2019-03-25,USD,TWD,close,30.83
2019-03-26,USD,TWD,close,30.835
2019-03-27,USD,TWD,close,30.856
2019-03-28,USD,TWD,close,30.856
2019-03-29,USD,TWD,close,30.825
2019-04-01,USD,TWD,close,30.801
2019-04-02,USD,TWD,close,30.843
2019-04-03,USD,TWD,close,30.817
2019-04-08,USD,TWD,close,30.845
2019-04-09,USD,TWD,close,30.841
2019-04-10,USD,TWD,close,30.845
2019-04-11,USD,TWD,close,30.866
2019-04-12,USD,TWD,close,30.88
2019-04-15,USD,TWD,close,30.866
2019-04-16,USD,TWD,close,30.874
2019-04-17,USD,TWD,close,30.848
2019-04-18,USD,TWD,close,30.841
2019-04-19,USD,TWD,close,30.842
2019-04-22,USD,TWD,close,30.856
2019-04-23,USD,TWD,close,30.858
2019-04-24,USD,TWD,close,30.875
2019-04-25,USD,TWD,close,30.905
2019-04-26,USD,TWD,close,30.907
2019-04-29,USD,TWD,close,30.897
2019-04-30,USD,TWD,close,30.905
2019-05-02,USD,TWD,close,30.905
2019-05-03,USD,TWD,close,30.907
2019-05-06,USD,TWD,close,30.925
2019-05-07,USD,TWD,close,30.911
2019-05-08,USD,TWD,close,30.92
2019-05-09,USD,TWD,close,30.956
2019-05-10,USD,TWD,close,30.958
2019-05-13,USD,TWD,close,31.082
2019-05-14,USD,TWD,close,31.128
2019-05-15,USD,TWD,close,31.11
2019-05-16,USD,TWD,close,31.165
2019-05-17,USD,TWD,close,31.297
2019-05-20,USD,TWD,close,31.385
2019-05-21,USD,TWD,close,31.46
2019-05-22,USD,TWD,close,31.53
2019-05-23,USD,TWD,close,31.547
2019-05-24,USD,TWD,close,31.52
2019-05-27,USD,TWD,close,31.45
2019-05-28,USD,TWD,close,31.484
2019-05-29,USD,TWD,close,31.581
2019-05-30,USD,TWD,close,31.61
2019-05-31,USD,TWD,close,31.612
2019-06-03,USD,TWD,close,31.503
2019-06-04,USD,TWD,close,31.48
2019-06-05,USD,TWD,close,31.39
2019-06-06,USD,TWD,close,31.402
2019-06-10,USD,TWD,close,31.436
2019-06-11,USD,TWD,close,31.436
2019-06-12,USD,TWD,close,31.43
2019-06-13,USD,TWD,close,31.512
2019-06-14,USD,TWD,close,31.53
2019-06-17,USD,TWD,close,31.52
2019-06-18,USD,TWD,close,31.528
2019-06-19,USD,TWD,close,31.35
2019-06-20,USD,TWD,close,31.175
2019-06-21,USD,TWD,close,31.15
2019-06-24,USD,TWD,close,31.11
2019-06-25,USD,TWD,close,31.115
2019-06-26,USD,TWD,close,31.14
2019-06-27,USD,TWD,close,31.101
2019-06-28,USD,TWD,close,31.072
2019-07-01,USD,TWD,close,31.002
2019-07-02,USD,TWD,close,31.052
2019-07-03,USD,TWD,close,31.13
2019-07-04,USD,TWD,close,31.102
2019-07-05,USD,TWD,close,31.107
2019-07-08,USD,TWD,close,31.196
2019-07-09,USD,TWD,close,31.181
2019-07-10,USD,TWD,close,31.16
2019-07-11,USD,TWD,close,31.026
2019-07-12,USD,TWD,close,31.081
2019-07-15,USD,TWD,close,31.052
2019-07-16,USD,TWD,close,31.042
2019-07-17,USD,TWD,close,31.075
2019-07-18,USD,TWD,close,31.077
2019-07-19,USD,TWD,close,31.05
2019-07-22,USD,TWD,close,31.083
2019-07-23,USD,TWD,close,31.091
2019-07-24,USD,TWD,close,31.084
2019-07-25,USD,TWD,close,31.085
2019-07-26,USD,TWD,close,31.09
2019-07-29,USD,TWD,close,31.102
2019-07-30,USD,TWD,close,31.075
2019-07-31,USD,TWD,close,31.096
2019-08-01,USD,TWD,close,31.182
2019-08-02,USD,TWD,close,31.376
2019-08-05,USD,TWD,close,31.628
2019-08-06,USD,TWD,close,31.51
2019-08-07,USD,TWD,close,31.487
2019-08-08,USD,TWD,close,31.363
2019-08-12,USD,TWD,close,31.4
2019-08-13,USD,TWD,close,31.506
2019-08-14,USD,TWD,close,31.402
2019-08-15,USD,TWD,close,31.405
2019-08-16,USD,TWD,close,31.366
2019-08-19,USD,TWD,close,31.352
2019-08-20,USD,TWD,close,31.405
2019-08-21,USD,TWD,close,31.366
2019-08-22,USD,TWD,close,31.384
2019-08-23,USD,TWD,close,31.402
2019-08-26,USD,TWD,close,31.451
2019-08-27,USD,TWD,close,31.415
2019-08-28,USD,TWD,close,31.42
2019-08-29,USD,TWD,close,31.442
2019-08-30,USD,TWD,close,31.41
2019-09-02,USD,TWD,close,31.402
2019-09-03,USD,TWD,close,31.432
2019-09-04,USD,TWD,close,31.365
2019-09-05,USD,TWD,close,31.28
2019-09-06,USD,TWD,close,31.257
2019-09-09,USD,TWD,close,31.25
2019-09-10,USD,TWD,close,31.23
2019-09-11,USD,TWD,close,31.22
2019-09-12,USD,TWD,close,31.055
2019-09-16,USD,TWD,close,31.002
2019-09-17,USD,TWD,close,31.035
2019-09-18,USD,TWD,close,31
2019-09-19,USD,TWD,close,31.006
2019-09-20,USD,TWD,close,30.98
2019-09-23,USD,TWD,close,31.057
2019-09-24,USD,TWD,close,31.013
2019-09-25,USD,TWD,close,31.034
2019-09-26,USD,TWD,close,31.04
2019-09-27,USD,TWD,close,31.042
2019-10-01,USD,TWD,close,31.045
2019-10-02,USD,TWD,close,31.063
2019-10-03,USD,TWD,close,31.064
2019-10-04,USD,TWD,close,30.973
2019-10-05,USD,TWD,close,30.973
2019-10-07,USD,TWD,close,30.902
2019-10-08,USD,TWD,close,30.842
2019-10-09,USD,TWD,close,30.85
2019-10-14,USD,TWD,close,30.62
2019-10-15,USD,TWD,close,30.686
2019-10-16,USD,TWD,close,30.722
2019-10-17,USD,TWD,close,30.681
2019-10-18,USD,TWD,close,30.611
2019-10-21,USD,TWD,close,30.592
2019-10-22,USD,TWD,close,30.594
2019-10-23,USD,TWD,close,30.611
2019-10-24,USD,TWD,close,30.586
2019-10-25,USD,TWD,close,30.594
2019-10-28,USD,TWD,close,30.572
2019-10-29,USD,TWD,close,30.522
2019-10-30,USD,TWD,close,30.533
2019-10-31,USD,TWD,close,30.462
2019-11-01,USD,TWD,close,30.479
2019-11-04,USD,TWD,close,30.405
2019-11-05,USD,TWD,close,30.371
2019-11-06,USD,TWD,close,30.4
2019-11-07,USD,TWD,close,30.406
2019-11-08,USD,TWD,close,30.412
2019-11-11,USD,TWD,close,30.435
2019-11-12,USD,TWD,close,30.422
2019-11-13,USD,TWD,close,30.503
2019-11-14,USD,TWD,close,30.582
2019-11-15,USD,TWD,close,30.538
2019-11-18,USD,TWD,close,30.501
2019-11-19,USD,TWD,close,30.509
2019-11-20,USD,TWD,close,30.5
2019-11-21,USD,TWD,close,30.524
2019-11-22,USD,TWD,close,30.517
2019-11-25,USD,TWD,close,30.507
2019-11-26,USD,TWD,close,30.512
2019-11-27,USD,TWD,close,30.515
2019-11-28,USD,TWD,close,30.505
2019-11-29,USD,TWD,close,30.513
2019-12-02,USD,TWD,close,30.509
2019-12-03,USD,TWD,close,30.507
2019-12-04,USD,TWD,close,30.508
2019-12-05,USD,TWD,close,30.5
2019-12-06,USD,TWD,close,30.5
2019-12-09,USD,TWD,close,30.502
2019-12-10,USD,TWD,close,30.503
2019-12-11,USD,TWD,close,30.505
2019-12-12,USD,TWD,close,30.406
2019-12-13,USD,TWD,close,30.317
2019-12-16,USD,TWD,close,30.263
2019-12-17,USD,TWD,close,30.21
2019-12-18,USD,TWD,close,30.233
2019-12-19,USD,TWD,close,30.208
2019-12-20,USD,TWD,close,30.21
2019-12-23,USD,TWD,close,30.215
2019-12-24,USD,TWD,close,30.205
2019-12-25,USD,TWD,close,30.203
2019-12-26,USD,TWD,close,30.201
2019-12-27,USD,TWD,close,30.203
2019-12-30,USD,TWD,close,30.135
2019-12-31,USD,TWD,close,30.106
