date,base,quote,type,value
2026-09-02,AED,EGP,buy,13.8968
2026-09-02,AED,EGP,sell,13.9355
2026-09-02,AUD,EGP,buy,36.4027
2026-09-02,AUD,EGP,sell,36.5073
2026-09-02,BHD,EGP,buy,135.374
2026-09-02,BHD,EGP,sell,135.7617
2026-09-02,CAD,EGP,buy,36.6387
2026-09-02,CAD,EGP,sell,36.7493
2026-09-02,CHF,EGP,buy,62.6122
2026-09-02,CHF,EGP,sell,62.7985
2026-09-02,CNY,EGP,buy,7.5929
2026-09-02,CNY,EGP,sell,7.6139
2026-09-02,DKK,EGP,buy,7.901
2026-09-02,DKK,EGP,sell,7.9238
2026-09-02,EUR,EGP,buy,59.06
2026-09-02,EUR,EGP,sell,59.2315
2026-09-02,GBP,EGP,buy,68.8192
2026-09-02,GBP,EGP,sell,69.0224
2026-09-02,JOD,EGP,buy,71.8893
2026-09-02,JOD,EGP,sell,72.2892
2026-09-02,JPY,EGP,buy,0.319188
2026-09-02,JPY,EGP,sell,0.32008000000000003
2026-09-02,KWD,EGP,buy,166.1505
2026-09-02,KWD,EGP,sell,166.6584
2026-09-02,NOK,EGP,buy,5.4654
2026-09-02,NOK,EGP,sell,5.4812
2026-09-02,OMR,EGP,buy,132.5648
2026-09-02,OMR,EGP,sell,132.944
2026-09-02,QAR,EGP,buy,14.0012
2026-09-02,QAR,EGP,sell,14.0414
2026-09-02,SAR,EGP,buy,13.5929
2026-09-02,SAR,EGP,sell,13.6315
2026-09-02,SEK,EGP,buy,5.2853
2026-09-02,SEK,EGP,sell,5.3001
2026-09-02,USD,EGP,buy,51.0414
2026-09-02,USD,EGP,sell,51.1808
