date,base,quote,type,value
2024-01-02,CAD,ISK,middle,103.47
2024-01-02,CHF,ISK,middle,161.96
2024-01-02,DKK,ISK,middle,20.214
2024-01-02,EUR,ISK,middle,150.7
2024-01-02,GBP,ISK,middle,173.93
2024-01-02,JPY,ISK,middle,0.968
2024-01-02,NOK,ISK,middle,13.358
2024-01-02,SEK,ISK,middle,13.51
2024-01-02,USD,ISK,middle,137.55
2024-01-02,XDR,ISK,middle,184.11
2024-01-03,CAD,ISK,middle,103.4
2024-01-03,CHF,ISK,middle,161.66
2024-01-03,DKK,ISK,middle,20.206
2024-01-03,EUR,ISK,middle,150.7
2024-01-03,GBP,ISK,middle,174.28
2024-01-03,JPY,ISK,middle,0.965
2024-01-03,NOK,ISK,middle,13.313
2024-01-03,SEK,ISK,middle,13.466
2024-01-03,USD,ISK,middle,138.02
2024-01-03,XDR,ISK,middle,184.42
2024-01-04,CAD,ISK,middle,103.06
2024-01-04,CHF,ISK,middle,161.6
2024-01-04,DKK,ISK,middle,20.177
2024-01-04,EUR,ISK,middle,150.5
2024-01-04,GBP,ISK,middle,174.44
2024-01-04,JPY,ISK,middle,0.9531
2024-01-04,NOK,ISK,middle,13.337
2024-01-04,SEK,ISK,middle,13.449
2024-01-04,USD,ISK,middle,137.41
2024-01-04,XDR,ISK,middle,183.74
2024-01-05,CAD,ISK,middle,103.08
2024-01-05,CHF,ISK,middle,161.48
2024-01-05,DKK,ISK,middle,20.179
2024-01-05,EUR,ISK,middle,150.5
2024-01-05,GBP,ISK,middle,174.57
2024-01-05,JPY,ISK,middle,0.9491
2024-01-05,NOK,ISK,middle,13.308
2024-01-05,SEK,ISK,middle,13.396
2024-01-05,USD,ISK,middle,137.81
2024-01-05,XDR,ISK,middle,183.99
2024-01-08,CAD,ISK,middle,102.86
2024-01-08,CHF,ISK,middle,161.9
2024-01-08,DKK,ISK,middle,20.197
2024-01-08,EUR,ISK,middle,150.7
2024-01-08,GBP,ISK,middle,174.93
2024-01-08,JPY,ISK,middle,0.9527
2024-01-08,NOK,ISK,middle,13.264
2024-01-08,SEK,ISK,middle,13.444
2024-01-08,USD,ISK,middle,137.68
2024-01-08,XDR,ISK,middle,184.02
2024-01-09,CAD,ISK,middle,102.99
2024-01-09,CHF,ISK,middle,161.6
2024-01-09,DKK,ISK,middle,20.18
2024-01-09,EUR,ISK,middle,150.5
2024-01-09,GBP,ISK,middle,175.13
2024-01-09,JPY,ISK,middle,0.9548
2024-01-09,NOK,ISK,middle,13.309
2024-01-09,SEK,ISK,middle,13.424
2024-01-09,USD,ISK,middle,137.57
2024-01-09,XDR,ISK,middle,183.9
