date,base,quote,type,value
2010-02-02,CAD,IQD,reference,139.465
2010-02-02,CAD,IQD,sell,139.535
2010-02-02,CHF,IQD,buy,166.883
2010-02-02,CHF,IQD,reference,166.966
2010-02-02,CHF,IQD,sell,200.194
2010-02-02,SEK,IQD,buy,200.294
2010-02-02,SEK,IQD,reference,13.03
2010-02-02,SEK,IQD,sell,13.036
2010-02-02,USD,IQD,buy,1168
2010-02-02,USD,IQD,reference,1170
2010-02-03,CAD,IQD,reference,140.428
2010-02-03,CAD,IQD,sell,14.498
2010-02-03,CHF,IQD,buy,166.233
2010-02-03,CHF,IQD,reference,166.316
2010-02-03,CHF,IQD,sell,201.606
2010-02-03,SEK,IQD,buy,201.707
2010-02-03,SEK,IQD,reference,13.037
2010-02-03,SEK,IQD,sell,13.043
2010-02-03,USD,IQD,buy,1168
2010-02-03,USD,IQD,reference,1170
2010-02-04,CAD,IQD,reference,141.704
2010-02-04,CAD,IQD,sell,141.775
2010-02-04,CHF,IQD,sell,201.165
2010-02-04,SEK,IQD,buy,201.266
2010-02-04,SEK,IQD,reference,13.081
2010-02-04,SEK,IQD,sell,13.087
2010-02-04,USD,IQD,buy,1168
2010-02-04,USD,IQD,reference,1170
2010-02-05,CAD,IQD,reference,141.021
2010-02-05,CAD,IQD,sell,141.091
2010-02-05,CHF,IQD,buy,170.89
2010-02-05,CHF,IQD,reference,170.975
2010-02-05,CHF,IQD,sell,201.606
2010-02-05,SEK,IQD,buy,201.707
2010-02-05,SEK,IQD,reference,13.081
2010-02-05,SEK,IQD,sell,13.087
2010-02-05,USD,IQD,buy,1168
2010-02-05,USD,IQD,reference,1170
2010-02-08,CAD,IQD,reference,142.265
2010-02-08,CAD,IQD,sell,142.336
2010-02-08,CHF,IQD,buy,170.568
2010-02-08,CHF,IQD,reference,170.653
2010-02-08,CHF,IQD,sell,200.813
2010-02-08,SEK,IQD,buy,200.914
2010-02-08,SEK,IQD,reference,12.862
2010-02-08,SEK,IQD,sell,12.868
2010-02-08,USD,IQD,buy,1168
2010-02-08,USD,IQD,reference,1170
2010-02-09,CAD,IQD,reference,143.355
2010-02-09,CAD,IQD,sell,143.426
2010-02-09,CHF,IQD,buy,175.614
2010-02-09,CHF,IQD,reference,175.702
2010-02-09,CHF,IQD,sell,204.129
2010-02-09,SEK,IQD,buy,204.231
2010-02-09,SEK,IQD,reference,12.774
2010-02-09,SEK,IQD,sell,12.78
2010-02-09,USD,IQD,buy,1168
2010-02-09,USD,IQD,reference,1170
2010-02-10,CHF,IQD,buy,175.488
2010-02-10,CHF,IQD,reference,175.575
2010-02-10,CHF,IQD,sell,203.469
2010-02-10,SEK,IQD,buy,203.57
2010-02-10,SEK,IQD,reference,12.794
2010-02-10,SEK,IQD,sell,12.801
2010-02-10,USD,IQD,buy,1168
2010-02-10,USD,IQD,reference,1170
2010-02-11,CAD,IQD,reference,141.106
2010-02-11,CAD,IQD,sell,141.176
2010-02-11,CHF,IQD,buy,174.108
2010-02-11,CHF,IQD,reference,174.195
2010-02-11,CHF,IQD,sell,203.038
2010-02-11,SEK,IQD,buy,203.139
2010-02-11,USD,IQD,buy,1168
2010-02-11,USD,IQD,reference,1170
2010-02-15,CAD,IQD,reference,140.092
2010-02-15,CAD,IQD,sell,140.162
2010-02-15,CHF,IQD,buy,171.985
2010-02-15,CHF,IQD,reference,172.071
2010-02-15,CHF,IQD,sell,201.217
2010-02-15,SEK,IQD,buy,201.318
2010-02-15,SEK,IQD,reference,12.851
2010-02-15,SEK,IQD,sell,12.857
2010-02-15,USD,IQD,buy,1168
2010-02-15,USD,IQD,reference,1170
2010-02-17,CAD,IQD,reference,134.338
2010-02-17,CAD,IQD,sell,134.406
2010-02-17,CHF,IQD,buy,168.005
2010-02-17,CHF,IQD,reference,168.089
2010-02-17,CHF,IQD,sell,198.26
2010-02-17,SEK,IQD,buy,198.359
2010-02-17,SEK,IQD,reference,12.642
2010-02-17,SEK,IQD,sell,12.649
2010-02-17,USD,IQD,buy,1168
2010-02-17,USD,IQD,reference,1170
2010-02-18,CAD,IQD,reference,133.115
2010-02-18,CAD,IQD,sell,133.182
2010-02-18,CHF,IQD,buy,166.252
2010-02-18,CHF,IQD,reference,166.335
2010-02-18,CHF,IQD,sell,197.683
2010-02-18,SEK,IQD,buy,197.782
2010-02-18,SEK,IQD,reference,12.674
2010-02-18,SEK,IQD,sell,12.68
2010-02-18,USD,IQD,buy,1168
2010-02-18,USD,IQD,reference,1170
2010-02-19,CAD,IQD,reference,134.997
2010-02-19,CAD,IQD,sell,135.065
2010-02-19,CHF,IQD,buy,171.187
2010-02-19,CHF,IQD,reference,171.273
2010-02-19,CHF,IQD,sell,199.419
2010-02-19,SEK,IQD,buy,199.519
2010-02-19,SEK,IQD,reference,12.487
2010-02-19,SEK,IQD,sell,12.493
2010-02-19,USD,IQD,buy,1168
2010-02-19,USD,IQD,reference,1170
2010-03-01,CAD,IQD,buy,1082.231
2010-03-01,CAD,IQD,reference,163.326
2010-03-01,CAD,IQD,sell,163.408
2010-03-01,CHF,IQD,buy,196.306
2010-03-01,CHF,IQD,reference,196.404
2010-03-01,CHF,IQD,sell,212.509
2010-03-01,DKK,IQD,reference,1786.527
2010-03-01,DKK,IQD,sell,1787.421
2010-03-01,EUR,IQD,buy,1582.425
2010-03-01,EUR,IQD,reference,1739.622
2010-03-01,EUR,IQD,sell,1740.492
2010-03-01,GBP,IQD,buy,1122.172
2010-03-01,GBP,IQD,reference,1122.733
2010-03-01,GBP,IQD,sell,1081.69
2010-03-01,SEK,IQD,buy,212.615
2010-03-01,SEK,IQD,reference,13.139
2010-03-01,SEK,IQD,sell,13.146
2010-03-01,USD,IQD,buy,1168
2010-03-01,USD,IQD,reference,1170
2010-03-01,USD,IQD,sell,1581.634
2010-03-02,CAD,IQD,buy,1082.531
2010-03-02,CAD,IQD,reference,162.193
2010-03-02,CAD,IQD,sell,162.275
2010-03-02,CHF,IQD,buy,196.848
2010-03-02,CHF,IQD,reference,196.946
2010-03-02,CHF,IQD,sell,212.88
2010-03-02,DKK,IQD,reference,1787.708
2010-03-02,DKK,IQD,sell,1788.602
2010-03-02,EUR,IQD,buy,1585.116
2010-03-02,EUR,IQD,reference,1750.614
2010-03-02,EUR,IQD,sell,1751.49
2010-03-02,GBP,IQD,buy,1132.496
2010-03-02,GBP,IQD,reference,1133.062
2010-03-02,GBP,IQD,sell,1081.99
2010-03-02,SEK,IQD,buy,212.987
2010-03-02,SEK,IQD,reference,13.095
2010-03-02,SEK,IQD,sell,13.102
2010-03-02,USD,IQD,buy,1168
2010-03-02,USD,IQD,reference,1170
2010-03-02,USD,IQD,sell,1584.323
2010-03-03,CAD,IQD,buy,1091.316
2010-03-03,CAD,IQD,reference,162.362
2010-03-03,CAD,IQD,sell,162.444
2010-03-03,CHF,IQD,buy,197.56
2010-03-03,CHF,IQD,reference,197.659
2010-03-03,CHF,IQD,sell,214.351
2010-03-03,DKK,IQD,reference,1794.725
2010-03-03,DKK,IQD,sell,1795.622
2010-03-03,EUR,IQD,buy,1595.997
2010-03-03,EUR,IQD,reference,1760.203
2010-03-03,EUR,IQD,sell,1761.084
2010-03-03,GBP,IQD,buy,1136.789
2010-03-03,GBP,IQD,reference,1137.358
2010-03-03,GBP,IQD,sell,1090.77
2010-03-03,SEK,IQD,buy,214.459
2010-03-03,SEK,IQD,reference,13.184
2010-03-03,SEK,IQD,sell,13.191
2010-03-03,USD,IQD,buy,1168
2010-03-03,USD,IQD,reference,1170
