date,base,quote,type,value
2026-08-16,CHF,JOD,buy,0.86924
2026-08-16,CHF,JOD,sell,0.87611
2026-08-16,EUR,JOD,buy,0.81604
2026-08-16,EUR,JOD,sell,0.8225399999999999
2026-08-16,GBP,JOD,buy,0.9546
2026-08-16,GBP,JOD,sell,0.9629
2026-08-16,JPY,JOD,buy,0.004438
2026-08-16,JPY,JOD,sell,0.0044767
2026-08-16,USD,JOD,buy,0.708
2026-08-16,USD,JOD,sell,0.71
2026-08-17,CHF,JOD,buy,0.87042
2026-08-17,CHF,JOD,sell,0.8797999999999999
2026-08-17,EUR,JOD,buy,0.81831
2026-08-17,EUR,JOD,sell,0.82459
2026-08-17,GBP,JOD,buy,0.95729
2026-08-17,GBP,JOD,sell,0.96354
2026-08-17,JPY,JOD,buy,0.0044418999999999995
2026-08-17,JPY,JOD,sell,0.0044705
2026-08-17,USD,JOD,buy,0.708
2026-08-17,USD,JOD,sell,0.71
2026-08-18,CHF,JOD,buy,0.87117
2026-08-18,CHF,JOD,sell,0.87774
2026-08-18,EUR,JOD,buy,0.8188
2026-08-18,EUR,JOD,sell,0.8225399999999999
2026-08-18,GBP,JOD,buy,0.95693
2026-08-18,GBP,JOD,sell,0.96233
2026-08-18,JPY,JOD,buy,0.004431399999999999
2026-08-18,JPY,JOD,sell,0.0044576
2026-08-18,USD,JOD,buy,0.708
2026-08-18,USD,JOD,sell,0.71
2026-08-19,CHF,JOD,buy,0.87106
2026-08-19,CHF,JOD,sell,0.87698
2026-08-19,EUR,JOD,buy,0.81901
2026-08-19,EUR,JOD,sell,0.82445
2026-08-19,GBP,JOD,buy,0.95693
2026-08-19,GBP,JOD,sell,0.96312
2026-08-19,JPY,JOD,buy,0.004435
2026-08-19,JPY,JOD,sell,0.004466
2026-08-19,USD,JOD,buy,0.708
2026-08-19,USD,JOD,sell,0.71
2026-08-20,CHF,JOD,buy,0.8845599999999999
2026-08-20,CHF,JOD,sell,0.89342
2026-08-20,EUR,JOD,buy,0.82609
2026-08-20,EUR,JOD,sell,0.83141
2026-08-20,GBP,JOD,buy,0.9620299999999999
2026-08-20,GBP,JOD,sell,0.9697899999999999
2026-08-20,JPY,JOD,buy,0.0044607
2026-08-20,JPY,JOD,sell,0.0044937
2026-08-20,USD,JOD,buy,0.708
2026-08-20,USD,JOD,sell,0.71
2026-08-23,CHF,JOD,buy,0.8826799999999999
2026-08-23,CHF,JOD,sell,0.88939
2026-08-23,EUR,JOD,buy,0.82617
2026-08-23,EUR,JOD,sell,0.83148
2026-08-23,GBP,JOD,buy,0.96423
2026-08-23,GBP,JOD,sell,0.971
2026-08-23,JPY,JOD,buy,0.0044492
2026-08-23,JPY,JOD,sell,0.0044835000000000005
2026-08-23,USD,JOD,buy,0.708
2026-08-23,USD,JOD,sell,0.71
2026-08-24,CHF,JOD,buy,0.88191
2026-08-24,CHF,JOD,sell,0.8881699999999999
2026-08-24,EUR,JOD,buy,0.8254600000000001
2026-08-24,EUR,JOD,sell,0.82978
2026-08-24,GBP,JOD,buy,0.96338
2026-08-24,GBP,JOD,sell,0.96958
2026-08-24,JPY,JOD,buy,0.004445
2026-08-24,JPY,JOD,sell,0.004477
2026-08-24,USD,JOD,buy,0.708
2026-08-24,USD,JOD,sell,0.71
2026-08-26,CHF,JOD,buy,0.8801599999999999
2026-08-26,CHF,JOD,sell,0.88706
2026-08-26,EUR,JOD,buy,0.82539
2026-08-26,EUR,JOD,sell,0.8290700000000001
2026-08-26,GBP,JOD,buy,0.96387
2026-08-26,GBP,JOD,sell,0.9692200000000001
2026-08-26,JPY,JOD,buy,0.0044456
2026-08-26,JPY,JOD,sell,0.0044693
2026-08-26,USD,JOD,buy,0.708
2026-08-26,USD,JOD,sell,0.71
2026-08-27,CHF,JOD,buy,0.8783
2026-08-27,CHF,JOD,sell,0.88286
2026-08-27,EUR,JOD,buy,0.8238300000000001
2026-08-27,EUR,JOD,sell,0.8277899999999999
2026-08-27,GBP,JOD,buy,0.96054
2026-08-27,GBP,JOD,sell,0.96546
2026-08-27,JPY,JOD,buy,0.0044383
2026-08-27,JPY,JOD,sell,0.0044626
2026-08-27,USD,JOD,buy,0.708
2026-08-27,USD,JOD,sell,0.71
2026-08-30,CHF,JOD,buy,0.87418
2026-08-30,CHF,JOD,sell,0.88451
2026-08-30,EUR,JOD,buy,0.81972
2026-08-30,EUR,JOD,sell,0.82772
2026-08-30,GBP,JOD,buy,0.9577100000000001
2026-08-30,GBP,JOD,sell,0.96553
2026-08-30,JPY,JOD,buy,0.0044195
2026-08-30,JPY,JOD,sell,0.004457
2026-08-30,USD,JOD,buy,0.708
2026-08-30,USD,JOD,sell,0.71
2026-08-31,CHF,JOD,buy,0.87429
2026-08-31,CHF,JOD,sell,0.8796900000000001
2026-08-31,EUR,JOD,buy,0.81937
2026-08-31,EUR,JOD,sell,0.82396
2026-08-31,GBP,JOD,buy,0.957
2026-08-31,GBP,JOD,sell,0.96241
2026-08-31,JPY,JOD,buy,0.0044195
2026-08-31,JPY,JOD,sell,0.0044528
2026-08-31,USD,JOD,buy,0.708
2026-08-31,USD,JOD,sell,0.71
2026-09-01,CHF,JOD,buy,0.87321
2026-09-01,CHF,JOD,sell,0.8797999999999999
2026-09-01,EUR,JOD,buy,0.82029
2026-09-01,EUR,JOD,sell,0.8252999999999999
2026-09-01,GBP,JOD,buy,0.9576399999999999
2026-09-01,GBP,JOD,sell,0.96269
2026-09-01,JPY,JOD,buy,0.0044211
2026-09-01,JPY,JOD,sell,0.0044481
2026-09-01,USD,JOD,buy,0.708
2026-09-01,USD,JOD,sell,0.71
2026-09-02,CHF,JOD,buy,0.86807
2026-09-02,CHF,JOD,sell,0.8753500000000001
2026-09-02,EUR,JOD,buy,0.8188
2026-09-02,EUR,JOD,sell,0.82332
2026-09-02,GBP,JOD,buy,0.95396
2026-09-02,GBP,JOD,sell,0.95992
2026-09-02,JPY,JOD,buy,0.0044142
2026-09-02,JPY,JOD,sell,0.0044536
2026-09-02,USD,JOD,buy,0.708
2026-09-02,USD,JOD,sell,0.71
