date,base,quote,type,value
2010-01-04,AED,KWD,reference,0.078176
2010-01-04,AUD,KWD,reference,0.2575
2010-01-04,BHD,KWD,reference,0.7635639999999999
2010-01-04,CAD,KWD,reference,0.27429000000000003
2010-01-04,CHF,KWD,reference,0.276843
2010-01-04,CNY,KWD,reference,0.042052
2010-01-04,DKK,KWD,reference,0.055124
2010-01-04,EUR,KWD,reference,0.410223
2010-01-04,GBP,KWD,reference,0.46210199999999996
2010-01-04,HKD,KWD,reference,0.037008
2010-01-04,INR,KWD,reference,0.006176999999999999
2010-01-04,JPY,KWD,reference,0.0030946
2010-01-04,KRW,KWD,reference,0.000248
2010-01-04,LBP,KWD,reference,0.000191
2010-01-04,NOK,KWD,reference,0.049533
2010-01-04,OMR,KWD,reference,0.746684
2010-01-04,QAR,KWD,reference,0.078874
2010-01-04,SAR,KWD,reference,0.07666200000000001
2010-01-04,SEK,KWD,reference,0.040085
2010-01-04,SGD,KWD,reference,0.204633
2010-01-04,TWD,KWD,reference,0.009012000000000001
2010-01-04,USD,KWD,reference,0.2871
2010-01-05,AED,KWD,reference,0.07804000000000001
2010-01-05,AUD,KWD,reference,0.26149
2010-01-05,BHD,KWD,reference,0.7622340000000001
2010-01-05,CAD,KWD,reference,0.275736
2010-01-05,CHF,KWD,reference,0.278618
2010-01-05,CNY,KWD,reference,0.041978
2010-01-05,DKK,KWD,reference,0.055554
2010-01-05,EUR,KWD,reference,0.413406
2010-01-05,GBP,KWD,reference,0.461312
2010-01-05,HKD,KWD,reference,0.036950000000000004
2010-01-05,INR,KWD,reference,0.00619
2010-01-05,JPY,KWD,reference,0.0031134
2010-01-05,KRW,KWD,reference,0.00025
2010-01-05,LBP,KWD,reference,0.000191
2010-01-05,NOK,KWD,reference,0.050235999999999996
2010-01-05,OMR,KWD,reference,0.745384
2010-01-05,QAR,KWD,reference,0.078736
2010-01-05,SAR,KWD,reference,0.07652800000000001
2010-01-05,SEK,KWD,reference,0.04065
2010-01-05,SGD,KWD,reference,0.20522800000000002
2010-01-05,TWD,KWD,reference,0.009014
2010-01-05,USD,KWD,reference,0.2866
2010-01-06,AED,KWD,reference,0.078122
2010-01-06,AUD,KWD,reference,0.26223
2010-01-06,BHD,KWD,reference,0.763032
2010-01-06,CAD,KWD,reference,0.27651600000000004
2010-01-06,CHF,KWD,reference,0.277506
2010-01-06,CNY,KWD,reference,0.042022
2010-01-06,DKK,KWD,reference,0.055358
2010-01-06,EUR,KWD,reference,0.41196
2010-01-06,GBP,KWD,reference,0.458438
2010-01-06,HKD,KWD,reference,0.036991
2010-01-06,INR,KWD,reference,0.006228
2010-01-06,JPY,KWD,reference,0.0031217000000000003
2010-01-06,KRW,KWD,reference,0.000252
2010-01-06,LBP,KWD,reference,0.000191
2010-01-06,NOK,KWD,reference,0.050182000000000004
2010-01-06,OMR,KWD,reference,0.7461639999999999
