date,base,quote,type,value
2026-01-02,AED,KES,reference,35.1382
2026-01-02,AUD,KES,reference,86.448
2026-01-02,BIF,KES,reference,0.043621643314546946
2026-01-02,CAD,KES,reference,94.1085
2026-01-02,CHF,KES,reference,162.9388
2026-01-02,CNY,KES,reference,18.4531
2026-01-02,DKK,KES,reference,20.3143
2026-01-02,EUR,KES,reference,151.7308
2026-01-02,GBP,KES,reference,173.9542
2026-01-02,HKD,KES,reference,16.5671
2026-01-02,INR,KES,reference,1.4345
2026-01-02,JPY,KES,reference,0.8228759999999999
2026-01-02,NOK,KES,reference,12.8303
2026-01-02,RWF,KES,reference,0.08860221151119932
2026-01-02,SAR,KES,reference,34.413
2026-01-02,SEK,KES,reference,14.0295
2026-01-02,SGD,KES,reference,100.4872
2026-01-02,TZS,KES,reference,0.05214362439904473
2026-01-02,UGX,KES,reference,0.035650750983069454
2026-01-02,USD,KES,reference,129.05
2026-01-02,ZAR,KES,reference,7.8048
2026-01-05,AED,KES,reference,35.1234
2026-01-05,AUD,KES,reference,86.1001
2026-01-05,BIF,KES,reference,0.04355438636225054
2026-01-05,CAD,KES,reference,93.6982
2026-01-05,CHF,KES,reference,162.4381
2026-01-05,CNY,KES,reference,18.4791
2026-01-05,DKK,KES,reference,20.1802
2026-01-05,EUR,KES,reference,150.7397
2026-01-05,GBP,KES,reference,173.2581
2026-01-05,HKD,KES,reference,16.56
2026-01-05,INR,KES,reference,1.4296
2026-01-05,JPY,KES,reference,0.8208719999999999
2026-01-05,NOK,KES,reference,12.782
2026-01-05,RWF,KES,reference,0.08848304664826219
2026-01-05,SAR,KES,reference,34.3985
2026-01-05,SEK,KES,reference,13.947
2026-01-05,SGD,KES,reference,100.2512
2026-01-05,TZS,KES,reference,0.05212459864059047
2026-01-05,UGX,KES,reference,0.03565240332850837
2026-01-05,USD,KES,reference,129
2026-01-05,ZAR,KES,reference,7.8126
2026-01-06,AED,KES,reference,35.1296
2026-01-06,AUD,KES,reference,86.1928
2026-01-06,BIF,KES,reference,0.043606996306487414
2026-01-06,CAD,KES,reference,93.5246
2026-01-06,CHF,KES,reference,162.2728
2026-01-06,CNY,KES,reference,18.4716
2026-01-06,DKK,KES,reference,20.1769
2026-01-06,EUR,KES,reference,150.702
2026-01-06,GBP,KES,reference,173.6244
2026-01-06,HKD,KES,reference,16.5734
2026-01-06,INR,KES,reference,1.4289
2026-01-06,JPY,KES,reference,0.823087
2026-01-06,NOK,KES,reference,12.7903
2026-01-06,RWF,KES,reference,0.08852926334799968
2026-01-06,SAR,KES,reference,34.4037
2026-01-06,SEK,KES,reference,13.9673
2026-01-06,SGD,KES,reference,100.2846
2026-01-06,TZS,KES,reference,0.052133837988885066
2026-01-06,UGX,KES,reference,0.03562433427025333
2026-01-06,USD,KES,reference,129.03
2026-01-06,ZAR,KES,reference,7.8426
2026-01-07,AED,KES,reference,35.1212
2026-01-07,AUD,KES,reference,86.701
2026-01-07,BIF,KES,reference,0.043595019704948904
2026-01-07,CAD,KES,reference,93.6106
2026-01-07,CHF,KES,reference,162.7146
2026-01-07,CNY,KES,reference,18.4668
2026-01-07,DKK,KES,reference,20.2084
2026-01-07,EUR,KES,reference,151.0075
2026-01-07,GBP,KES,reference,174.3759
2026-01-07,HKD,KES,reference,16.5642
2026-01-07,INR,KES,reference,1.4306
2026-01-07,JPY,KES,reference,0.8246769999999999
2026-01-07,NOK,KES,reference,12.8664
2026-01-07,RWF,KES,reference,0.08855513442669405
2026-01-07,SAR,KES,reference,34.3954
2026-01-07,SEK,KES,reference,14.0223
2026-01-07,SGD,KES,reference,100.7931
2026-01-07,TZS,KES,reference,0.052121338475972064
2026-01-07,UGX,KES,reference,0.03561570652657822
2026-01-07,USD,KES,reference,129
2026-01-07,ZAR,KES,reference,7.872
2026-01-08,AED,KES,reference,35.1194
2026-01-08,AUD,KES,reference,86.9547
2026-01-08,BIF,KES,reference,0.04359140900511327
2026-01-08,CAD,KES,reference,93.5245
2026-01-08,CHF,KES,reference,162.0219
2026-01-08,CNY,KES,reference,18.4181
2026-01-08,DKK,KES,reference,20.186
2026-01-08,EUR,KES,reference,150.8388
2026-01-08,GBP,KES,reference,174.0383
2026-01-08,HKD,KES,reference,16.5664
2026-01-08,INR,KES,reference,1.4361
2026-01-08,JPY,KES,reference,0.8247150000000001
2026-01-08,NOK,KES,reference,12.8423
2026-01-08,RWF,KES,reference,0.08850340738118417
2026-01-08,SAR,KES,reference,34.3974
2026-01-08,SEK,KES,reference,14.0569
2026-01-08,SGD,KES,reference,100.6937
2026-01-08,TZS,KES,reference,0.05211862198363475
2026-01-08,UGX,KES,reference,0.035801744260980393
2026-01-08,USD,KES,reference,128.99
2026-01-08,ZAR,KES,reference,7.8561
2026-01-09,AED,KES,reference,35.1287
2026-01-09,AUD,KES,reference,86.3618
2026-01-09,BIF,KES,reference,0.04359216910274238
2026-01-09,CAD,KES,reference,92.993
2026-01-09,CHF,KES,reference,161.2975
2026-01-09,CNY,KES,reference,18.4769
2026-01-09,DKK,KES,reference,20.1153
2026-01-09,EUR,KES,reference,150.3075
2026-01-09,GBP,KES,reference,173.2591
2026-01-09,HKD,KES,reference,16.5505
2026-01-09,INR,KES,reference,1.4319
2026-01-09,JPY,KES,reference,0.81989
2026-01-09,NOK,KES,reference,12.7798
2026-01-09,RWF,KES,reference,0.08855278188564293
2026-01-09,SAR,KES,reference,34.4037
2026-01-09,SEK,KES,reference,13.9674
2026-01-09,SGD,KES,reference,100.2906
2026-01-09,TZS,KES,reference,0.05170898185014738
2026-01-09,UGX,KES,reference,0.03586710520180627
2026-01-09,USD,KES,reference,129.01
2026-01-09,ZAR,KES,reference,7.8032
2026-01-12,AED,KES,reference,35.1182
2026-01-12,AUD,KES,reference,86.3065
2026-01-12,BIF,KES,reference,0.043577351978629664
2026-01-12,CAD,KES,reference,92.9483
2026-01-12,CHF,KES,reference,161.2665
2026-01-12,CNY,KES,reference,18.487
2026-01-12,DKK,KES,reference,20.1004
2026-01-12,EUR,KES,reference,150.2141
2026-01-12,GBP,KES,reference,173.2645
2026-01-12,HKD,KES,reference,16.5496
2026-01-12,INR,KES,reference,1.4314
2026-01-12,JPY,KES,reference,0.818796
2026-01-12,NOK,KES,reference,12.764
2026-01-12,RWF,KES,reference,0.08850027435085049
2026-01-12,SAR,KES,reference,34.3961
2026-01-12,SEK,KES,reference,13.9918
2026-01-12,SGD,KES,reference,100.2908
2026-01-12,TZS,KES,reference,0.0516472903249131
2026-01-12,UGX,KES,reference,0.03583022207571642
2026-01-12,USD,KES,reference,128.98
2026-01-12,ZAR,KES,reference,7.824
2026-01-13,AED,KES,reference,35.1294
2026-01-13,AUD,KES,reference,86.5536
2026-01-13,BIF,KES,reference,0.043593879419329525
2026-01-13,CAD,KES,reference,92.9714
2026-01-13,CHF,KES,reference,161.9154
2026-01-13,CNY,KES,reference,18.5042
2026-01-13,DKK,KES,reference,20.1761
2026-01-13,EUR,KES,reference,150.7527
2026-01-13,GBP,KES,reference,173.8233
2026-01-13,HKD,KES,reference,16.5499
2026-01-13,INR,KES,reference,1.4307
2026-01-13,JPY,KES,reference,0.817062
2026-01-13,NOK,KES,reference,12.8338
2026-01-13,RWF,KES,reference,0.08855278188564293
2026-01-13,SAR,KES,reference,34.4072
2026-01-13,SEK,KES,reference,14.087
2026-01-13,SGD,KES,reference,100.4167
2026-01-13,TZS,KES,reference,0.05166383376644848
2026-01-13,UGX,KES,reference,0.035811873068397095
2026-01-13,USD,KES,reference,129.03
2026-01-13,ZAR,KES,reference,7.8663
2026-01-14,AED,KES,reference,35.1291
2026-01-14,AUD,KES,reference,86.5656
2026-01-14,BIF,KES,reference,0.043588368879648155
2026-01-14,CAD,KES,reference,92.9872
