date,base,quote,type,value
2026-01-04,AED,LYD,buy,1.4718
2026-01-04,AED,LYD,middle,1.4755
2026-01-04,AED,LYD,sell,1.4792
2026-01-04,AUD,LYD,buy,3.6174
2026-01-04,AUD,LYD,middle,3.6265
2026-01-04,AUD,LYD,sell,3.6356
2026-01-04,CAD,LYD,buy,3.9359
2026-01-04,CAD,LYD,middle,3.9458
2026-01-04,CAD,LYD,sell,3.9557
2026-01-04,CHF,LYD,buy,6.8218
2026-01-04,CHF,LYD,middle,6.8389
2026-01-04,CHF,LYD,sell,6.856
2026-01-04,CNY,LYD,buy,0.7734
2026-01-04,CNY,LYD,middle,0.7754
2026-01-04,CNY,LYD,sell,0.7773
2026-01-04,DKK,LYD,buy,0.8479
2026-01-04,DKK,LYD,middle,0.85
2026-01-04,DKK,LYD,sell,0.8521
2026-01-04,DZD,LYD,buy,0.0417
2026-01-04,DZD,LYD,middle,0.0418
2026-01-04,DZD,LYD,sell,0.0419
2026-01-04,EUR,LYD,buy,6.3332
2026-01-04,EUR,LYD,middle,6.3491
2026-01-04,EUR,LYD,sell,6.365
2026-01-04,GBP,LYD,buy,7.273
2026-01-04,GBP,LYD,middle,7.2912
2026-01-04,GBP,LYD,sell,7.3095
2026-01-04,JPY,LYD,buy,0.0345
2026-01-04,JPY,LYD,middle,0.0345
2026-01-04,JPY,LYD,sell,0.0346
2026-01-04,MAD,LYD,buy,0.5917
2026-01-04,MAD,LYD,middle,0.5932
2026-01-04,MAD,LYD,sell,0.5947
2026-01-04,MRU,LYD,buy,0.136
2026-01-04,MRU,LYD,middle,0.137
2026-01-04,MRU,LYD,sell,0.137
2026-01-04,NOK,LYD,buy,0.5369
2026-01-04,NOK,LYD,middle,0.5383
2026-01-04,NOK,LYD,sell,0.5396
2026-01-04,RUB,LYD,buy,0.0676
2026-01-04,RUB,LYD,middle,0.0676
2026-01-04,RUB,LYD,sell,0.0676
2026-01-04,SAR,LYD,buy,1.4413
2026-01-04,SAR,LYD,middle,1.445
2026-01-04,SAR,LYD,sell,1.4486
2026-01-04,SEK,LYD,buy,0.5862
2026-01-04,SEK,LYD,middle,0.5877
2026-01-04,SEK,LYD,sell,0.5892
2026-01-04,TND,LYD,buy,1.8797
2026-01-04,TND,LYD,middle,1.8844
2026-01-04,TND,LYD,sell,1.8891
2026-01-04,TRY,LYD,buy,0.1256
2026-01-04,TRY,LYD,middle,0.126
2026-01-04,TRY,LYD,sell,0.1263
2026-01-04,USD,LYD,buy,5.4056
2026-01-04,USD,LYD,middle,5.4192
2026-01-04,USD,LYD,sell,5.4327
2026-01-04,XOF,LYD,buy,0.0097
2026-01-04,XOF,LYD,middle,0.0097
2026-01-04,XOF,LYD,sell,0.0097
2026-01-05,AED,LYD,buy,1.4731
2026-01-05,AED,LYD,middle,1.4768
2026-01-05,AED,LYD,sell,1.4804
2026-01-05,AUD,LYD,buy,3.6121
2026-01-05,AUD,LYD,middle,3.6211
2026-01-05,AUD,LYD,sell,3.6302
2026-01-05,CAD,LYD,buy,3.9297
2026-01-05,CAD,LYD,middle,3.9395
2026-01-05,CAD,LYD,sell,3.9494
2026-01-05,CHF,LYD,buy,6.8143
2026-01-05,CHF,LYD,middle,6.8314
2026-01-05,CHF,LYD,sell,6.8485
2026-01-05,CNY,LYD,buy,0.775
2026-01-05,CNY,LYD,middle,0.7769
2026-01-05,CNY,LYD,sell,0.7789
2026-01-05,DKK,LYD,buy,0.8465
2026-01-05,DKK,LYD,middle,0.8487
2026-01-05,DKK,LYD,sell,0.8508
2026-01-05,DZD,LYD,buy,0.0418
2026-01-05,DZD,LYD,middle,0.0419
2026-01-05,DZD,LYD,sell,0.042
2026-01-05,EUR,LYD,buy,6.3233
2026-01-05,EUR,LYD,middle,6.3392
2026-01-05,EUR,LYD,sell,6.355
2026-01-05,GBP,LYD,buy,7.2661
2026-01-05,GBP,LYD,middle,7.2843
2026-01-05,GBP,LYD,sell,7.3025
2026-01-05,JPY,LYD,buy,0.0344
2026-01-05,JPY,LYD,middle,0.0345
2026-01-05,JPY,LYD,sell,0.0346
2026-01-05,MAD,LYD,buy,0.5923
2026-01-05,MAD,LYD,middle,0.5938
2026-01-05,MAD,LYD,sell,0.5953
2026-01-05,MRU,LYD,buy,0.136
2026-01-05,MRU,LYD,middle,0.137
2026-01-05,MRU,LYD,sell,0.137
2026-01-05,NOK,LYD,buy,0.5364
2026-01-05,NOK,LYD,middle,0.5377
2026-01-05,NOK,LYD,sell,0.5391
2026-01-05,RUB,LYD,buy,0.0677
2026-01-05,RUB,LYD,middle,0.0677
2026-01-05,RUB,LYD,sell,0.0677
2026-01-05,SAR,LYD,buy,1.4426
2026-01-05,SAR,LYD,middle,1.4462
2026-01-05,SAR,LYD,sell,1.4499
2026-01-05,SEK,LYD,buy,0.5849
2026-01-05,SEK,LYD,middle,0.5864
2026-01-05,SEK,LYD,sell,0.5879
2026-01-05,TND,LYD,buy,1.8776
2026-01-05,TND,LYD,middle,1.8823
2026-01-05,TND,LYD,sell,1.887
2026-01-05,TRY,LYD,buy,0.1257
2026-01-05,TRY,LYD,middle,0.126
2026-01-05,TRY,LYD,sell,0.1263
2026-01-05,USD,LYD,buy,5.4106
2026-01-05,USD,LYD,middle,5.4241
2026-01-05,USD,LYD,sell,5.4377
2026-01-05,XOF,LYD,buy,0.0096
2026-01-05,XOF,LYD,middle,0.0097
2026-01-05,XOF,LYD,sell,0.0097
2026-01-06,AED,LYD,buy,1.4697
2026-01-06,AED,LYD,middle,1.4734
2026-01-06,AED,LYD,sell,1.4771
2026-01-06,AUD,LYD,buy,3.6342
2026-01-06,AUD,LYD,middle,3.6433
2026-01-06,AUD,LYD,sell,3.6524
2026-01-06,CAD,LYD,buy,3.9221
2026-01-06,CAD,LYD,middle,3.9319
2026-01-06,CAD,LYD,sell,3.9417
2026-01-06,CHF,LYD,buy,6.8212
