date,base,quote,type,value
2025-01-02,AUD,MMK,reference,1305.99
2025-01-02,BDT,MMK,reference,17.28
2025-01-02,BND,MMK,reference,1542.64
2025-01-02,BRL,MMK,reference,339.55
2025-01-02,CAD,MMK,reference,1457.88
2025-01-02,CHF,MMK,reference,2323.14
2025-01-02,CNY,MMK,reference,287.69
2025-01-02,CZK,MMK,reference,86.42
2025-01-02,DKK,MMK,reference,291.98
2025-01-02,EGP,MMK,reference,41.35
2025-01-02,EUR,MMK,reference,2177.6
2025-01-02,GBP,MMK,reference,2625.53
2025-01-02,HKD,MMK,reference,270.07
2025-01-02,IDR,MMK,reference,0.1297
2025-01-02,ILS,MMK,reference,575.04
2025-01-02,INR,MMK,reference,24.49
2025-01-02,JPY,MMK,reference,13.393699999999999
2025-01-02,KES,MMK,reference,16.24
2025-01-02,KHR,MMK,reference,0.5206000000000001
2025-01-02,KRW,MMK,reference,1.4317
2025-01-02,KWD,MMK,reference,6812.1
2025-01-02,LAK,MMK,reference,0.09630000000000001
2025-01-02,LKR,MMK,reference,7.16
2025-01-02,MYR,MMK,reference,468.91
2025-01-02,NOK,MMK,reference,185.3
2025-01-02,NPR,MMK,reference,15.31
2025-01-02,NZD,MMK,reference,1180.94
2025-01-02,PHP,MMK,reference,36.26
2025-01-02,PKR,MMK,reference,7.54
2025-01-02,RSD,MMK,reference,18.62
2025-01-02,RUB,MMK,reference,19.09
2025-01-02,SAR,MMK,reference,559.22
2025-01-02,SEK,MMK,reference,190.22
2025-01-02,SGD,MMK,reference,1542.64
2025-01-02,THB,MMK,reference,61.34
2025-01-02,USD,MMK,reference,2100
2025-01-02,VND,MMK,reference,0.0825
2025-01-02,ZAR,MMK,reference,112.05
2025-01-03,AUD,MMK,reference,1304.1
2025-01-03,BDT,MMK,reference,17.28
2025-01-03,BND,MMK,reference,1532.96
2025-01-03,BRL,MMK,reference,341.33
2025-01-03,CAD,MMK,reference,1458.43
2025-01-03,CHF,MMK,reference,2307.06
2025-01-03,CNY,MMK,reference,287.31
2025-01-03,CZK,MMK,reference,85.85
2025-01-03,DKK,MMK,reference,289.45
2025-01-03,EGP,MMK,reference,41.35
2025-01-03,EUR,MMK,reference,2159.12
2025-01-03,GBP,MMK,reference,2601.9
2025-01-03,HKD,MMK,reference,269.98
2025-01-03,IDR,MMK,reference,0.1297
2025-01-03,ILS,MMK,reference,575.28
2025-01-03,INR,MMK,reference,24.48
2025-01-03,JPY,MMK,reference,13.366
2025-01-03,KES,MMK,reference,16.25
2025-01-03,KHR,MMK,reference,0.5207999999999999
2025-01-03,KRW,MMK,reference,1.4276
2025-01-03,KWD,MMK,reference,6805.15
2025-01-03,LAK,MMK,reference,0.09630000000000001
2025-01-03,LKR,MMK,reference,7.16
2025-01-03,MYR,MMK,reference,466.82
2025-01-03,NOK,MMK,reference,184.62
2025-01-03,NPR,MMK,reference,15.3
2025-01-03,NZD,MMK,reference,1175.9
2025-01-03,PHP,MMK,reference,36.09
2025-01-03,PKR,MMK,reference,7.54
2025-01-03,RSD,MMK,reference,18.46
2025-01-03,RUB,MMK,reference,18.92
2025-01-03,SAR,MMK,reference,559.05
2025-01-03,SEK,MMK,reference,188.68
2025-01-03,SGD,MMK,reference,1532.96
2025-01-03,THB,MMK,reference,60.93
2025-01-03,USD,MMK,reference,2100
2025-01-03,VND,MMK,reference,0.0825
2025-01-03,ZAR,MMK,reference,112.14
2025-01-06,AUD,MMK,reference,1312.19
2025-01-06,BDT,MMK,reference,17.28
2025-01-06,BND,MMK,reference,1536.44
2025-01-06,BRL,MMK,reference,339.71
2025-01-06,CAD,MMK,reference,1461.89
2025-01-06,CHF,MMK,reference,2317.37
2025-01-06,CNY,MMK,reference,286.54
2025-01-06,CZK,MMK,reference,86.48
2025-01-06,DKK,MMK,reference,291.35
2025-01-06,EGP,MMK,reference,41.5
2025-01-06,EUR,MMK,reference,2173.08
2025-01-06,GBP,MMK,reference,2620.38
2025-01-06,HKD,MMK,reference,270.08
2025-01-06,IDR,MMK,reference,0.1297
2025-01-06,ILS,MMK,reference,576.99
2025-01-06,INR,MMK,reference,24.47
2025-01-06,JPY,MMK,reference,13.3194
2025-01-06,KES,MMK,reference,16.25
2025-01-06,KHR,MMK,reference,0.5207
2025-01-06,KRW,MMK,reference,1.4336000000000002
2025-01-06,KWD,MMK,reference,6809.23
2025-01-06,LAK,MMK,reference,0.0962
2025-01-06,LKR,MMK,reference,7.11
2025-01-06,MYR,MMK,reference,465.27
2025-01-06,NOK,MMK,reference,185.24
2025-01-06,NPR,MMK,reference,15.29
2025-01-06,NZD,MMK,reference,1184.51
2025-01-06,PHP,MMK,reference,36.04
2025-01-06,PKR,MMK,reference,7.54
2025-01-06,RSD,MMK,reference,18.55
2025-01-06,RUB,MMK,reference,19.53
2025-01-06,SAR,MMK,reference,559.22
2025-01-06,SEK,MMK,reference,189.9
2025-01-06,SGD,MMK,reference,1536.44
2025-01-06,THB,MMK,reference,60.68
2025-01-06,USD,MMK,reference,2100
2025-01-06,VND,MMK,reference,0.0827
2025-01-06,ZAR,MMK,reference,112.55
2025-01-07,AUD,MMK,reference,1319.75
2025-01-07,BDT,MMK,reference,17.25
2025-01-07,BND,MMK,reference,1544.52
2025-01-07,BRL,MMK,reference,343.39
2025-01-07,CAD,MMK,reference,1467.56
2025-01-07,CHF,MMK,reference,2325.45
2025-01-07,CNY,MMK,reference,286.65
2025-01-07,CZK,MMK,reference,86.97
2025-01-07,DKK,MMK,reference,293.57
2025-01-07,EGP,MMK,reference,41.46
2025-01-07,EUR,MMK,reference,2189.78
2025-01-07,GBP,MMK,reference,2638.44
2025-01-07,HKD,MMK,reference,270.13
2025-01-07,IDR,MMK,reference,0.13019999999999998
2025-01-07,ILS,MMK,reference,580.19
2025-01-07,INR,MMK,reference,24.5
2025-01-07,JPY,MMK,reference,13.3414
2025-01-07,KES,MMK,reference,16.25
2025-01-07,KHR,MMK,reference,0.5203
2025-01-07,KRW,MMK,reference,1.4534
2025-01-07,KWD,MMK,reference,6814.86
2025-01-07,LAK,MMK,reference,0.09630000000000001
2025-01-07,LKR,MMK,reference,7.11
2025-01-07,MYR,MMK,reference,467.71
2025-01-07,NOK,MMK,reference,186.55
2025-01-07,NPR,MMK,reference,15.31
2025-01-07,NZD,MMK,reference,1194.48
2025-01-07,PHP,MMK,reference,36.14
2025-01-07,PKR,MMK,reference,7.54
2025-01-07,RSD,MMK,reference,18.7
2025-01-07,RUB,MMK,reference,19.72
2025-01-07,SAR,MMK,reference,559.37
2025-01-07,SEK,MMK,reference,190.86
2025-01-07,SGD,MMK,reference,1544.52
2025-01-07,THB,MMK,reference,60.88
2025-01-07,USD,MMK,reference,2100
2025-01-07,VND,MMK,reference,0.0828
2025-01-07,ZAR,MMK,reference,113.14
2025-01-08,AUD,MMK,reference,1308.2
2025-01-08,BDT,MMK,reference,17.28
2025-01-08,BND,MMK,reference,1536.83
2025-01-08,BRL,MMK,reference,344.19
2025-01-08,CAD,MMK,reference,1463.06
2025-01-08,CHF,MMK,reference,2304.65
2025-01-08,CNY,MMK,reference,286.43
2025-01-08,CZK,MMK,reference,86.33
2025-01-08,DKK,MMK,reference,290.79
2025-01-08,EGP,MMK,reference,41.47
2025-01-08,EUR,MMK,reference,2169.62
2025-01-08,GBP,MMK,reference,2615.66
2025-01-08,HKD,MMK,reference,269.99
2025-01-08,IDR,MMK,reference,0.1297
2025-01-08,ILS,MMK,reference,574.79
2025-01-08,INR,MMK,reference,24.46
2025-01-08,JPY,MMK,reference,13.273900000000001
2025-01-08,KES,MMK,reference,16.25
2025-01-08,KHR,MMK,reference,0.5196000000000001
2025-01-08,KRW,MMK,reference,1.4403
2025-01-08,KWD,MMK,reference,6809.12
2025-01-08,LAK,MMK,reference,0.09630000000000001
2025-01-08,LKR,MMK,reference,7.09
2025-01-08,MYR,MMK,reference,466.72
2025-01-08,NOK,MMK,reference,185.5
2025-01-08,NPR,MMK,reference,15.29
2025-01-08,NZD,MMK,reference,1182.2
2025-01-08,PHP,MMK,reference,35.96
2025-01-08,PKR,MMK,reference,7.54
2025-01-08,RSD,MMK,reference,18.53
2025-01-08,RUB,MMK,reference,20
2025-01-08,SAR,MMK,reference,559.45
2025-01-08,SEK,MMK,reference,188.47
2025-01-08,SGD,MMK,reference,1536.83
2025-01-08,THB,MMK,reference,60.64
