date,base,quote,type,value
2023-01-03,CHF,NGN,buy,477.443
2023-01-03,CHF,NGN,middle,477.9753
2023-01-03,CHF,NGN,sell,478.5076
2023-01-03,CNY,NGN,buy,64.8549
2023-01-03,CNY,NGN,middle,64.9276
2023-01-03,CNY,NGN,sell,65.0004
2023-01-03,DKK,NGN,buy,63.4753
2023-01-03,DKK,NGN,middle,63.546
2023-01-03,DKK,NGN,sell,63.6168
2023-01-03,EUR,NGN,buy,472.1913
2023-01-03,EUR,NGN,middle,472.7177
2023-01-03,EUR,NGN,sell,473.2441
2023-01-03,GBP,NGN,buy,535.1173
2023-01-03,GBP,NGN,middle,535.7138
2023-01-03,GBP,NGN,sell,536.3104
2023-01-03,JPY,NGN,buy,3.4201
2023-01-03,JPY,NGN,middle,3.4239
2023-01-03,JPY,NGN,sell,3.4277
2023-01-03,SAR,NGN,buy,119.2846
2023-01-03,SAR,NGN,middle,119.4176
2023-01-03,SAR,NGN,sell,119.5505
2023-01-03,USD,NGN,buy,448.51
2023-01-03,USD,NGN,middle,449.01
2023-01-03,USD,NGN,sell,449.51
2023-01-03,XDR,NGN,buy,598.8917
2023-01-03,XDR,NGN,middle,599.5594
2023-01-03,XDR,NGN,sell,600.227
2023-01-03,XOF,NGN,buy,0.7063
2023-01-03,XOF,NGN,middle,0.7163
2023-01-03,XOF,NGN,sell,0.7263
2023-01-03,XUA,NGN,buy,595.6203
2023-01-03,XUA,NGN,middle,596.2843
2023-01-03,XUA,NGN,sell,596.9483
2023-01-03,ZAR,NGN,buy,26.1882
2023-01-03,ZAR,NGN,middle,26.2174
2023-01-03,ZAR,NGN,sell,26.2466
2023-01-04,CHF,NGN,buy,483.8164
2023-01-04,CHF,NGN,middle,484.3551
2023-01-04,CHF,NGN,sell,484.8939
2023-01-04,CNY,NGN,buy,65.2461
2023-01-04,CNY,NGN,middle,65.3192
2023-01-04,CNY,NGN,sell,65.3923
2023-01-04,DKK,NGN,buy,64.0246
