date,base,quote,type,value
2025-01-01,AED,OMR,buy,0.1045154
2025-01-01,AED,OMR,sell,0.1048475
2025-01-01,AUD,OMR,buy,0.2374656
2025-01-01,AUD,OMR,sell,0.2384305
2025-01-01,BDT,OMR,buy,0.0031973
2025-01-01,BDT,OMR,sell,0.0032338
2025-01-01,BHD,OMR,buy,1.0174881
2025-01-01,BHD,OMR,sell,1.0212202
2025-01-01,BRL,OMR,buy,0.0621279
2025-01-01,BRL,OMR,sell,0.0624351
2025-01-01,CAD,OMR,buy,0.2664261
2025-01-01,CAD,OMR,sell,0.2683114
2025-01-01,CHF,OMR,buy,0.4229075
2025-01-01,CHF,OMR,sell,0.4246167
2025-01-01,CNY,OMR,buy,0.0526071
2025-01-01,CNY,OMR,sell,0.0527448
2025-01-01,CZK,OMR,buy,0.0157444
2025-01-01,CZK,OMR,sell,0.0158454
2025-01-01,DKK,OMR,buy,0.0532956
2025-01-01,DKK,OMR,sell,0.0534693
2025-01-01,EGP,OMR,buy,0.0075457
2025-01-01,EGP,OMR,sell,0.0075798
2025-01-01,ETB,OMR,buy,0.0030119
2025-01-01,ETB,OMR,sell,0.0030605
2025-01-01,EUR,OMR,buy,0.3969408
2025-01-01,EUR,OMR,sell,0.3994375
2025-01-01,GBP,OMR,buy,0.4789248
2025-01-01,GBP,OMR,sell,0.482944
2025-01-01,HKD,OMR,buy,0.0494253
2025-01-01,HKD,OMR,sell,0.0495636
2025-01-01,INR,OMR,buy,0.0044815
2025-01-01,INR,OMR,sell,0.004494
2025-01-01,JOD,OMR,buy,0.5401604
2025-01-01,JOD,OMR,sell,0.543939
2025-01-01,JPY,OMR,buy,0.0024421
2025-01-01,JPY,OMR,sell,0.0024497
2025-01-01,KES,OMR,buy,0.0029618
2025-01-01,KES,OMR,sell,0.0029861
2025-01-01,KRW,OMR,buy,0.0002596
2025-01-01,KRW,OMR,sell,0.0002605
2025-01-01,KWD,OMR,buy,1.2456209
2025-01-01,KWD,OMR,sell,1.2499188
2025-01-01,LBP,OMR,buy,0.0000043
2025-01-01,LBP,OMR,sell,0.0000043
2025-01-01,LKR,OMR,buy,0.0013093
2025-01-01,LKR,OMR,sell,0.0013153
2025-01-01,MAD,OMR,buy,0.0378926
2025-01-01,MAD,OMR,sell,0.0380123
2025-01-01,MYR,OMR,buy,0.0858101
2025-01-01,MYR,OMR,sell,0.0861587
2025-01-01,NOK,OMR,buy,0.033384
2025-01-01,NOK,OMR,sell,0.0338634
2025-01-01,NZD,OMR,buy,0.2147328
2025-01-01,NZD,OMR,sell,0.2154845
2025-01-01,PHP,OMR,buy,0.0066123
2025-01-01,PHP,OMR,sell,0.0066385
2025-01-01,PKR,OMR,buy,0.0013785
2025-01-01,PKR,OMR,sell,0.001383
2025-01-01,QAR,OMR,buy,0.105344
2025-01-01,QAR,OMR,sell,0.1056386
2025-01-01,RUB,OMR,buy,0.0033831
2025-01-01,RUB,OMR,sell,0.0033922
2025-01-01,SAR,OMR,buy,0.102201
2025-01-01,SAR,OMR,sell,0.1024972
2025-01-01,SEK,OMR,buy,0.0346361
2025-01-01,SEK,OMR,sell,0.0348167
2025-01-01,SGD,OMR,buy,0.2804557
2025-01-01,SGD,OMR,sell,0.2826103
2025-01-01,SYP,OMR,buy,0.0000295
2025-01-01,SYP,OMR,sell,0.0000296
2025-01-01,THB,OMR,buy,0.0111921
2025-01-01,THB,OMR,sell,0.0112363
2025-01-01,TND,OMR,buy,0.1201991
2025-01-01,TND,OMR,sell,0.1209171
2025-01-01,TRY,OMR,buy,0.0108407
2025-01-01,TRY,OMR,sell,0.010896
