date,base,quote,type,value
2019-01-10,AMD,RUB,reference,0.13828
2019-01-10,AUD,RUB,reference,48.0021
2019-01-10,AZN,RUB,reference,39.5399
2019-01-10,BRL,RUB,reference,18.0647
2019-01-10,BYN,RUB,reference,31.1202
2019-01-10,CAD,RUB,reference,50.6566
2019-01-10,CHF,RUB,reference,68.4066
2019-01-10,CNY,RUB,reference,9.81498
2019-01-10,CZK,RUB,reference,2.99998
2019-01-10,DKK,RUB,reference,10.2995
2019-01-10,EUR,RUB,reference,76.9066
2019-01-10,GBP,RUB,reference,85.5599
2019-01-10,HKD,RUB,reference,8.5565
2019-01-10,HUF,RUB,reference,0.238938
2019-01-10,INR,RUB,reference,0.95182
2019-01-10,JPY,RUB,reference,0.616087
2019-01-10,KGS,RUB,reference,0.960474
2019-01-10,KRW,RUB,reference,0.0598625
2019-01-10,KZT,RUB,reference,0.178579
2019-01-10,MDL,RUB,reference,3.91134
2019-01-10,NOK,RUB,reference,7.86653
2019-01-10,PLN,RUB,reference,17.8988
2019-01-10,RON,RUB,reference,16.4588
2019-01-10,SEK,RUB,reference,7.52763
2019-01-10,SGD,RUB,reference,49.4431
2019-01-10,TJS,RUB,reference,7.10964
2019-01-10,TMT,RUB,reference,19.193
2019-01-10,TRY,RUB,reference,12.1739
2019-01-10,UAH,RUB,reference,2.38252
2019-01-10,USD,RUB,reference,67.0795
2019-01-10,UZS,RUB,reference,0.00804595
2019-01-10,XDR,RUB,reference,93.476
2019-01-10,ZAR,RUB,reference,4.80605
2019-01-11,AMD,RUB,reference,0.137743
2019-01-11,AUD,RUB,reference,48.0192
2019-01-11,AZN,RUB,reference,39.4108
2019-01-11,BRL,RUB,reference,18.1652
2019-01-11,BYN,RUB,reference,31.0834
2019-01-11,CAD,RUB,reference,50.5256
2019-01-11,CHF,RUB,reference,68.6171
2019-01-11,CNY,RUB,reference,9.86216
2019-01-11,CZK,RUB,reference,3.01255
2019-01-11,DKK,RUB,reference,10.3394
2019-01-11,EUR,RUB,reference,77.2105
2019-01-11,GBP,RUB,reference,85.2873
2019-01-11,HKD,RUB,reference,8.529
2019-01-11,HUF,RUB,reference,0.240108
2019-01-11,INR,RUB,reference,0.94808
2019-01-11,JPY,RUB,reference,0.619538
2019-01-11,KGS,RUB,reference,0.957201
2019-01-11,KRW,RUB,reference,0.0597492
2019-01-11,KZT,RUB,reference,0.178209
2019-01-11,MDL,RUB,reference,3.90997
2019-01-11,NOK,RUB,reference,7.89222
2019-01-11,PLN,RUB,reference,17.9337
2019-01-11,RON,RUB,reference,16.5108
2019-01-11,SEK,RUB,reference,7.52552
2019-01-11,SGD,RUB,reference,49.4713
2019-01-11,TJS,RUB,reference,7.08681
2019-01-11,TMT,RUB,reference,19.1303
2019-01-11,TRY,RUB,reference,12.25
2019-01-11,UAH,RUB,reference,2.36277
2019-01-11,USD,RUB,reference,66.8605
2019-01-11,UZS,RUB,reference,0.00801968
2019-01-11,XDR,RUB,reference,93.1414
2019-01-11,ZAR,RUB,reference,4.83072
2019-01-12,AMD,RUB,reference,0.137689
2019-01-12,AUD,RUB,reference,48.2603
2019-01-12,AZN,RUB,reference,39.444
2019-01-12,BRL,RUB,reference,18.0344
2019-01-12,BYN,RUB,reference,31.1414
2019-01-12,CAD,RUB,reference,50.6983
2019-01-12,CHF,RUB,reference,68.0601
2019-01-12,CNY,RUB,reference,9.91491
2019-01-12,CZK,RUB,reference,3.01399
2019-01-12,DKK,RUB,reference,10.3271
2019-01-12,EUR,RUB,reference,77.1282
2019-01-12,GBP,RUB,reference,85.2117
2019-01-12,HKD,RUB,reference,8.53355
2019-01-12,HUF,RUB,reference,0.239909
2019-01-12,INR,RUB,reference,0.948702
2019-01-12,JPY,RUB,reference,0.617854
2019-01-12,KGS,RUB,reference,0.958349
2019-01-12,KRW,RUB,reference,0.0599459
2019-01-12,KZT,RUB,reference,0.177885
2019-01-12,MDL,RUB,reference,3.91555
2019-01-12,NOK,RUB,reference,7.91539
2019-01-12,PLN,RUB,reference,17.943
2019-01-12,RON,RUB,reference,16.4832
2019-01-12,SEK,RUB,reference,7.5349
2019-01-12,SGD,RUB,reference,49.5019
2019-01-12,TJS,RUB,reference,7.09239
2019-01-12,TMT,RUB,reference,19.1464
2019-01-12,TRY,RUB,reference,12.3178
2019-01-12,UAH,RUB,reference,2.37518
2019-01-12,USD,RUB,reference,66.9167
2019-01-12,UZS,RUB,reference,0.00802642
2019-01-12,XDR,RUB,reference,93.5342
2019-01-12,ZAR,RUB,reference,4.84419
2019-01-15,AMD,RUB,reference,0.138113
2019-01-15,AUD,RUB,reference,48.3446
2019-01-15,AZN,RUB,reference,39.6062
2019-01-15,BRL,RUB,reference,18.1047
2019-01-15,BYN,RUB,reference,31.223
2019-01-15,CAD,RUB,reference,50.6231
2019-01-15,CHF,RUB,reference,68.361
2019-01-15,CNY,RUB,reference,9.94318
2019-01-15,CZK,RUB,reference,3.01593
2019-01-15,DKK,RUB,reference,10.3272
2019-01-15,EUR,RUB,reference,77.0692
2019-01-15,GBP,RUB,reference,86.2208
2019-01-15,HKD,RUB,reference,8.56757
2019-01-15,HUF,RUB,reference,0.239941
2019-01-15,INR,RUB,reference,0.949375
2019-01-15,JPY,RUB,reference,0.621257
2019-01-15,KGS,RUB,reference,0.961947
2019-01-15,KRW,RUB,reference,0.0598726
2019-01-15,KZT,RUB,reference,0.177391
2019-01-15,MDL,RUB,reference,3.92362
2019-01-15,NOK,RUB,reference,7.85798
2019-01-15,PLN,RUB,reference,17.9543
2019-01-15,RON,RUB,reference,16.4844
2019-01-15,SEK,RUB,reference,7.5158
2019-01-15,SGD,RUB,reference,49.6358
2019-01-15,TJS,RUB,reference,7.12157
2019-01-15,TMT,RUB,reference,19.2252
2019-01-15,TRY,RUB,reference,12.1789
2019-01-15,UAH,RUB,reference,2.39596
2019-01-15,USD,RUB,reference,67.192
2019-01-15,UZS,RUB,reference,0.00806185
2019-01-15,XDR,RUB,reference,94.0245
2019-01-15,ZAR,RUB,reference,4.82875
2019-01-16,AMD,RUB,reference,0.137802
2019-01-16,AUD,RUB,reference,48.3997
2019-01-16,AZN,RUB,reference,39.5414
2019-01-16,BRL,RUB,reference,18.1347
2019-01-16,BYN,RUB,reference,31.1285
2019-01-16,CAD,RUB,reference,50.605
2019-01-16,CHF,RUB,reference,68.2213
2019-01-16,CNY,RUB,reference,9.93292
2019-01-16,CZK,RUB,reference,3.00816
2019-01-16,DKK,RUB,reference,10.2959
2019-01-16,EUR,RUB,reference,76.9498
2019-01-16,GBP,RUB,reference,86.3412
2019-01-16,HKD,RUB,reference,8.55278
2019-01-16,HUF,RUB,reference,0.238888
2019-01-16,INR,RUB,reference,0.943674
2019-01-16,JPY,RUB,reference,0.617442
2019-01-16,KGS,RUB,reference,0.96106
2019-01-16,KRW,RUB,reference,0.0598348
2019-01-16,KZT,RUB,reference,0.177522
2019-01-16,MDL,RUB,reference,3.91149
2019-01-16,NOK,RUB,reference,7.85301
2019-01-16,PLN,RUB,reference,17.9062
2019-01-16,RON,RUB,reference,16.4199
2019-01-16,SEK,RUB,reference,7.4957
2019-01-16,SGD,RUB,reference,49.5949
2019-01-16,TJS,RUB,reference,7.11368
2019-01-16,TMT,RUB,reference,19.1937
2019-01-16,TRY,RUB,reference,12.3233
2019-01-16,UAH,RUB,reference,2.38217
2019-01-16,USD,RUB,reference,67.082
2019-01-16,UZS,RUB,reference,0.00803702
2019-01-16,XDR,RUB,reference,93.7169
2019-01-16,ZAR,RUB,reference,4.86345
2019-01-17,AMD,RUB,reference,0.13737
2019-01-17,AUD,RUB,reference,48.1218
2019-01-17,AZN,RUB,reference,39.3526
2019-01-17,BRL,RUB,reference,17.9597
2019-01-17,BYN,RUB,reference,30.99
2019-01-17,CAD,RUB,reference,50.3862
2019-01-17,CHF,RUB,reference,67.5726
2019-01-17,CNY,RUB,reference,9.88257
2019-01-17,CZK,RUB,reference,2.9803
2019-01-17,DKK,RUB,reference,10.2109
2019-01-17,EUR,RUB,reference,76.135
2019-01-17,GBP,RUB,reference,86.0225
2019-01-17,HKD,RUB,reference,8.50999
2019-01-17,HUF,RUB,reference,0.23535
2019-01-17,INR,RUB,reference,0.937994
2019-01-17,JPY,RUB,reference,0.614834
2019-01-17,KGS,RUB,reference,0.956471
2019-01-17,KRW,RUB,reference,0.0595789
2019-01-17,KZT,RUB,reference,0.176768
2019-01-17,MDL,RUB,reference,3.88488
2019-01-17,NOK,RUB,reference,7.8277
2019-01-17,PLN,RUB,reference,17.7595
2019-01-17,RON,RUB,reference,16.281
2019-01-17,SEK,RUB,reference,7.45316
2019-01-17,SGD,RUB,reference,49.2961
2019-01-17,TJS,RUB,reference,7.07971
2019-01-17,TMT,RUB,reference,19.1021
